Zeevisserij,,,,,,,,
1,Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht,NA,NA,NA,NA,NA,NA,NA,NA
2,Verdeling volgens de aanvoerhavens en de vissoorten - Augustus 2015,NA,NA,NA,NA,NA,NA,NA,NA
3,Vissoorten,Totaal van de havens,NA,Oostende,NA,Zeebrugge,NA,Nieuwpoort,NA
4,NA,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR
5,Algemeen totaal,1242628.000000,4976762.000000,453129.000000,1615802.000000,775887.000000,3271334.000000,13612.000000,89620.000000
6,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Bodemvissen :,NA,NA,NA,NA,NA,NA,NA,NA
8,Totaal,1110892.000000,4523120.000000,378515.000000,1330560.000000,728526.000000,3151620.000000,3851.000000,40932.000000
9,Schelvis,10425.000000,23750.000000,2662.000000,5768.000000,7763.000000,17982.000000,-,-
10,Kabeljauw,96125.000000,280392.000000,33238.000000,97092.000000,62886.000000,183298.000000,1.000000,2.000000
11,Koolvis,418.000000,796.000000,88.000000,160.000000,330.000000,636.000000,-,-
12,Wijting,7120.000000,11496.000000,4076.000000,5804.000000,3040.000000,5690.000000,4.000000,2.000000
13,Pollak,1587.000000,5876.000000,534.000000,2036.000000,1053.000000,3840.000000,-,-
14,Leng,2447.000000,6900.000000,567.000000,1488.000000,1880.000000,5412.000000,-,-
15,Heek,14246.000000,23016.000000,5944.000000,9324.000000,8302.000000,13692.000000,-,-
16,Steenbolk,3714.000000,3658.000000,1740.000000,1222.000000,1974.000000,2436.000000,-,-
17,Schol,427546.000000,647412.000000,157958.000000,233538.000000,269456.000000,413700.000000,132.000000,174.000000
18,Bot,13721.000000,7122.000000,9333.000000,4866.000000,3447.000000,1896.000000,941.000000,358.000000
19,Schar,15020.000000,11740.000000,7145.000000,5152.000000,7866.000000,6580.000000,9.000000,8.000000
20,Tong,167597.000000,2048532.000000,44944.000000,507638.000000,120041.000000,1501300.000000,2612.000000,39594.000000
21,Tarbot,25490.000000,285994.000000,10328.000000,115748.000000,15156.000000,170212.000000,6.000000,32.000000
22,Griet,17942.000000,139776.000000,6452.000000,48392.000000,11490.000000,91382.000000,-,-
23,Tongschar,58160.000000,280844.000000,19415.000000,94626.000000,38745.000000,186218.000000,-,-
24,Schartong,35234.000000,80648.000000,5923.000000,13910.000000,29311.000000,66738.000000,-,-
25,Heilbot,28.000000,404.000000,5.000000,72.000000,23.000000,332.000000,-,-
26,Hondstong,2197.000000,5870.000000,515.000000,1490.000000,1682.000000,4382.000000,-,-
27,Rog,106360.000000,207648.000000,38214.000000,74894.000000,68146.000000,132754.000000,-,-
28,Rode poon,12495.000000,18244.000000,4355.000000,6720.000000,8118.000000,11520.000000,22.000000,4.000000
29,Grauwe poon,7758.000000,2698.000000,160.000000,58.000000,7598.000000,2640.000000,-,-
30,Engelse poon,1780.000000,1742.000000,977.000000,1292.000000,803.000000,448.000000,-,-
31,Zeewolf,4904.000000,18608.000000,1298.000000,4028.000000,3606.000000,14580.000000,-,-
32,Zeeduivel,33666.000000,358866.000000,6307.000000,70404.000000,27359.000000,288460.000000,-,-
33,Kongeraal,1835.000000,1864.000000,399.000000,430.000000,1436.000000,1434.000000,-,-
34,Roodbaars,25.000000,26.000000,-,-,25.000000,26.000000,-,-
35,Mul,3222.000000,10738.000000,2888.000000,9818.000000,332.000000,918.000000,2.000000,2.000000
36,Zeebaars,1268.000000,16572.000000,536.000000,7062.000000,731.000000,9500.000000,1.000000,10.000000
37,Doornhaai,-,-,-,-,-,-,-,-
