Zeevisserij,,,,,,,,
1,Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht,NA,NA,NA,NA,NA,NA,NA,NA
2,Verdeling volgens de aanvoerhavens en de vissoorten - Juni 2013,NA,NA,NA,NA,NA,NA,NA,NA
3,Vissoorten,Totaal van de havens,NA,Oostende,NA,Zeebrugge,NA,Nieuwpoort,NA
4,NA,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR
5,Algemeen totaal,781919.000000,3593322.000000,286604.000000,1209700.000000,475955.000000,2266038.000000,19360.000000,117578.000000
6,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Bodemvissen :,NA,NA,NA,NA,NA,NA,NA,NA
8,Totaal,705967.000000,3262818.000000,254433.000000,1041336.000000,444263.000000,2182566.000000,7271.000000,38916.000000
9,Schelvis,9712.000000,21972.000000,3107.000000,7506.000000,6605.000000,14466.000000,-,-
10,Kabeljauw,12160.000000,39256.000000,3704.000000,14016.000000,7939.000000,23016.000000,517.000000,2224.000000
11,Koolvis,49.000000,106.000000,28.000000,56.000000,21.000000,50.000000,-,-
12,Wijting,6952.000000,11818.000000,3227.000000,5200.000000,3719.000000,6616.000000,6.000000,2.000000
13,Pollak,299.000000,1272.000000,148.000000,620.000000,148.000000,640.000000,3.000000,12.000000
14,Leng,1235.000000,3012.000000,354.000000,908.000000,881.000000,2104.000000,-,-
15,Heek,3454.000000,6574.000000,818.000000,1702.000000,2636.000000,4874.000000,-,-
16,Steenbolk,4695.000000,3414.000000,1951.000000,1070.000000,2741.000000,2342.000000,3.000000,2.000000
17,Schol,162349.000000,209586.000000,64376.000000,87474.000000,97114.000000,120946.000000,859.000000,1168.000000
18,Bot,22660.000000,13058.000000,15570.000000,9314.000000,5793.000000,3160.000000,1297.000000,584.000000
19,Schar,14795.000000,8556.000000,7905.000000,4392.000000,6232.000000,3542.000000,658.000000,622.000000
20,Tong,197766.000000,1845340.000000,66685.000000,577438.000000,129482.000000,1254550.000000,1599.000000,13352.000000
21,Tarbot,14107.000000,116778.000000,7146.000000,57966.000000,6931.000000,58528.000000,30.000000,284.000000
22,Griet,5590.000000,43718.000000,2631.000000,20222.000000,2590.000000,20888.000000,369.000000,2606.000000
23,Tongschar,20492.000000,61580.000000,7757.000000,22600.000000,12550.000000,38650.000000,185.000000,332.000000
24,Schartong,22197.000000,26364.000000,6153.000000,7068.000000,16044.000000,19296.000000,-,-
25,Heilbot,45.000000,634.000000,22.000000,334.000000,23.000000,300.000000,-,-
26,Hondstong,1287.000000,1840.000000,323.000000,608.000000,964.000000,1232.000000,-,-
27,Rog,65527.000000,171854.000000,23284.000000,66378.000000,42104.000000,105044.000000,139.000000,432.000000
28,Rode poon,22209.000000,39562.000000,7456.000000,12134.000000,14738.000000,27394.000000,15.000000,34.000000
29,Grauwe poon,9569.000000,2610.000000,1906.000000,582.000000,7663.000000,2028.000000,-,-
30,Engelse poon,2180.000000,1326.000000,415.000000,364.000000,1761.000000,960.000000,4.000000,2.000000
31,Zeewolf,618.000000,2050.000000,3.000000,12.000000,615.000000,2040.000000,-,-
32,Zeeduivel,67296.000000,547164.000000,12875.000000,113802.000000,54421.000000,433360.000000,-,-
33,Kongeraal,731.000000,1314.000000,244.000000,516.000000,487.000000,796.000000,-,-
34,Roodbaars,-,-,-,-,-,-,-,-
35,Mul,6004.000000,21160.000000,2162.000000,7700.000000,3826.000000,13274.000000,16.000000,186.000000
36,Zeebaars,2372.000000,29380.000000,573.000000,7000.000000,391.000000,5458.000000,1408.000000,16922.000000
37,Doornhaai,-,-,-,-,-,-,-,-
38,Hondshaai,25344.000000,17082.000000,12085.000000,8692.000000,13248.000000,8380.000000,11.000000,8.000000
39,Zandhaai,263.000000,148.000000,131.000000,100.000000,40.000000,18.000000,92.000000,30.000000
40,Andere soorten,4010.000000,14290.000000,1394.000000,5562.000000,2556.000000,8614.000000,60.000000,114.000000
41,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,Pelagische vis :,NA,NA,NA,NA,NA,NA,NA,NA
43,Totaal,2812.000000,16926.000000,1054.000000,6336.000000,1594.000000,10500.000000,164.000000,90.000000
44,Horsmakereel,215.000000,72.000000,52.000000,40.000000,12.000000,12.000000,151.000000,20.000000
45,Haring,-,-,-,-,-,-,-,-
46,Makreel,509.000000,1206.000000,331.000000,784.000000,168.000000,392.000000,10.000000,30.000000
47,Sprot,-,-,-,-,-,-,-,-
48,Andere soorten,2088.000000,15648.000000,671.000000,5512.000000,1414.000000,10096.000000,3.000000,40.000000
49,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,Schaal-en weekdieren :,NA,NA,NA,NA,NA,NA,NA,NA
51,Totaal,73140.000000,313578.000000,31117.000000,162028.000000,30098.000000,72972.000000,11925.000000,78572.000000
52,Garnaal,30257.000000,200204.000000,14792.000000,92852.000000,3651.000000,28866.000000,11814.000000,78486.000000
53,Langoestine geheel,8075.000000,63678.000000,6171.000000,46670.000000,1904.000000,17008.000000,-,-
54,Langoestine staartje,534.000000,7738.000000,339.000000,4744.000000,195.000000,2994.000000,-,-
55,Noordzeekrab,4734.000000,11504.000000,1398.000000,3994.000000,3336.000000,7510.000000,-,-
56,Zeekreeft,23.000000,212.000000,22.000000,200.000000,1.000000,10.000000,-,-
57,Andere schaaldieren,41.000000,60.000000,3.000000,4.000000,38.000000,54.000000,-,-
58,Schelpen,3982.000000,10826.000000,1601.000000,5588.000000,2381.000000,5238.000000,-,-
59,Inktvis,23381.000000,17234.000000,5917.000000,6832.000000,17411.000000,10350.000000,53.000000,50.000000
60,Wulk,2113.000000,2122.000000,874.000000,1144.000000,1181.000000,942.000000,58.000000,36.000000
61,Andere soorten,-,-,-,-,-,-,-,-
62,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,* Bron : Vlaamse Overheid - Departement Landbouw en Visserij,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,NA,NA,NA,NA,NA,NA,NA
