Zeevisserij,,,,,,,,
1,Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht,NA,NA,NA,NA,NA,NA,NA,NA
2,Verdeling volgens de aanvoerhavens en de vissoorten - November 2013,NA,NA,NA,NA,NA,NA,NA,NA
3,Vissoorten,Totaal van de havens,NA,Oostende,NA,Zeebrugge,NA,Nieuwpoort,NA
4,NA,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR
5,Algemeen totaal,1759113.000000,5102802.000000,615666.000000,1621848.000000,1127580.000000,3423508.000000,15867.000000,57454.000000
6,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Bodemvissen :,NA,NA,NA,NA,NA,NA,NA,NA
8,Totaal,1558540.000000,4527876.000000,504738.000000,1270336.000000,1049540.000000,3239370.000000,4262.000000,18174.000000
9,Schelvis,18696.000000,41736.000000,2408.000000,5008.000000,16288.000000,36728.000000,-,-
10,Kabeljauw,78938.000000,240212.000000,14184.000000,39910.000000,63906.000000,197894.000000,848.000000,2408.000000
11,Koolvis,117.000000,234.000000,18.000000,24.000000,99.000000,210.000000,-,-
12,Wijting,9855.000000,17074.000000,3792.000000,6684.000000,5803.000000,10166.000000,260.000000,224.000000
13,Pollak,2295.000000,9482.000000,251.000000,834.000000,2015.000000,8554.000000,29.000000,94.000000
14,Leng,3449.000000,9398.000000,525.000000,1276.000000,2924.000000,8124.000000,-,-
15,Heek,556.000000,1374.000000,137.000000,370.000000,419.000000,1004.000000,-,-
16,Steenbolk,12720.000000,9306.000000,8102.000000,5288.000000,4564.000000,3954.000000,54.000000,66.000000
17,Schol,767087.000000,941966.000000,254460.000000,289794.000000,512578.000000,652110.000000,49.000000,60.000000
18,Bot,9161.000000,7444.000000,7590.000000,6294.000000,990.000000,838.000000,581.000000,312.000000
19,Schar,22923.000000,17022.000000,7051.000000,4780.000000,14911.000000,11576.000000,961.000000,666.000000
20,Tong,185360.000000,1457044.000000,61213.000000,449930.000000,123933.000000,1005186.000000,214.000000,1928.000000
21,Tarbot,38747.000000,365572.000000,13594.000000,124818.000000,25139.000000,240588.000000,14.000000,166.000000
