Zeevisserij,,,,,,,,
1,Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht,NA,NA,NA,NA,NA,NA,NA,NA
2,Verdeling volgens de aanvoerhavens en de vissoorten - December 2012,NA,NA,NA,NA,NA,NA,NA,NA
3,Vissoorten,Totaal van de havens,NA,Oostende,NA,Zeebrugge,NA,Nieuwpoort,NA
4,NA,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR
5,Algemeen totaal,1500142.000000,5330406.000000,468818.000000,1539348.000000,1007678.000000,3688428.000000,23646.000000,102636.000000
6,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Bodemvissen :,NA,NA,NA,NA,NA,NA,NA,NA
8,Totaal,1251865.000000,4720488.000000,388032.000000,1313160.000000,848110.000000,3349546.000000,15723.000000,57784.000000
9,Schelvis,10467.000000,17668.000000,1209.000000,1678.000000,9258.000000,15990.000000,-,-
10,Kabeljauw,53603.000000,179798.000000,7254.000000,24182.000000,45506.000000,153046.000000,843.000000,2570.000000
11,Koolvis,130.000000,292.000000,8.000000,16.000000,122.000000,276.000000,-,-
12,Wijting,16191.000000,17910.000000,4875.000000,5360.000000,11108.000000,12418.000000,208.000000,130.000000
13,Pollak,2873.000000,10504.000000,323.000000,1056.000000,2550.000000,9448.000000,-,-
14,Leng,7802.000000,13752.000000,1254.000000,2006.000000,6548.000000,11746.000000,-,-
15,Heek,758.000000,1488.000000,259.000000,510.000000,499.000000,978.000000,-,-
16,Steenbolk,15747.000000,8482.000000,6301.000000,2616.000000,9209.000000,5610.000000,237.000000,256.000000
17,Schol,435355.000000,547936.000000,149242.000000,181926.000000,281910.000000,361426.000000,4203.000000,4584.000000
18,Bot,704.000000,622.000000,437.000000,520.000000,27.000000,24.000000,240.000000,78.000000
19,Schar,11315.000000,9818.000000,4049.000000,3068.000000,6446.000000,6096.000000,820.000000,654.000000
20,Tong,190773.000000,1947528.000000,64630.000000,592038.000000,123853.000000,1334332.000000,2290.000000,21156.000000
21,Tarbot,34178.000000,333508.000000,12639.000000,116528.000000,21244.000000,213930.000000,295.000000,3052.000000
22,Griet,24987.000000,167956.000000,9779.000000,58682.000000,14844.000000,106844.000000,364.000000,2428.000000
23,Tongschar,72619.000000,301368.000000,20545.000000,72186.000000,51106.000000,225140.000000,968.000000,4044.000000
24,Schartong,87620.000000,84856.000000,12628.000000,10670.000000,74992.000000,74184.000000,-,-
25,Heilbot,-,-,-,-,-,-,-,-
26,Rog,109473.000000,186262.000000,35557.000000,56648.000000,72676.000000,127428.000000,1240.000000,2186.000000
27,Rode poon,41886.000000,30768.000000,21220.000000,12226.000000,20090.000000,18138.000000,576.000000,404.000000
28,Grauwe poon,542.000000,138.000000,195.000000,50.000000,347.000000,88.000000,-,-
29,Engelse poon,16010.000000,4958.000000,3849.000000,1104.000000,12070.000000,3824.000000,91.000000,32.000000
30,Zeewolf,1114.000000,6094.000000,-,-,1114.000000,6094.000000,-,-
31,Zeeduivel,54045.000000,703668.000000,10316.000000,129088.000000,43691.000000,574110.000000,38.000000,472.000000
32,Kongeraal,4727.000000,5186.000000,1039.000000,1032.000000,3688.000000,4154.000000,-,-
33,Roodbaars,-,-,-,-,-,-,-,-
34,Mul,4682.000000,19902.000000,456.000000,1452.000000,4221.000000,18432.000000,5.000000,18.000000
35,Zeebaars,4514.000000,43588.000000,939.000000,8304.000000,2025.000000,20568.000000,1550.000000,14716.000000
36,Doornhaai,10.000000,22.000000,10.000000,22.000000,-,-,-,-
37,Hondshaai,31579.000000,10718.000000,11966.000000,3934.000000,17993.000000,6022.000000,1620.000000,764.000000
38,Zandhaai,1029.000000,298.000000,-,-,1029.000000,298.000000,-,-
39,Andere soorten,17132.000000,65400.000000,7053.000000,26258.000000,9944.000000,38902.000000,135.000000,240.000000
40,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,Pelagische vis :,NA,NA,NA,NA,NA,NA,NA,NA
42,Totaal,3367.000000,13646.000000,618.000000,2640.000000,2587.000000,10972.000000,162.000000,36.000000
43,Horsmakereel,368.000000,126.000000,-,-,368.000000,126.000000,-,-
44,Haring,32.000000,42.000000,18.000000,28.000000,3.000000,4.000000,11.000000,12.000000
45,Makreel,150.000000,326.000000,-,-,150.000000,326.000000,-,-
46,Sprot,176.000000,74.000000,-,-,25.000000,50.000000,151.000000,24.000000
47,Andere soorten,2641.000000,13078.000000,600.000000,2612.000000,2041.000000,10466.000000,-,-
48,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,Schaal-en weekdieren :,NA,NA,NA,NA,NA,NA,NA,NA
50,Totaal,244910.000000,596272.000000,80168.000000,223548.000000,156981.000000,327910.000000,7761.000000,44816.000000
51,Garnaal,19393.000000,103026.000000,9587.000000,40838.000000,2907.000000,18770.000000,6899.000000,43418.000000
52,Langoestine geheel,5331.000000,38442.000000,5157.000000,36930.000000,174.000000,1514.000000,-,-
53,Langoestine staartje,662.000000,5978.000000,470.000000,4366.000000,192.000000,1612.000000,-,-
54,Noordzeekrab,5509.000000,13124.000000,2405.000000,4574.000000,3104.000000,8550.000000,-,-
55,Zeekreeft,71.000000,640.000000,58.000000,532.000000,13.000000,108.000000,-,-
56,Andere schaaldieren,260.000000,510.000000,107.000000,214.000000,153.000000,296.000000,-,-
57,Schelpen,55886.000000,145266.000000,21896.000000,58514.000000,33932.000000,86474.000000,58.000000,278.000000
58,Inktvis,150273.000000,283334.000000,39040.000000,76158.000000,110473.000000,206110.000000,760.000000,1066.000000
59,Wulk,7525.000000,5952.000000,1448.000000,1422.000000,6033.000000,4476.000000,44.000000,54.000000
60,Andere soorten,-,-,-,-,-,-,-,-
61,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,* Bron : Vlaamse Overheid - Departement Landbouw en Visserij,NA,NA,NA,NA,NA,NA,NA,NA
63,NA,NA,NA,NA,NA,NA,NA,NA,NA
