Zeevisserij,,,,,,,,
1,Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht,NA,NA,NA,NA,NA,NA,NA,NA
2,Verdeling volgens de aanvoerhavens en de vissoorten - September 2014,NA,NA,NA,NA,NA,NA,NA,NA
3,Vissoorten,Totaal van de havens,NA,Oostende,NA,Zeebrugge,NA,Nieuwpoort,NA
4,NA,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR
5,Algemeen totaal,2363009.000000,6694190.000000,804190.000000,2397528.000000,1527764.000000,4183630.000000,31055.000000,113022.000000
6,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Bodemvissen :,NA,NA,NA,NA,NA,NA,NA,NA
8,Totaal,2138608.000000,5881772.000000,646696.000000,1802160.000000,1488899.000000,4063736.000000,3013.000000,15864.000000
9,Schelvis,13008.000000,27942.000000,2356.000000,5034.000000,10652.000000,22906.000000,-,-
10,Kabeljauw,227301.000000,577272.000000,57125.000000,141626.000000,170042.000000,435352.000000,134.000000,294.000000
11,Koolvis,836.000000,1204.000000,149.000000,194.000000,687.000000,1010.000000,-,-
12,Wijting,7309.000000,15668.000000,3627.000000,7620.000000,3682.000000,8048.000000,-,-
13,Pollak,5083.000000,16730.000000,1275.000000,3972.000000,3808.000000,12756.000000,-,-
14,Leng,4626.000000,11222.000000,906.000000,2250.000000,3720.000000,8972.000000,-,-
15,Heek,11624.000000,21776.000000,2491.000000,4806.000000,9133.000000,16970.000000,-,-
16,Steenbolk,5477.000000,5046.000000,2555.000000,1828.000000,2922.000000,3220.000000,-,-
17,Schol,1120174.000000,1358182.000000,333843.000000,389464.000000,785675.000000,967836.000000,656.000000,882.000000
18,Bot,22382.000000,16690.000000,20355.000000,15386.000000,1262.000000,982.000000,765.000000,322.000000
19,Schar,40948.000000,30208.000000,13387.000000,9378.000000,27409.000000,20696.000000,152.000000,134.000000
20,Tong,164128.000000,1725528.000000,61364.000000,620990.000000,101582.000000,1090944.000000,1182.000000,13594.000000
21,Tarbot,38114.000000,384098.000000,16603.000000,156384.000000,21491.000000,227454.000000,20.000000,260.000000
22,Griet,24591.000000,188252.000000,9605.000000,70066.000000,14985.000000,118180.000000,1.000000,6.000000
23,Tongschar,160906.000000,611852.000000,31473.000000,120366.000000,129433.000000,491486.000000,-,-
24,Schartong,32616.000000,81542.000000,4838.000000,6950.000000,27778.000000,74592.000000,-,-
25,Heilbot,67.000000,890.000000,3.000000,38.000000,64.000000,852.000000,-,-
26,Hondstong,4066.000000,7710.000000,571.000000,1024.000000,3495.000000,6686.000000,-,-
27,Rog,126333.000000,233948.000000,30236.000000,56684.000000,96097.000000,177264.000000,-,-
28,Rode poon,21016.000000,27712.000000,10044.000000,14600.000000,10972.000000,13112.000000,-,-
29,Grauwe poon,2670.000000,666.000000,126.000000,36.000000,2544.000000,630.000000,-,-
30,Engelse poon,4611.000000,5250.000000,2696.000000,2994.000000,1915.000000,2256.000000,-,-
31,Zeewolf,15969.000000,45148.000000,3799.000000,11296.000000,12170.000000,33850.000000,-,-
32,Zeeduivel,34152.000000,373538.000000,7557.000000,82062.000000,26595.000000,291474.000000,-,-
33,Kongeraal,1832.000000,2600.000000,537.000000,784.000000,1295.000000,1816.000000,-,-
34,Roodbaars,2.000000,2.000000,-,-,2.000000,2.000000,-,-
35,Mul,15855.000000,72074.000000,12577.000000,56498.000000,3278.000000,15576.000000,-,-
36,Zeebaars,1590.000000,18314.000000,715.000000,9288.000000,847.000000,8734.000000,28.000000,290.000000
37,Doornhaai,-,-,-,-,-,-,-,-
38,Hondshaai,28288.000000,17374.000000,13441.000000,7622.000000,14842.000000,9748.000000,5.000000,2.000000
39,Zandhaai,1986.000000,1774.000000,1759.000000,1658.000000,202.000000,108.000000,25.000000,8.000000
40,Andere soorten,1048.000000,1560.000000,683.000000,1262.000000,320.000000,224.000000,45.000000,72.000000
41,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,Pelagische vis :,NA,NA,NA,NA,NA,NA,NA,NA
43,Totaal,139.000000,328.000000,24.000000,62.000000,58.000000,96.000000,57.000000,170.000000
44,Horsmakereel,3.000000,4.000000,-,-,3.000000,4.000000,-,-
45,Haring,41.000000,66.000000,-,-,41.000000,66.000000,-,-
46,Makreel,95.000000,258.000000,24.000000,62.000000,14.000000,26.000000,57.000000,170.000000
47,Sprot,-,-,-,-,-,-,-,-
48,Andere soorten,-,-,-,-,-,-,-,-
49,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,Schaal-en weekdieren :,NA,NA,NA,NA,NA,NA,NA,NA
51,Totaal,224262.000000,812090.000000,157470.000000,595306.000000,38807.000000,119798.000000,27985.000000,96988.000000
52,Garnaal,139625.000000,486450.000000,106257.000000,345824.000000,5497.000000,43976.000000,27871.000000,96652.000000
53,Langoestine geheel,22876.000000,153712.000000,22363.000000,150950.000000,513.000000,2762.000000,-,-
54,Langoestine staartje,3511.000000,24374.000000,3145.000000,21594.000000,366.000000,2780.000000,-,-
55,Noordzeekrab,15374.000000,17392.000000,3169.000000,5656.000000,12205.000000,11738.000000,-,-
56,Zeekreeft,265.000000,2018.000000,188.000000,1368.000000,77.000000,650.000000,-,-
57,Andere schaaldieren,260.000000,136.000000,70.000000,26.000000,190.000000,108.000000,-,-
58,Schelpen,6323.000000,19242.000000,3808.000000,11350.000000,2515.000000,7892.000000,-,-
59,Inktvis,32485.000000,105196.000000,17306.000000,56970.000000,15065.000000,47890.000000,114.000000,336.000000
60,Wulk,3543.000000,3570.000000,1164.000000,1568.000000,2379.000000,2002.000000,-,-
61,Andere soorten,-,-,-,-,-,-,-,-
62,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,* Bron : Vlaamse Overheid - Departement Landbouw en Visserij,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,NA,NA,NA,NA,NA,NA,NA
