Zeevisserij,,,,,,,,
1,Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht,NA,NA,NA,NA,NA,NA,NA,NA
2,Verdeling volgens de aanvoerhavens en de vissoorten - Juli 2012,NA,NA,NA,NA,NA,NA,NA,NA
3,Vissoorten,Totaal van de havens,NA,Oostende,NA,Zeebrugge,NA,Nieuwpoort,NA
4,NA,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR
5,Algemeen totaal,1067475.000000,4604488.000000,322668.000000,1248614.000000,724916.000000,3276948.000000,19891.000000,78912.000000
6,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Bodemvissen :,NA,NA,NA,NA,NA,NA,NA,NA
8,Totaal,972366.000000,4207704.000000,285581.000000,1044778.000000,669858.000000,3111036.000000,16927.000000,51880.000000
9,Schelvis,20405.000000,34184.000000,9874.000000,17442.000000,10531.000000,16742.000000,-,-
10,Kabeljauw,19730.000000,76942.000000,8245.000000,31818.000000,10251.000000,40412.000000,1234.000000,4712.000000
11,Koolvis,226.000000,472.000000,220.000000,460.000000,6.000000,12.000000,-,-
12,Wijting,7953.000000,13820.000000,4223.000000,6752.000000,3706.000000,7038.000000,24.000000,28.000000
13,Pollak,3815.000000,12124.000000,3207.000000,9722.000000,608.000000,2400.000000,-,-
14,Leng,2396.000000,6106.000000,598.000000,1544.000000,1798.000000,4562.000000,-,-
15,Heek,4038.000000,8328.000000,2070.000000,3922.000000,1968.000000,4404.000000,-,-
16,Steenbolk,3236.000000,2008.000000,227.000000,160.000000,2990.000000,1836.000000,19.000000,12.000000
17,Schol,215643.000000,268326.000000,71572.000000,80366.000000,137842.000000,181506.000000,6229.000000,6454.000000
18,Bot,34047.000000,17644.000000,11594.000000,5878.000000,20283.000000,11056.000000,2170.000000,708.000000
19,Schar,11032.000000,7420.000000,4450.000000,2656.000000,6123.000000,4218.000000,459.000000,548.000000
20,Tong,277533.000000,2594888.000000,59175.000000,574138.000000,215220.000000,1991036.000000,3138.000000,29714.000000
21,Tarbot,20726.000000,174756.000000,7370.000000,57822.000000,13220.000000,115638.000000,136.000000,1296.000000
22,Griet,10476.000000,75534.000000,2745.000000,18018.000000,7708.000000,57364.000000,23.000000,152.000000
23,Tongschar,22497.000000,56036.000000,7232.000000,16130.000000,15176.000000,39566.000000,89.000000,338.000000
24,Schartong,48094.000000,51310.000000,14122.000000,15360.000000,33972.000000,35950.000000,-,-
25,Heilbot,16.000000,200.000000,16.000000,200.000000,-,-,-,-
26,Rog,138300.000000,240568.000000,51761.000000,85128.000000,83947.000000,150258.000000,2592.000000,5180.000000
27,Rode poon,11957.000000,21278.000000,2497.000000,3136.000000,9411.000000,17964.000000,49.000000,178.000000
28,Grauwe poon,12270.000000,5040.000000,1988.000000,620.000000,10282.000000,4420.000000,-,-
29,Engelse poon,3519.000000,2370.000000,281.000000,170.000000,3238.000000,2200.000000,-,-
30,Zeewolf,26.000000,96.000000,26.000000,96.000000,-,-,-,-
31,Zeeduivel,65810.000000,493124.000000,13048.000000,101766.000000,52762.000000,391358.000000,-,-
32,Kongeraal,3304.000000,3834.000000,535.000000,548.000000,2769.000000,3286.000000,-,-
33,Roodbaars,-,-,-,-,-,-,-,-
34,Mul,2566.000000,8520.000000,347.000000,888.000000,2197.000000,7446.000000,22.000000,186.000000
35,Zeebaars,582.000000,6866.000000,290.000000,3034.000000,177.000000,2118.000000,115.000000,1714.000000
36,Doornhaai,-,-,-,-,-,-,-,-
37,Hondshaai,26865.000000,13414.000000,6536.000000,2700.000000,19868.000000,10366.000000,461.000000,350.000000
38,Zandhaai,111.000000,40.000000,-,-,35.000000,14.000000,76.000000,26.000000
39,Andere soorten,5193.000000,12456.000000,1332.000000,4304.000000,3770.000000,7866.000000,91.000000,284.000000
40,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,Pelagische vis :,NA,NA,NA,NA,NA,NA,NA,NA
42,Totaal,3735.000000,17658.000000,994.000000,4586.000000,2648.000000,13042.000000,93.000000,30.000000
