Zeevisserij,,,,,,,,
1,Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht,NA,NA,NA,NA,NA,NA,NA,NA
2,Verdeling volgens de aanvoerhavens en de vissoorten - Februari 2014,NA,NA,NA,NA,NA,NA,NA,NA
3,Vissoorten,Totaal van de havens,NA,Oostende,NA,Zeebrugge,NA,Nieuwpoort,NA
4,NA,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR
5,Algemeen totaal,1434120.000000,5458826.000000,444096.000000,1737022.000000,983330.000000,3690008.000000,6694.000000,31794.000000
6,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Bodemvissen :,NA,NA,NA,NA,NA,NA,NA,NA
8,Totaal,1277946.000000,5076694.000000,388680.000000,1606984.000000,884716.000000,3455004.000000,4550.000000,14706.000000
9,Schelvis,6039.000000,14738.000000,1358.000000,3352.000000,4681.000000,11386.000000,-,-
10,Kabeljauw,23059.000000,59078.000000,7520.000000,18906.000000,14999.000000,38642.000000,540.000000,1532.000000
11,Koolvis,103.000000,222.000000,45.000000,90.000000,58.000000,132.000000,-,-
12,Wijting,25809.000000,40972.000000,7898.000000,11850.000000,17882.000000,29106.000000,29.000000,16.000000
13,Pollak,9548.000000,33460.000000,2278.000000,7812.000000,7268.000000,25644.000000,2.000000,4.000000
14,Leng,2283.000000,6664.000000,536.000000,1550.000000,1747.000000,5116.000000,-,-
15,Heek,326.000000,788.000000,139.000000,354.000000,187.000000,434.000000,-,-
16,Steenbolk,88555.000000,35914.000000,23175.000000,9446.000000,65378.000000,26468.000000,2.000000,-
17,Schol,441323.000000,519726.000000,128982.000000,144302.000000,310873.000000,374286.000000,1468.000000,1138.000000
18,Bot,6469.000000,4682.000000,5287.000000,3722.000000,885.000000,814.000000,297.000000,146.000000
19,Schar,24559.000000,16846.000000,8609.000000,5566.000000,15272.000000,10668.000000,678.000000,612.000000
20,Tong,296143.000000,2931178.000000,101590.000000,937270.000000,193569.000000,1985398.000000,984.000000,8510.000000
21,Tarbot,26187.000000,348362.000000,10227.000000,131722.000000,15886.000000,215864.000000,74.000000,774.000000
22,Griet,21512.000000,187972.000000,8676.000000,69128.000000,12746.000000,118118.000000,90.000000,726.000000
23,Tongschar,51972.000000,280440.000000,21362.000000,104790.000000,30378.000000,174752.000000,232.000000,898.000000
