Zeevisserij,,,,,,,,
1,Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht,NA,NA,NA,NA,NA,NA,NA,NA
2,Verdeling volgens de aanvoerhavens en de vissoorten - Mei 2013,NA,NA,NA,NA,NA,NA,NA,NA
3,Vissoorten,Totaal van de havens,NA,Oostende,NA,Zeebrugge,NA,Nieuwpoort,NA
4,NA,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR
5,Algemeen totaal,1141304.000000,3746168.000000,424325.000000,1269556.000000,675581.000000,2346312.000000,41398.000000,130306.000000
6,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Bodemvissen :,NA,NA,NA,NA,NA,NA,NA,NA
8,Totaal,1043466.000000,3458910.000000,397366.000000,1162684.000000,610595.000000,2201818.000000,35505.000000,94410.000000
9,Schelvis,15849.000000,24222.000000,5471.000000,8054.000000,10378.000000,16168.000000,-,-
10,Kabeljauw,23149.000000,74784.000000,7272.000000,23368.000000,14865.000000,47010.000000,1012.000000,4406.000000
11,Koolvis,115.000000,258.000000,66.000000,166.000000,49.000000,92.000000,-,-
12,Wijting,15791.000000,17166.000000,7037.000000,6726.000000,8744.000000,10430.000000,10.000000,10.000000
13,Pollak,3699.000000,12516.000000,2600.000000,8586.000000,1099.000000,3930.000000,-,-
14,Leng,3409.000000,7000.000000,1692.000000,3120.000000,1717.000000,3880.000000,-,-
15,Heek,1555.000000,3314.000000,437.000000,782.000000,1118.000000,2532.000000,-,-
16,Steenbolk,13086.000000,8466.000000,3082.000000,1700.000000,9989.000000,6758.000000,15.000000,8.000000
17,Schol,277317.000000,309108.000000,117334.000000,118504.000000,140655.000000,167410.000000,19328.000000,23194.000000
18,Bot,85465.000000,50784.000000,50574.000000,31104.000000,29229.000000,17306.000000,5662.000000,2376.000000
19,Schar,35314.000000,17800.000000,20888.000000,10336.000000,13079.000000,6658.000000,1347.000000,806.000000
20,Tong,170174.000000,1570758.000000,65556.000000,546290.000000,99783.000000,986528.000000,4835.000000,37942.000000
21,Tarbot,18238.000000,179402.000000,5553.000000,53454.000000,12563.000000,124648.000000,122.000000,1298.000000
