Zeevisserij,,,,,,,,
1,Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht,NA,NA,NA,NA,NA,NA,NA,NA
2,Verdeling volgens de aanvoerhavens en de vissoorten - Mei 2016,NA,NA,NA,NA,NA,NA,NA,NA
3,Vissoorten,Totaal van de havens,NA,Oostende,NA,Zeebrugge,NA,Nieuwpoort,NA
4,NA,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR
5,Algemeen totaal,1140491.000000,4595068.000000,460136.000000,1755890.000000,676565.000000,2802302.000000,3790.000000,36872.000000
6,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Bodemvissen :,NA,NA,NA,NA,NA,NA,NA,NA
8,Totaal,1077158.000000,4329252.000000,423114.000000,1582632.000000,652474.000000,2733702.000000,1570.000000,12914.000000
9,Schelvis,18446.000000,24616.000000,5820.000000,7506.000000,12626.000000,17108.000000,-,-
10,Kabeljauw,48195.000000,130086.000000,7441.000000,23248.000000,40752.000000,106830.000000,2.000000,8.000000
11,Koolvis,684.000000,918.000000,50.000000,46.000000,634.000000,872.000000,-,-
12,Wijting,12961.000000,15646.000000,8546.000000,10582.000000,4411.000000,5062.000000,4.000000,2.000000
13,Pollak,1991.000000,7876.000000,887.000000,3462.000000,1104.000000,4414.000000,-,-
14,Leng,2661.000000,7788.000000,549.000000,1524.000000,2112.000000,6264.000000,-,-
15,Heek,1971.000000,4256.000000,479.000000,988.000000,1492.000000,3270.000000,-,-
16,Steenbolk,8983.000000,5988.000000,4767.000000,3398.000000,4216.000000,2590.000000,-,-
17,Schol,416199.000000,704892.000000,157017.000000,249572.000000,259011.000000,455088.000000,171.000000,230.000000
18,Bot,32338.000000,19774.000000,23675.000000,14372.000000,8483.000000,5308.000000,180.000000,94.000000
19,Schar,22289.000000,15726.000000,12478.000000,7896.000000,9475.000000,7488.000000,336.000000,342.000000
20,Tong,155691.000000,2008138.000000,66144.000000,778596.000000,88832.000000,1218398.000000,715.000000,11144.000000
21,Tarbot,22985.000000,247180.000000,10020.000000,100224.000000,12958.000000,146894.000000,7.000000,62.000000
22,Griet,13432.000000,110042.000000,5584.000000,44316.000000,7839.000000,65662.000000,9.000000,64.000000
23,Tongschar,54456.000000,267520.000000,11598.000000,54304.000000,42858.000000,213216.000000,-,-
24,Schartong,20061.000000,27542.000000,7785.000000,11116.000000,12276.000000,16426.000000,-,-
25,Heilbot,144.000000,1802.000000,55.000000,664.000000,89.000000,1138.000000,-,-
26,Hondstong,7413.000000,13154.000000,2728.000000,4444.000000,4685.000000,8708.000000,-,-
27,Rog,159241.000000,270894.000000,67711.000000,117940.000000,91527.000000,152944.000000,3.000000,10.000000
28,Rode poon,22841.000000,39478.000000,11643.000000,25774.000000,11194.000000,13700.000000,4.000000,2.000000
29,Grauwe poon,1122.000000,274.000000,226.000000,50.000000,896.000000,224.000000,-,-
30,Engelse poon,4229.000000,2530.000000,1243.000000,880.000000,2986.000000,1650.000000,-,-
31,Zeewolf,2959.000000,11366.000000,226.000000,822.000000,2733.000000,10544.000000,-,-
32,Zeeduivel,35078.000000,347042.000000,9268.000000,89172.000000,25810.000000,257870.000000,-,-
33,Kongeraal,1391.000000,2070.000000,739.000000,1078.000000,652.000000,992.000000,-,-
34,Roodbaars,4.000000,4.000000,-,-,4.000000,4.000000,-,-
35,Mul,6413.000000,20576.000000,4425.000000,17014.000000,1985.000000,3548.000000,3.000000,16.000000
36,Zeebaars,1518.000000,19622.000000,937.000000,11950.000000,516.000000,6846.000000,65.000000,828.000000
37,Doornhaai,-,-,-,-,-,-,-,-
38,Hondshaai,-,-,-,-,-,-,-,-
39,Zandhaai,572.000000,172.000000,444.000000,134.000000,69.000000,26.000000,59.000000,12.000000
40,Andere soorten,890.000000,2280.000000,629.000000,1560.000000,249.000000,618.000000,12.000000,100.000000
41,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,Pelagische vis :,NA,NA,NA,NA,NA,NA,NA,NA
43,Totaal,4884.000000,2480.000000,4670.000000,2152.000000,135.000000,308.000000,79.000000,20.000000
44,Horsmakereel,4308.000000,1444.000000,4215.000000,1404.000000,27.000000,26.000000,66.000000,14.000000
45,Haring,27.000000,24.000000,15.000000,18.000000,-,-,12.000000,4.000000
46,Makreel,549.000000,1012.000000,440.000000,730.000000,108.000000,282.000000,1.000000,2.000000
47,Sprot,-,-,-,-,-,-,-,-
48,Andere soorten,-,-,-,-,-,-,-,-
49,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,Schaal-en weekdieren :,NA,NA,NA,NA,NA,NA,NA,NA
51,Totaal,58449.000000,263336.000000,32352.000000,171106.000000,23956.000000,68292.000000,2141.000000,23938.000000
52,Garnaal,5781.000000,61616.000000,3652.000000,36774.000000,109.000000,1250.000000,2020.000000,23592.000000
53,Langoestine geheel,8161.000000,64360.000000,7386.000000,59946.000000,775.000000,4414.000000,-,-
54,Langoestine staartje,3583.000000,27714.000000,2279.000000,18690.000000,1304.000000,9024.000000,-,-
55,Noordzeekrab,4366.000000,13710.000000,1459.000000,4946.000000,2907.000000,8764.000000,-,-
56,Zeekreeft,30.000000,268.000000,24.000000,220.000000,6.000000,48.000000,-,-
57,Andere schaaldieren,589.000000,148.000000,286.000000,64.000000,303.000000,84.000000,-,-
58,Schelpen,20556.000000,62814.000000,9329.000000,29492.000000,11227.000000,33320.000000,-,-
59,Inktvis,8197.000000,25832.000000,5096.000000,18152.000000,2980.000000,7336.000000,121.000000,346.000000
60,Wulk,7186.000000,6874.000000,2841.000000,2822.000000,4345.000000,4052.000000,-,-
61,Andere soorten,-,-,-,-,-,-,-,-
62,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,* Algemene Directie Statistiek - Statistics Belgium op basis van de departementt Landbouw en visserij van de Vlaamse Overheid, AVKD.,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,NA,NA,NA,NA,NA,NA,NA
