Zeevisserij,,,,,,,,
1,Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht,NA,NA,NA,NA,NA,NA,NA,NA
2,Verdeling volgens de aanvoerhavens en de vissoorten - Juli 2013,NA,NA,NA,NA,NA,NA,NA,NA
3,Vissoorten,Totaal van de havens,NA,Oostende,NA,Zeebrugge,NA,Nieuwpoort,NA
4,NA,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR
5,Algemeen totaal,1142789.000000,4729972.000000,387616.000000,1399944.000000,740314.000000,3225022.000000,14859.000000,105010.000000
6,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Bodemvissen :,NA,NA,NA,NA,NA,NA,NA,NA
8,Totaal,1033546.000000,4098392.000000,327591.000000,989464.000000,699874.000000,3074770.000000,6081.000000,34160.000000
9,Schelvis,18856.000000,38932.000000,7556.000000,15608.000000,11300.000000,23324.000000,-,-
10,Kabeljauw,23318.000000,70132.000000,5519.000000,22186.000000,17790.000000,47920.000000,9.000000,26.000000
11,Koolvis,188.000000,372.000000,55.000000,98.000000,133.000000,272.000000,-,-
12,Wijting,15814.000000,16282.000000,9704.000000,8986.000000,6110.000000,7296.000000,-,-
13,Pollak,1227.000000,5056.000000,268.000000,1016.000000,959.000000,4040.000000,-,-
14,Leng,1849.000000,5334.000000,538.000000,1368.000000,1311.000000,3966.000000,-,-
15,Heek,5577.000000,11050.000000,1837.000000,3610.000000,3740.000000,7440.000000,-,-
16,Steenbolk,2611.000000,1364.000000,1190.000000,654.000000,1421.000000,712.000000,-,-
17,Schol,310679.000000,359080.000000,131685.000000,153728.000000,178515.000000,204622.000000,479.000000,730.000000
18,Bot,26292.000000,12592.000000,15575.000000,7552.000000,9012.000000,4342.000000,1705.000000,700.000000
19,Schar,20768.000000,11996.000000,9894.000000,5660.000000,10858.000000,6318.000000,16.000000,18.000000
20,Tong,235646.000000,2296274.000000,54815.000000,469914.000000,177197.000000,1794112.000000,3634.000000,32248.000000
