Zeevisserij,,,,,,,,
1,Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht,NA,NA,NA,NA,NA,NA,NA,NA
2,Verdeling volgens de aanvoerhavens en de vissoorten - September 2013,NA,NA,NA,NA,NA,NA,NA,NA
3,Vissoorten,Totaal van de havens,NA,Oostende,NA,Zeebrugge,NA,Nieuwpoort,NA
4,NA,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR
5,Algemeen totaal,1327111.000000,4098002.000000,374761.000000,1115620.000000,931796.000000,2881150.000000,20554.000000,101222.000000
6,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Bodemvissen :,NA,NA,NA,NA,NA,NA,NA,NA
8,Totaal,1177860.000000,3497798.000000,276857.000000,702384.000000,894455.000000,2756908.000000,6548.000000,38504.000000
9,Schelvis,12976.000000,27874.000000,1126.000000,2134.000000,11850.000000,25740.000000,-,-
10,Kabeljauw,104684.000000,291220.000000,15669.000000,41384.000000,88748.000000,249096.000000,267.000000,740.000000
11,Koolvis,976.000000,1614.000000,24.000000,42.000000,952.000000,1572.000000,-,-
12,Wijting,9249.000000,13874.000000,3773.000000,4914.000000,5471.000000,8956.000000,5.000000,2.000000
13,Pollak,1714.000000,7442.000000,151.000000,564.000000,1563.000000,6878.000000,-,-
14,Leng,2305.000000,6472.000000,213.000000,596.000000,2092.000000,5876.000000,-,-
15,Heek,4519.000000,10358.000000,834.000000,1880.000000,3685.000000,8478.000000,-,-
16,Steenbolk,3156.000000,2678.000000,814.000000,748.000000,2332.000000,1924.000000,10.000000,4.000000
17,Schol,547097.000000,714802.000000,157698.000000,191910.000000,388820.000000,522184.000000,579.000000,706.000000
18,Bot,18678.000000,12750.000000,9871.000000,6720.000000,7401.000000,5384.000000,1406.000000,648.000000
19,Schar,25392.000000,20184.000000,4179.000000,3166.000000,20918.000000,16764.000000,295.000000,256.000000
20,Tong,129704.000000,1178596.000000,26838.000000,227712.000000,100069.000000,927986.000000,2797.000000,22900.000000
21,Tarbot,25492.000000,259242.000000,8674.000000,78414.000000,16785.000000,180598.000000,33.000000,228.000000
22,Griet,14779.000000,112206.000000,3977.000000,28098.000000,10801.000000,84104.000000,1.000000,6.000000
23,Tongschar,65991.000000,219380.000000,10122.000000,33244.000000,55869.000000,186134.000000,-,-
24,Schartong,17053.000000,35802.000000,1471.000000,3356.000000,15582.000000,32446.000000,-,-
25,Heilbot,70.000000,902.000000,1.000000,8.000000,69.000000,896.000000,-,-
26,Hondstong,2198.000000,3970.000000,661.000000,1264.000000,1537.000000,2706.000000,-,-
27,Rog,126045.000000,267116.000000,16234.000000,30252.000000,109811.000000,236862.000000,-,-
28,Rode poon,8140.000000,14296.000000,2784.000000,4898.000000,5348.000000,9388.000000,8.000000,10.000000
29,Grauwe poon,3277.000000,1498.000000,29.000000,8.000000,3248.000000,1490.000000,-,-
30,Engelse poon,2115.000000,1756.000000,704.000000,616.000000,1411.000000,1140.000000,-,-
31,Zeewolf,5296.000000,17806.000000,369.000000,1226.000000,4927.000000,16580.000000,-,-
32,Zeeduivel,20218.000000,230310.000000,2738.000000,30972.000000,17480.000000,199338.000000,-,-
33,Kongeraal,1351.000000,2890.000000,486.000000,952.000000,865.000000,1938.000000,-,-
34,Roodbaars,-,-,-,-,-,-,-,-
35,Mul,175.000000,934.000000,34.000000,216.000000,141.000000,720.000000,-,-
36,Zeebaars,1828.000000,22060.000000,118.000000,1766.000000,675.000000,7380.000000,1035.000000,12912.000000
37,Doornhaai,-,-,-,-,-,-,-,-
38,Hondshaai,22513.000000,18134.000000,6790.000000,4142.000000,15717.000000,13988.000000,6.000000,2.000000
39,Zandhaai,197.000000,114.000000,-,-,156.000000,86.000000,41.000000,30.000000
40,Andere soorten,672.000000,1518.000000,475.000000,1182.000000,132.000000,276.000000,65.000000,60.000000
41,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,Pelagische vis :,NA,NA,NA,NA,NA,NA,NA,NA
43,Totaal,711.000000,570.000000,608.000000,430.000000,13.000000,32.000000,90.000000,106.000000
44,Horsmakereel,55.000000,34.000000,31.000000,16.000000,2.000000,2.000000,22.000000,16.000000
45,Haring,-,-,-,-,-,-,-,-
46,Makreel,656.000000,536.000000,577.000000,414.000000,11.000000,30.000000,68.000000,90.000000
47,Sprot,-,-,-,-,-,-,-,-
48,Andere soorten,-,-,-,-,-,-,-,-
49,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,Schaal-en weekdieren :,NA,NA,NA,NA,NA,NA,NA,NA
51,Totaal,148540.000000,599634.000000,97296.000000,412806.000000,37328.000000,124210.000000,13916.000000,62612.000000
52,Garnaal,89138.000000,371964.000000,61284.000000,240242.000000,13938.000000,69110.000000,13916.000000,62612.000000
53,Langoestine geheel,26948.000000,147648.000000,25765.000000,139118.000000,1183.000000,8528.000000,-,-
54,Langoestine staartje,2113.000000,15828.000000,1621.000000,11438.000000,492.000000,4390.000000,-,-
55,Noordzeekrab,9479.000000,12240.000000,1516.000000,3184.000000,7963.000000,9056.000000,-,-
56,Zeekreeft,161.000000,1586.000000,63.000000,544.000000,98.000000,1040.000000,-,-
57,Andere schaaldieren,108.000000,72.000000,5.000000,4.000000,103.000000,68.000000,-,-
58,Schelpen,4616.000000,15228.000000,1452.000000,4210.000000,3164.000000,11018.000000,-,-
59,Inktvis,13267.000000,31844.000000,4789.000000,12606.000000,8478.000000,19236.000000,-,-
60,Wulk,2710.000000,3224.000000,801.000000,1460.000000,1909.000000,1764.000000,-,-
61,Andere soorten,-,-,-,-,-,-,-,-
62,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,* Bron : Vlaamse Overheid - Departement Landbouw en Visserij,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,NA,NA,NA,NA,NA,NA,NA
