Zeevisserij,,,,,,,,
1,Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht,NA,NA,NA,NA,NA,NA,NA,NA
2,Verdeling volgens de aanvoerhavens en de vissoorten - Januari 2015,NA,NA,NA,NA,NA,NA,NA,NA
3,Vissoorten,Totaal van de havens,NA,Oostende,NA,Zeebrugge,NA,Nieuwpoort,NA
4,NA,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR
5,Algemeen totaal,1750404.000000,5951644.000000,591611.000000,1919724.000000,1153486.000000,4008996.000000,5307.000000,22928.000000
6,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Bodemvissen :,NA,NA,NA,NA,NA,NA,NA,NA
8,Totaal,1554550.000000,5330460.000000,539842.000000,1746042.000000,1012452.000000,3581466.000000,2256.000000,2956.000000
9,Schelvis,15131.000000,33396.000000,1589.000000,3276.000000,13542.000000,30122.000000,-,-
10,Kabeljauw,63767.000000,165268.000000,22758.000000,58258.000000,40050.000000,105050.000000,959.000000,1960.000000
11,Koolvis,46.000000,90.000000,4.000000,8.000000,42.000000,82.000000,-,-
12,Wijting,33598.000000,46396.000000,6298.000000,7774.000000,27241.000000,38568.000000,59.000000,54.000000
13,Pollak,2134.000000,7014.000000,307.000000,846.000000,1827.000000,6168.000000,-,-
14,Leng,4418.000000,11264.000000,504.000000,1220.000000,3914.000000,10046.000000,-,-
15,Heek,807.000000,1734.000000,94.000000,208.000000,713.000000,1524.000000,-,-
16,Steenbolk,44105.000000,30648.000000,19037.000000,10604.000000,25068.000000,20044.000000,-,-
17,Schol,657200.000000,853216.000000,250772.000000,324068.000000,406368.000000,529086.000000,60.000000,62.000000
18,Bot,2801.000000,1962.000000,1911.000000,1424.000000,616.000000,412.000000,274.000000,126.000000
19,Schar,12251.000000,10388.000000,4235.000000,3408.000000,7122.000000,6306.000000,894.000000,674.000000
20,Tong,212683.000000,2188476.000000,79016.000000,784734.000000,133664.000000,1403716.000000,3.000000,26.000000
21,Tarbot,30543.000000,322286.000000,12747.000000,132508.000000,17792.000000,189742.000000,4.000000,36.000000
22,Griet,26887.000000,192668.000000,12446.000000,86006.000000,14439.000000,106646.000000,2.000000,16.000000
23,Tongschar,64134.000000,403198.000000,17777.000000,109178.000000,46357.000000,294020.000000,-,-
24,Schartong,44111.000000,196348.000000,5968.000000,23900.000000,38143.000000,172448.000000,-,-
25,Heilbot,10.000000,128.000000,-,-,10.000000,128.000000,-,-
26,Hondstong,4649.000000,9590.000000,1012.000000,2280.000000,3637.000000,7310.000000,-,-
27,Rog,110177.000000,273530.000000,34581.000000,79026.000000,75596.000000,194504.000000,-,-
28,Rode poon,82236.000000,91684.000000,27872.000000,28628.000000,54364.000000,63056.000000,-,-
29,Grauwe poon,2211.000000,494.000000,169.000000,48.000000,2042.000000,446.000000,-,-
30,Engelse poon,19692.000000,7930.000000,2736.000000,844.000000,16956.000000,7086.000000,-,-
31,Zeewolf,39.000000,182.000000,-,-,39.000000,182.000000,-,-
32,Zeeduivel,35220.000000,339084.000000,5595.000000,49624.000000,29625.000000,289460.000000,-,-
33,Kongeraal,3587.000000,3964.000000,1249.000000,1016.000000,2338.000000,2948.000000,-,-
34,Roodbaars,-,-,-,-,-,-,-,-
35,Mul,6692.000000,26162.000000,423.000000,962.000000,6269.000000,25200.000000,-,-
36,Zeebaars,5118.000000,43132.000000,925.000000,7878.000000,4193.000000,35254.000000,-,-
37,Doornhaai,-,-,-,-,-,-,-,-
38,Hondshaai,69675.000000,69490.000000,29339.000000,27782.000000,40336.000000,41710.000000,-,-
39,Zandhaai,70.000000,68.000000,54.000000,52.000000,16.000000,16.000000,-,-
40,Andere soorten,558.000000,670.000000,424.000000,482.000000,133.000000,186.000000,1.000000,2.000000
41,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,Pelagische vis :,NA,NA,NA,NA,NA,NA,NA,NA
43,Totaal,4921.000000,2100.000000,-,-,4859.000000,2016.000000,62.000000,82.000000
44,Horsmakereel,1952.000000,826.000000,-,-,1952.000000,826.000000,-,-
45,Haring,2956.000000,1264.000000,-,-,2907.000000,1190.000000,49.000000,72.000000
46,Makreel,-,-,-,-,-,-,-,-
47,Sprot,13.000000,10.000000,-,-,-,-,13.000000,10.000000
48,Andere soorten,-,-,-,-,-,-,-,-
49,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,Schaal-en weekdieren :,NA,NA,NA,NA,NA,NA,NA,NA
51,Totaal,190933.000000,619084.000000,51769.000000,173682.000000,136175.000000,425514.000000,2989.000000,19890.000000
52,Garnaal,6670.000000,44894.000000,2770.000000,18132.000000,911.000000,6872.000000,2989.000000,19890.000000
53,Langoestine geheel,4803.000000,33978.000000,4803.000000,33978.000000,-,-,-,-
