Zeevisserij,,,,,,,,
1,Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht,NA,NA,NA,NA,NA,NA,NA,NA
2,Verdeling volgens de aanvoerhavens en de vissoorten - November 2015,NA,NA,NA,NA,NA,NA,NA,NA
3,Vissoorten,Totaal van de havens,NA,Oostende,NA,Zeebrugge,NA,Nieuwpoort,NA
4,NA,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR
5,Algemeen totaal,1803707.000000,6401976.000000,581989.000000,2013438.000000,1212707.000000,4344468.000000,9011.000000,44072.000000
6,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Bodemvissen :,NA,NA,NA,NA,NA,NA,NA,NA
8,Totaal,1592613.000000,5751098.000000,465182.000000,1633922.000000,1123593.000000,4108442.000000,3838.000000,8736.000000
9,Schelvis,5833.000000,13744.000000,221.000000,466.000000,5612.000000,13278.000000,-,-
10,Kabeljauw,146349.000000,421850.000000,7345.000000,25868.000000,137750.000000,391840.000000,1254.000000,4140.000000
11,Koolvis,780.000000,1278.000000,-,-,780.000000,1278.000000,-,-
12,Wijting,11751.000000,15204.000000,4443.000000,5542.000000,6625.000000,9236.000000,683.000000,426.000000
13,Pollak,2072.000000,9074.000000,10.000000,30.000000,2062.000000,9046.000000,-,-
14,Leng,1383.000000,4584.000000,68.000000,212.000000,1315.000000,4372.000000,-,-
15,Heek,574.000000,1428.000000,9.000000,16.000000,565.000000,1410.000000,-,-
16,Steenbolk,13184.000000,11442.000000,7388.000000,6224.000000,5788.000000,5214.000000,8.000000,4.000000
17,Schol,789580.000000,1450276.000000,190394.000000,340818.000000,598844.000000,1109020.000000,342.000000,438.000000
18,Bot,8183.000000,7158.000000,7098.000000,6382.000000,571.000000,490.000000,514.000000,286.000000
19,Schar,20827.000000,18738.000000,5423.000000,3938.000000,14686.000000,14292.000000,718.000000,510.000000
20,Tong,183179.000000,2155736.000000,72346.000000,783132.000000,110691.000000,1370696.000000,142.000000,1908.000000
21,Tarbot,49468.000000,451722.000000,18254.000000,166932.000000,31179.000000,284504.000000,35.000000,286.000000
22,Griet,38011.000000,220940.000000,12940.000000,71592.000000,25070.000000,149342.000000,1.000000,6.000000
23,Tongschar,75075.000000,520926.000000,10873.000000,60618.000000,64202.000000,460308.000000,-,-
24,Schartong,5.000000,10.000000,5.000000,10.000000,-,-,-,-
25,Heilbot,20.000000,262.000000,-,-,20.000000,262.000000,-,-
26,Hondstong,302.000000,940.000000,79.000000,230.000000,223.000000,710.000000,-,-
27,Rog,30453.000000,100242.000000,12919.000000,42440.000000,17511.000000,57736.000000,23.000000,66.000000
28,Rode poon,115171.000000,64016.000000,64279.000000,33416.000000,50880.000000,30574.000000,12.000000,26.000000
29,Grauwe poon,1741.000000,322.000000,31.000000,6.000000,1710.000000,316.000000,-,-
30,Engelse poon,4656.000000,2348.000000,2196.000000,718.000000,2460.000000,1628.000000,-,-
31,Zeewolf,4647.000000,16920.000000,-,-,4647.000000,16920.000000,-,-
32,Zeeduivel,12604.000000,167572.000000,2980.000000,32958.000000,9624.000000,134614.000000,-,-
33,Kongeraal,1599.000000,3112.000000,828.000000,1488.000000,771.000000,1626.000000,-,-
34,Roodbaars,13.000000,14.000000,-,-,13.000000,14.000000,-,-
35,Mul,33656.000000,48740.000000,19739.000000,27696.000000,13917.000000,21044.000000,-,-
36,Zeebaars,1131.000000,13232.000000,704.000000,7878.000000,377.000000,4782.000000,50.000000,572.000000
37,Doornhaai,-,-,-,-,-,-,-,-
38,Hondshaai,37966.000000,27280.000000,22872.000000,13794.000000,15043.000000,13426.000000,51.000000,62.000000
39,Zandhaai,1367.000000,710.000000,1119.000000,534.000000,248.000000,176.000000,-,-
40,Andere soorten,1033.000000,1278.000000,619.000000,984.000000,409.000000,288.000000,5.000000,6.000000
41,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,Pelagische vis :,NA,NA,NA,NA,NA,NA,NA,NA
43,Totaal,1706.000000,2654.000000,246.000000,450.000000,1243.000000,1872.000000,217.000000,330.000000
44,Horsmakereel,359.000000,440.000000,112.000000,130.000000,247.000000,310.000000,-,-
45,Haring,364.000000,628.000000,61.000000,104.000000,86.000000,194.000000,217.000000,330.000000
46,Makreel,983.000000,1586.000000,73.000000,216.000000,910.000000,1368.000000,-,-
47,Sprot,-,-,-,-,-,-,-,-
48,Andere soorten,-,-,-,-,-,-,-,-
49,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,Schaal-en weekdieren :,NA,NA,NA,NA,NA,NA,NA,NA
51,Totaal,209388.000000,648224.000000,116561.000000,379066.000000,87871.000000,234154.000000,4956.000000,35006.000000
52,Garnaal,16051.000000,108366.000000,8174.000000,50204.000000,2922.000000,23156.000000,4955.000000,35006.000000
53,Langoestine geheel,5245.000000,36424.000000,4854.000000,33504.000000,391.000000,2920.000000,-,-
54,Langoestine staartje,1078.000000,10910.000000,1010.000000,10156.000000,68.000000,756.000000,-,-
55,Noordzeekrab,23891.000000,13996.000000,5126.000000,3984.000000,18764.000000,10014.000000,1.000000,-
56,Zeekreeft,135.000000,1308.000000,123.000000,1200.000000,12.000000,108.000000,-,-
57,Andere schaaldieren,98.000000,80.000000,47.000000,68.000000,51.000000,12.000000,-,-
58,Schelpen,12973.000000,64784.000000,9012.000000,45736.000000,3961.000000,19048.000000,-,-
59,Inktvis,143093.000000,406960.000000,84793.000000,231258.000000,58300.000000,175700.000000,-,-
60,Wulk,6824.000000,5396.000000,3422.000000,2956.000000,3402.000000,2440.000000,-,-
61,Andere soorten,-,-,-,-,-,-,-,-
62,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,* Bron: Algemene Directie Statistiek - Statistics Belgium op basis van het departement Landbouw en visserij van de Vlaamse Overheid, AVKD,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,NA,NA,NA,NA,NA,NA,NA
