Zeevisserij,,,,,,,,
1,Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht,NA,NA,NA,NA,NA,NA,NA,NA
2,Verdeling volgens de aanvoerhavens en de vissoorten - Augustus 2013,NA,NA,NA,NA,NA,NA,NA,NA
3,Vissoorten,Totaal van de havens,NA,Oostende,NA,Zeebrugge,NA,Nieuwpoort,NA
4,NA,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR
5,Algemeen totaal,1152706.000000,3994830.000000,371188.000000,1234408.000000,763382.000000,2645990.000000,18136.000000,114426.000000
6,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Bodemvissen :,NA,NA,NA,NA,NA,NA,NA,NA
8,Totaal,1029264.000000,3365818.000000,300034.000000,832216.000000,722181.000000,2494066.000000,7049.000000,39536.000000
9,Schelvis,20755.000000,34286.000000,7299.000000,12798.000000,13456.000000,21488.000000,-,-
10,Kabeljauw,29743.000000,93032.000000,10801.000000,33860.000000,18931.000000,59132.000000,11.000000,40.000000
11,Koolvis,159.000000,262.000000,30.000000,52.000000,129.000000,210.000000,-,-
12,Wijting,22089.000000,21786.000000,15306.000000,13734.000000,6783.000000,8052.000000,-,-
13,Pollak,960.000000,3890.000000,206.000000,788.000000,754.000000,3102.000000,-,-
14,Leng,2175.000000,6100.000000,400.000000,1102.000000,1775.000000,4998.000000,-,-
15,Heek,4901.000000,7660.000000,963.000000,1758.000000,3938.000000,5900.000000,-,-
16,Steenbolk,4487.000000,2250.000000,1016.000000,540.000000,3471.000000,1710.000000,-,-
17,Schol,342208.000000,438544.000000,103403.000000,128716.000000,238567.000000,309468.000000,238.000000,362.000000
18,Bot,17667.000000,8826.000000,10361.000000,5542.000000,5268.000000,2522.000000,2038.000000,760.000000
19,Schar,24414.000000,15166.000000,9351.000000,5676.000000,15063.000000,9488.000000,-,-
20,Tong,141632.000000,1484642.000000,30284.000000,294386.000000,106741.000000,1152238.000000,4607.000000,38018.000000
21,Tarbot,27162.000000,265218.000000,9786.000000,97874.000000,17348.000000,167132.000000,28.000000,212.000000
22,Griet,13404.000000,93696.000000,5094.000000,35254.000000,8310.000000,58444.000000,-,-
23,Tongschar,36067.000000,121272.000000,10517.000000,36738.000000,25550.000000,84534.000000,-,-
24,Schartong,63550.000000,43474.000000,10638.000000,8330.000000,52912.000000,35144.000000,-,-
25,Heilbot,11.000000,146.000000,2.000000,20.000000,9.000000,126.000000,-,-
26,Hondstong,5673.000000,6060.000000,1689.000000,2748.000000,3984.000000,3312.000000,-,-
27,Rog,169011.000000,239234.000000,46794.000000,55910.000000,122217.000000,183324.000000,-,-
28,Rode poon,14683.000000,29806.000000,5997.000000,14908.000000,8683.000000,14896.000000,3.000000,2.000000
29,Grauwe poon,7659.000000,2326.000000,138.000000,52.000000,7521.000000,2274.000000,-,-
30,Engelse poon,10271.000000,5066.000000,4909.000000,2552.000000,5362.000000,2516.000000,-,-
31,Zeewolf,1546.000000,5652.000000,161.000000,556.000000,1385.000000,5096.000000,-,-
32,Zeeduivel,42780.000000,407754.000000,6272.000000,65002.000000,36508.000000,342750.000000,-,-
33,Kongeraal,1183.000000,2046.000000,248.000000,404.000000,935.000000,1644.000000,-,-
34,Roodbaars,-,-,-,-,-,-,-,-
35,Mul,1301.000000,9194.000000,902.000000,6382.000000,399.000000,2810.000000,-,-
36,Zeebaars,418.000000,5250.000000,162.000000,1924.000000,252.000000,3290.000000,4.000000,36.000000
37,Doornhaai,-,-,-,-,-,-,-,-
38,Hondshaai,22632.000000,11998.000000,6865.000000,3832.000000,15767.000000,8166.000000,-,-
39,Zandhaai,165.000000,82.000000,48.000000,26.000000,84.000000,38.000000,33.000000,18.000000
40,Andere soorten,558.000000,1100.000000,392.000000,752.000000,79.000000,262.000000,87.000000,88.000000
41,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,Pelagische vis :,NA,NA,NA,NA,NA,NA,NA,NA
43,Totaal,7284.000000,6924.000000,5505.000000,3956.000000,1661.000000,2940.000000,118.000000,26.000000
44,Horsmakereel,2027.000000,596.000000,1624.000000,484.000000,300.000000,110.000000,103.000000,2.000000
45,Haring,-,-,-,-,-,-,-,-
46,Makreel,5249.000000,6322.000000,3881.000000,3472.000000,1361.000000,2830.000000,7.000000,18.000000
47,Sprot,8.000000,6.000000,-,-,-,-,8.000000,6.000000
48,Andere soorten,-,-,-,-,-,-,-,-
49,NA,NA,NA,NA,NA,NA,NA,NA,NA
