Zeevisserij,,,,,,,,
1,Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht,NA,NA,NA,NA,NA,NA,NA,NA
2,Verdeling volgens de aanvoerhavens en de vissoorten - Oktober 2014,NA,NA,NA,NA,NA,NA,NA,NA
3,Vissoorten,Totaal van de havens,NA,Oostende,NA,Zeebrugge,NA,Nieuwpoort,NA
4,NA,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR
5,Algemeen totaal,2271928.000000,7380422.000000,686768.000000,2479082.000000,1558947.000000,4813542.000000,26213.000000,87786.000000
6,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Bodemvissen :,NA,NA,NA,NA,NA,NA,NA,NA
8,Totaal,2022219.000000,6592598.000000,525749.000000,1964274.000000,1492998.000000,4615126.000000,3472.000000,13192.000000
9,Schelvis,19138.000000,44974.000000,2025.000000,3948.000000,17113.000000,41026.000000,-,-
10,Kabeljauw,199196.000000,540804.000000,24267.000000,59070.000000,174464.000000,480536.000000,465.000000,1198.000000
11,Koolvis,752.000000,1114.000000,21.000000,28.000000,731.000000,1084.000000,-,-
12,Wijting,7418.000000,16484.000000,4308.000000,9412.000000,3080.000000,7026.000000,30.000000,48.000000
13,Pollak,5291.000000,20600.000000,559.000000,1716.000000,4732.000000,18884.000000,-,-
14,Leng,3489.000000,9814.000000,515.000000,1206.000000,2974.000000,8608.000000,-,-
15,Heek,1454.000000,4136.000000,249.000000,550.000000,1205.000000,3586.000000,-,-
16,Steenbolk,8924.000000,7192.000000,6181.000000,4584.000000,2743.000000,2608.000000,-,-
17,Schol,1038525.000000,1434262.000000,219574.000000,290858.000000,818776.000000,1143146.000000,175.000000,258.000000
18,Bot,16792.000000,12904.000000,13636.000000,10820.000000,1764.000000,1360.000000,1392.000000,724.000000
19,Schar,33288.000000,30322.000000,7408.000000,6002.000000,25519.000000,23946.000000,361.000000,374.000000
20,Tong,244447.000000,2536224.000000,102527.000000,1033526.000000,141009.000000,1492610.000000,911.000000,10088.000000
21,Tarbot,43424.000000,447424.000000,17547.000000,169188.000000,25863.000000,278126.000000,14.000000,108.000000
22,Griet,27832.000000,218102.000000,10988.000000,78382.000000,16844.000000,139720.000000,-,-
23,Tongschar,118059.000000,552228.000000,15274.000000,63872.000000,102785.000000,488356.000000,-,-
24,Schartong,9641.000000,36660.000000,4553.000000,15938.000000,5088.000000,20720.000000,-,-
25,Heilbot,50.000000,554.000000,-,-,50.000000,554.000000,-,-
26,Hondstong,1013.000000,2062.000000,445.000000,870.000000,568.000000,1190.000000,-,-
27,Rog,95740.000000,236590.000000,29521.000000,74104.000000,66219.000000,162486.000000,-,-
28,Rode poon,57160.000000,57936.000000,27726.000000,32094.000000,29434.000000,25842.000000,-,-
