Zeevisserij,,,,,,,,
1,Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht,NA,NA,NA,NA,NA,NA,NA,NA
2,Verdeling volgens de aanvoerhavens en de vissoorten - April 2016,NA,NA,NA,NA,NA,NA,NA,NA
3,Vissoorten,Totaal van de havens,NA,Oostende,NA,Zeebrugge,NA,Nieuwpoort,NA
4,NA,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR
5,Algemeen totaal,1407716.000000,6145072.000000,576625.000000,2163986.000000,825855.000000,3944500.000000,5236.000000,36580.000000
6,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Bodemvissen :,NA,NA,NA,NA,NA,NA,NA,NA
8,Totaal,1262369.000000,5651828.000000,519275.000000,1950064.000000,738868.000000,3676416.000000,4226.000000,25344.000000
9,Schelvis,25165.000000,39410.000000,6102.000000,9728.000000,19063.000000,29682.000000,-,-
10,Kabeljauw,52320.000000,141194.000000,12569.000000,36562.000000,39584.000000,103964.000000,167.000000,670.000000
11,Koolvis,571.000000,908.000000,22.000000,34.000000,549.000000,874.000000,-,-
12,Wijting,73773.000000,77602.000000,24518.000000,21502.000000,49195.000000,56072.000000,60.000000,28.000000
13,Pollak,8157.000000,25860.000000,2535.000000,7786.000000,5622.000000,18074.000000,-,-
14,Leng,15168.000000,27022.000000,2728.000000,4994.000000,12440.000000,22028.000000,-,-
15,Heek,1515.000000,3144.000000,247.000000,518.000000,1268.000000,2624.000000,-,-
16,Steenbolk,24657.000000,15586.000000,10209.000000,4498.000000,14448.000000,11088.000000,-,-
17,Schol,245423.000000,382164.000000,130745.000000,191816.000000,114155.000000,189646.000000,523.000000,702.000000
18,Bot,50213.000000,31476.000000,45290.000000,28402.000000,4787.000000,3028.000000,136.000000,48.000000
19,Schar,30828.000000,17556.000000,21176.000000,11370.000000,8638.000000,5556.000000,1014.000000,628.000000
20,Tong,277993.000000,2807134.000000,101598.000000,955710.000000,174225.000000,1829404.000000,2170.000000,22018.000000
21,Tarbot,24375.000000,277600.000000,10994.000000,124454.000000,13348.000000,152816.000000,33.000000,328.000000
22,Griet,23853.000000,175236.000000,9485.000000,69710.000000,14309.000000,105146.000000,59.000000,380.000000
23,Tongschar,99927.000000,507004.000000,17165.000000,83418.000000,82762.000000,423586.000000,-,-
24,Schartong,19383.000000,31014.000000,4887.000000,7694.000000,14496.000000,23320.000000,-,-
25,Heilbot,117.000000,1702.000000,19.000000,254.000000,98.000000,1448.000000,-,-
26,Hondstong,25823.000000,43550.000000,3316.000000,5768.000000,22507.000000,37784.000000,-,-
27,Rog,85259.000000,249878.000000,47665.000000,133124.000000,37593.000000,116752.000000,1.000000,2.000000
28,Rode poon,66771.000000,85272.000000,35461.000000,52684.000000,31310.000000,32590.000000,-,-
29,Grauwe poon,2176.000000,528.000000,124.000000,30.000000,2052.000000,496.000000,-,-
30,Engelse poon,24627.000000,14224.000000,6603.000000,4056.000000,18024.000000,10166.000000,-,-
31,Zeewolf,1079.000000,4468.000000,-,-,1079.000000,4468.000000,-,-
32,Zeeduivel,59567.000000,554286.000000,12442.000000,110812.000000,47125.000000,443474.000000,-,-
33,Kongeraal,2743.000000,3518.000000,1297.000000,1722.000000,1446.000000,1796.000000,-,-
34,Roodbaars,-,-,-,-,-,-,-,-
35,Mul,15026.000000,84204.000000,9492.000000,61822.000000,5534.000000,22382.000000,-,-
36,Zeebaars,4950.000000,49362.000000,1838.000000,20834.000000,3064.000000,28000.000000,48.000000,528.000000
37,Doornhaai,-,-,-,-,-,-,-,-
38,Hondshaai,-,-,-,-,-,-,-,-
39,Zandhaai,323.000000,144.000000,263.000000,98.000000,53.000000,44.000000,7.000000,2.000000
40,Andere soorten,587.000000,782.000000,485.000000,664.000000,94.000000,108.000000,8.000000,10.000000
41,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,Pelagische vis :,NA,NA,NA,NA,NA,NA,NA,NA
43,Totaal,16467.000000,8640.000000,16097.000000,8298.000000,275.000000,320.000000,95.000000,18.000000
44,Horsmakereel,8765.000000,3312.000000,8617.000000,3154.000000,104.000000,152.000000,44.000000,4.000000
45,Haring,3780.000000,1058.000000,3587.000000,948.000000,142.000000,96.000000,51.000000,14.000000
46,Makreel,3922.000000,4270.000000,3893.000000,4196.000000,29.000000,72.000000,-,-
47,Sprot,-,-,-,-,-,-,-,-
48,Andere soorten,-,-,-,-,-,-,-,-
49,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,Schaal-en weekdieren :,NA,NA,NA,NA,NA,NA,NA,NA
51,Totaal,128880.000000,484604.000000,41253.000000,205624.000000,86712.000000,267764.000000,915.000000,11218.000000
