Zeevisserij,,,,,,,,
1,Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht,NA,NA,NA,NA,NA,NA,NA,NA
2,Verdeling volgens de aanvoerhavens en de vissoorten - Januari 2012,NA,NA,NA,NA,NA,NA,NA,NA
3,Vissoorten,Totaal van de havens,NA,Oostende,NA,Zeebrugge,NA,Nieuwpoort,NA
4,NA,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR
5,Algemeen totaal,1498204.000000,5946484.000000,496141.000000,1878622.000000,996933.000000,4048956.000000,5130.000000,18910.000000
6,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Bodemvissen :,NA,NA,NA,NA,NA,NA,NA,NA
8,Totaal,1304938.000000,5377246.000000,430047.000000,1686796.000000,870762.000000,3677728.000000,4129.000000,12722.000000
9,Schelvis,28870.000000,32950.000000,4782.000000,5250.000000,24088.000000,27700.000000,-,-
10,Kabeljauw,82605.000000,203328.000000,22449.000000,58882.000000,59347.000000,142262.000000,809.000000,2182.000000
11,Koolvis,36.000000,76.000000,6.000000,16.000000,30.000000,60.000000,-,-
12,Wijting,27752.000000,33306.000000,5495.000000,6246.000000,22134.000000,26972.000000,123.000000,88.000000
13,Pollak,4126.000000,12056.000000,578.000000,1778.000000,3548.000000,10278.000000,-,-
14,Leng,7859.000000,14556.000000,1056.000000,2026.000000,6803.000000,12530.000000,-,-
15,Heek,693.000000,1724.000000,174.000000,358.000000,519.000000,1366.000000,-,-
16,Steenbolk,48875.000000,21846.000000,21552.000000,7988.000000,27254.000000,13822.000000,69.000000,36.000000
17,Schol,306106.000000,408918.000000,124934.000000,158814.000000,180913.000000,249816.000000,259.000000,288.000000
18,Bot,2977.000000,1874.000000,1178.000000,866.000000,1603.000000,896.000000,196.000000,112.000000
19,Schar,17723.000000,16060.000000,7885.000000,6642.000000,9199.000000,8674.000000,639.000000,744.000000
20,Tong,240159.000000,2772788.000000,79758.000000,909678.000000,159945.000000,1857642.000000,456.000000,5468.000000
21,Tarbot,28779.000000,265960.000000,9517.000000,92964.000000,19220.000000,172632.000000,42.000000,364.000000
22,Griet,24846.000000,166240.000000,9273.000000,61194.000000,15559.000000,104954.000000,14.000000,92.000000
23,Tongschar,85116.000000,323740.000000,25353.000000,91584.000000,59749.000000,232114.000000,14.000000,40.000000
24,Schartong,52373.000000,158082.000000,9989.000000,23752.000000,42384.000000,134332.000000,-,-
25,Heilbot,-,-,-,-,-,-,-,-
26,Rog,136170.000000,248708.000000,46515.000000,80960.000000,88605.000000,166040.000000,1050.000000,1708.000000
27,Rode poon,45592.000000,66338.000000,10303.000000,15010.000000,35280.000000,51314.000000,9.000000,14.000000
28,Grauwe poon,2251.000000,592.000000,32.000000,8.000000,2219.000000,584.000000,-,-
29,Engelse poon,21518.000000,12404.000000,5723.000000,3408.000000,15795.000000,8996.000000,-,-
30,Zeewolf,-,-,-,-,-,-,-,-
31,Zeeduivel,52056.000000,413608.000000,14562.000000,104374.000000,37494.000000,309234.000000,-,-
32,Kongeraal,3187.000000,3776.000000,814.000000,842.000000,2373.000000,2934.000000,-,-
33,Roodbaars,-,-,-,-,-,-,-,-
34,Mul,8713.000000,42512.000000,-,-,8713.000000,42512.000000,-,-
35,Zeebaars,7755.000000,52922.000000,2362.000000,16198.000000,5218.000000,35336.000000,175.000000,1388.000000
36,Doornhaai,6.000000,20.000000,6.000000,20.000000,-,-,-,-
37,Hondshaai,47207.000000,21672.000000,18211.000000,7830.000000,28745.000000,13724.000000,251.000000,120.000000
38,Zandhaai,6.000000,2.000000,6.000000,2.000000,-,-,-,-
39,Andere soorten,21582.000000,81188.000000,7534.000000,30106.000000,14025.000000,51004.000000,23.000000,78.000000
40,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,Pelagische vis :,NA,NA,NA,NA,NA,NA,NA,NA
42,Totaal,1427.000000,3390.000000,14.000000,8.000000,1386.000000,3342.000000,27.000000,40.000000
43,Horsmakereel,570.000000,646.000000,14.000000,8.000000,556.000000,638.000000,-,-
44,Haring,27.000000,40.000000,-,-,-,-,27.000000,40.000000
45,Makreel,-,-,-,-,-,-,-,-
46,Sprot,55.000000,110.000000,-,-,55.000000,110.000000,-,-
47,Andere soorten,775.000000,2594.000000,-,-,775.000000,2594.000000,-,-
48,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,Schaal-en weekdieren :,NA,NA,NA,NA,NA,NA,NA,NA
50,Totaal,191839.000000,565848.000000,66080.000000,191818.000000,124785.000000,367886.000000,974.000000,6148.000000
51,Garnaal,4249.000000,20810.000000,2827.000000,11526.000000,448.000000,3136.000000,974.000000,6148.000000
52,Langoestine geheel,3760.000000,24986.000000,3517.000000,23672.000000,243.000000,1314.000000,-,-
53,Langoestine staartje,292.000000,2940.000000,246.000000,2582.000000,46.000000,360.000000,-,-
54,Noordzeekrab,2887.000000,7258.000000,864.000000,2374.000000,2023.000000,4884.000000,-,-
55,Zeekreeft,121.000000,1012.000000,91.000000,636.000000,30.000000,378.000000,-,-
56,Andere schaaldieren,475.000000,336.000000,33.000000,24.000000,442.000000,312.000000,-,-
57,Schelpen,69716.000000,155250.000000,26008.000000,58408.000000,43708.000000,96842.000000,-,-
58,Inktvis,105428.000000,350590.000000,30921.000000,91556.000000,74507.000000,259034.000000,-,-
59,Wulk,4911.000000,2666.000000,1573.000000,1040.000000,3338.000000,1626.000000,-,-
60,Andere soorten,-,-,-,-,-,-,-,-
61,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,* Bron : Vlaamse Overheid - Departement Landbouw en Visserij,NA,NA,NA,NA,NA,NA,NA,NA
63,NA,NA,NA,NA,NA,NA,NA,NA,NA
