Zeevisserij,,,,,,,,
1,Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht,NA,NA,NA,NA,NA,NA,NA,NA
2,Verdeling volgens de aanvoerhavens en de vissoorten - Januari 2016,NA,NA,NA,NA,NA,NA,NA,NA
3,Vissoorten,Totaal van de havens,NA,Oostende,NA,Zeebrugge,NA,Nieuwpoort,NA
4,NA,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR
5,Algemeen totaal,1934332.000000,6173018.000000,631652.000000,1981560.000000,1300748.000000,4180164.000000,1932.000000,11298.000000
6,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Bodemvissen :,NA,NA,NA,NA,NA,NA,NA,NA
8,Totaal,1656417.000000,5292876.000000,544670.000000,1667292.000000,1110233.000000,3617274.000000,1514.000000,8312.000000
9,Schelvis,10839.000000,22150.000000,676.000000,2116.000000,10163.000000,20034.000000,-,-
10,Kabeljauw,48202.000000,158732.000000,13301.000000,46088.000000,34295.000000,110472.000000,606.000000,2172.000000
11,Koolvis,376.000000,606.000000,16.000000,22.000000,360.000000,586.000000,-,-
12,Wijting,28187.000000,37956.000000,9756.000000,13908.000000,18381.000000,24012.000000,50.000000,36.000000
13,Pollak,3225.000000,11076.000000,373.000000,1362.000000,2852.000000,9712.000000,-,-
14,Leng,2440.000000,6094.000000,148.000000,438.000000,2292.000000,5656.000000,-,-
15,Heek,907.000000,2432.000000,21.000000,50.000000,886.000000,2382.000000,-,-
16,Steenbolk,50985.000000,38604.000000,21959.000000,13720.000000,28993.000000,24836.000000,33.000000,46.000000
17,Schol,826931.000000,1260098.000000,248714.000000,382454.000000,578168.000000,877592.000000,49.000000,52.000000
18,Bot,3622.000000,3244.000000,3110.000000,2832.000000,454.000000,378.000000,58.000000,36.000000
19,Schar,13083.000000,11746.000000,6561.000000,5324.000000,6252.000000,6160.000000,270.000000,262.000000
20,Tong,164825.000000,2036976.000000,54361.000000,651936.000000,110063.000000,1379550.000000,401.000000,5492.000000
21,Tarbot,34511.000000,332622.000000,12388.000000,123436.000000,22107.000000,209012.000000,16.000000,174.000000
22,Griet,28646.000000,168102.000000,10142.000000,60206.000000,18503.000000,107892.000000,1.000000,4.000000
23,Tongschar,47621.000000,327560.000000,12320.000000,78534.000000,35301.000000,249026.000000,-,-
24,Schartong,15904.000000,54320.000000,2147.000000,6656.000000,13757.000000,47664.000000,-,-
25,Heilbot,11.000000,146.000000,-,-,11.000000,146.000000,-,-
26,Hondstong,3800.000000,7948.000000,1100.000000,2114.000000,2700.000000,5834.000000,-,-
27,Rog,96111.000000,209374.000000,31836.000000,72198.000000,64271.000000,137162.000000,4.000000,16.000000
28,Rode poon,119673.000000,112054.000000,60532.000000,64220.000000,59141.000000,47834.000000,-,-
29,Grauwe poon,463.000000,96.000000,5.000000,2.000000,458.000000,94.000000,-,-
30,Engelse poon,41316.000000,21442.000000,10893.000000,5118.000000,30423.000000,16324.000000,-,-
31,Zeewolf,1469.000000,6164.000000,63.000000,192.000000,1406.000000,5972.000000,-,-
32,Zeeduivel,33424.000000,364688.000000,8287.000000,79076.000000,25137.000000,285612.000000,-,-
33,Kongeraal,6618.000000,7820.000000,1921.000000,2434.000000,4697.000000,5384.000000,-,-
34,Roodbaars,-,-,-,-,-,-,-,-
35,Mul,10833.000000,32944.000000,6790.000000,26310.000000,4043.000000,6634.000000,-,-
36,Zeebaars,1986.000000,21948.000000,848.000000,10646.000000,1138.000000,11302.000000,-,-
37,Doornhaai,-,-,-,-,-,-,-,-
38,Hondshaai,59203.000000,34328.000000,25721.000000,14726.000000,33472.000000,19596.000000,10.000000,6.000000
39,Zandhaai,468.000000,354.000000,113.000000,94.000000,355.000000,260.000000,-,-
40,Andere soorten,738.000000,1252.000000,568.000000,1080.000000,154.000000,156.000000,16.000000,16.000000
41,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,Pelagische vis :,NA,NA,NA,NA,NA,NA,NA,NA
43,Totaal,2608.000000,5622.000000,2240.000000,4856.000000,290.000000,650.000000,78.000000,114.000000
44,Horsmakereel,316.000000,430.000000,242.000000,340.000000,74.000000,88.000000,-,-
45,Haring,368.000000,768.000000,212.000000,418.000000,101.000000,272.000000,55.000000,78.000000
46,Makreel,1879.000000,4360.000000,1764.000000,4070.000000,115.000000,290.000000,-,-
47,Sprot,45.000000,64.000000,22.000000,28.000000,-,-,23.000000,36.000000
48,Andere soorten,-,-,-,-,-,-,-,-
49,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,Schaal-en weekdieren :,NA,NA,NA,NA,NA,NA,NA,NA
51,Totaal,275307.000000,874520.000000,84742.000000,309412.000000,190225.000000,562240.000000,340.000000,2872.000000
52,Garnaal,2656.000000,20404.000000,2266.000000,17132.000000,50.000000,400.000000,340.000000,2872.000000
53,Langoestine geheel,3607.000000,23154.000000,3572.000000,22996.000000,35.000000,160.000000,-,-
54,Langoestine staartje,387.000000,4532.000000,366.000000,4244.000000,21.000000,288.000000,-,-
55,Noordzeekrab,2671.000000,7942.000000,791.000000,2534.000000,1880.000000,5408.000000,-,-
56,Zeekreeft,114.000000,1036.000000,69.000000,570.000000,45.000000,464.000000,-,-
57,Andere schaaldieren,518.000000,138.000000,6.000000,6.000000,512.000000,132.000000,-,-
58,Schelpen,48002.000000,156246.000000,15945.000000,54132.000000,32057.000000,102116.000000,-,-
59,Inktvis,213005.000000,657652.000000,60319.000000,206460.000000,152686.000000,451194.000000,-,-
60,Wulk,4347.000000,3416.000000,1408.000000,1338.000000,2939.000000,2078.000000,-,-
61,Andere soorten,-,-,-,-,-,-,-,-
62,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,* Algemene Directie Statistiek - Statistics Belgium op basis van de departementt Landbouw en visserij van de Vlaamse Overheid, AVKD.,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,NA,NA,NA,NA,NA,NA,NA
