Zeevisserij,,,,,,,,
1,Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht,NA,NA,NA,NA,NA,NA,NA,NA
2,Verdeling volgens de aanvoerhavens en de vissoorten - December 2013,NA,NA,NA,NA,NA,NA,NA,NA
3,Vissoorten,Totaal van de havens,NA,Oostende,NA,Zeebrugge,NA,Nieuwpoort,NA
4,NA,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR
5,Algemeen totaal,1415866.000000,5285158.000000,518750.000000,1789844.000000,884490.000000,3431674.000000,12626.000000,63628.000000
6,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Bodemvissen :,NA,NA,NA,NA,NA,NA,NA,NA
8,Totaal,1259861.000000,4801134.000000,450052.000000,1537074.000000,806375.000000,3248836.000000,3434.000000,15212.000000
9,Schelvis,12272.000000,22948.000000,2629.000000,4690.000000,9643.000000,18258.000000,-,-
10,Kabeljauw,48559.000000,154504.000000,7081.000000,26536.000000,40705.000000,125376.000000,773.000000,2590.000000
11,Koolvis,85.000000,174.000000,2.000000,4.000000,83.000000,170.000000,-,-
12,Wijting,20901.000000,22516.000000,6605.000000,7554.000000,14212.000000,14886.000000,84.000000,76.000000
13,Pollak,2180.000000,8840.000000,294.000000,1294.000000,1886.000000,7546.000000,-,-
14,Leng,3486.000000,9214.000000,450.000000,1216.000000,3036.000000,8000.000000,-,-
15,Heek,927.000000,1604.000000,177.000000,316.000000,750.000000,1286.000000,-,-
16,Steenbolk,18995.000000,9048.000000,12684.000000,5176.000000,6303.000000,3868.000000,8.000000,4.000000
17,Schol,461805.000000,560864.000000,186066.000000,216318.000000,275736.000000,344542.000000,3.000000,4.000000
18,Bot,737.000000,478.000000,139.000000,122.000000,68.000000,48.000000,530.000000,308.000000
19,Schar,12121.000000,10482.000000,3012.000000,3120.000000,8014.000000,6472.000000,1095.000000,890.000000
20,Tong,242767.000000,2021592.000000,86593.000000,656968.000000,156164.000000,1364548.000000,10.000000,76.000000
21,Tarbot,36095.000000,454578.000000,14754.000000,178076.000000,21338.000000,276472.000000,3.000000,30.000000
22,Griet,30091.000000,228012.000000,12657.000000,91234.000000,17434.000000,136778.000000,-,-
23,Tongschar,75123.000000,365452.000000,24837.000000,122578.000000,50286.000000,242874.000000,-,-
24,Schartong,56856.000000,68356.000000,8083.000000,8410.000000,48773.000000,59944.000000,-,-
25,Heilbot,-,-,-,-,-,-,-,-
26,Hondstong,6405.000000,10086.000000,1103.000000,2664.000000,5302.000000,7422.000000,-,-
27,Rog,106516.000000,189702.000000,29307.000000,50434.000000,77209.000000,139266.000000,-,-
28,Rode poon,33231.000000,28692.000000,17619.000000,14202.000000,15611.000000,14488.000000,1.000000,2.000000
29,Grauwe poon,588.000000,156.000000,35.000000,8.000000,553.000000,148.000000,-,-
30,Engelse poon,10402.000000,3458.000000,6212.000000,1662.000000,4190.000000,1796.000000,-,-
31,Zeewolf,1303.000000,5176.000000,2.000000,6.000000,1301.000000,5170.000000,-,-
32,Zeeduivel,38532.000000,554200.000000,9001.000000,109126.000000,29531.000000,445074.000000,-,-
33,Kongeraal,3197.000000,5468.000000,983.000000,2048.000000,2214.000000,3420.000000,-,-
34,Roodbaars,-,-,-,-,-,-,-,-
35,Mul,2253.000000,10934.000000,1267.000000,7014.000000,986.000000,3918.000000,-,-
36,Zeebaars,4147.000000,41456.000000,2086.000000,19102.000000,1158.000000,11142.000000,903.000000,11212.000000
37,Doornhaai,18.000000,48.000000,15.000000,40.000000,3.000000,6.000000,-,-
38,Hondshaai,29465.000000,11660.000000,15845.000000,5962.000000,13605.000000,5692.000000,15.000000,6.000000
39,Zandhaai,31.000000,24.000000,12.000000,6.000000,19.000000,16.000000,-,-
40,Andere soorten,773.000000,1412.000000,502.000000,1188.000000,262.000000,210.000000,9.000000,14.000000
41,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,Pelagische vis :,NA,NA,NA,NA,NA,NA,NA,NA
43,Totaal,5295.000000,2538.000000,238.000000,168.000000,5017.000000,2314.000000,40.000000,56.000000
44,Horsmakereel,575.000000,458.000000,189.000000,120.000000,386.000000,338.000000,-,-
45,Haring,3904.000000,1314.000000,49.000000,48.000000,3832.000000,1226.000000,23.000000,40.000000
46,Makreel,-,-,-,-,-,-,-,-
47,Sprot,816.000000,766.000000,-,-,799.000000,750.000000,17.000000,16.000000
48,Andere soorten,-,-,-,-,-,-,-,-
49,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,Schaal-en weekdieren :,NA,NA,NA,NA,NA,NA,NA,NA
51,Totaal,150710.000000,481486.000000,68460.000000,252602.000000,73098.000000,180524.000000,9152.000000,48360.000000
52,Garnaal,22906.000000,134648.000000,11745.000000,71832.000000,2009.000000,14458.000000,9152.000000,48360.000000
53,Langoestine geheel,11082.000000,69224.000000,8480.000000,54412.000000,2602.000000,14810.000000,-,-
54,Langoestine staartje,639.000000,5990.000000,407.000000,3876.000000,232.000000,2112.000000,-,-
55,Noordzeekrab,6844.000000,12934.000000,2573.000000,4618.000000,4271.000000,8316.000000,-,-
56,Zeekreeft,108.000000,1228.000000,60.000000,588.000000,48.000000,640.000000,-,-
57,Andere schaaldieren,622.000000,1098.000000,142.000000,330.000000,480.000000,768.000000,-,-
58,Schelpen,31646.000000,100114.000000,13105.000000,50152.000000,18541.000000,49964.000000,-,-
59,Inktvis,64274.000000,146492.000000,29429.000000,63232.000000,34845.000000,83260.000000,-,-
60,Wulk,12589.000000,9758.000000,2519.000000,3562.000000,10070.000000,6196.000000,-,-
61,Andere soorten,-,-,-,-,-,-,-,-
62,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,* Bron : Vlaamse Overheid - Departement Landbouw en Visserij,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,NA,NA,NA,NA,NA,NA,NA
