Zeevisserij,,,,,,,,
1,Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht,NA,NA,NA,NA,NA,NA,NA,NA
2,Verdeling volgens de aanvoerhavens en de vissoorten - December 2014,NA,NA,NA,NA,NA,NA,NA,NA
3,Vissoorten,Totaal van de havens,NA,Oostende,NA,Zeebrugge,NA,Nieuwpoort,NA
4,NA,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR
5,Algemeen totaal,1773879.000000,6397980.000000,498744.000000,1844980.000000,1269797.000000,4526454.000000,5338.000000,26544.000000
6,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Bodemvissen :,NA,NA,NA,NA,NA,NA,NA,NA
8,Totaal,1554553.000000,5713146.000000,433250.000000,1659894.000000,1119848.000000,4051234.000000,1455.000000,2018.000000
9,Schelvis,10694.000000,22846.000000,4.000000,2.000000,10690.000000,22844.000000,-,-
10,Kabeljauw,131603.000000,312050.000000,14529.000000,36600.000000,116782.000000,274494.000000,292.000000,956.000000
11,Koolvis,664.000000,986.000000,-,-,664.000000,986.000000,-,-
12,Wijting,10537.000000,14568.000000,3032.000000,4298.000000,7468.000000,10232.000000,37.000000,38.000000
13,Pollak,1540.000000,6236.000000,187.000000,676.000000,1353.000000,5562.000000,-,-
14,Leng,2274.000000,6864.000000,105.000000,280.000000,2169.000000,6584.000000,-,-
15,Heek,468.000000,1016.000000,32.000000,48.000000,436.000000,968.000000,-,-
16,Steenbolk,20239.000000,13748.000000,9579.000000,6542.000000,10660.000000,7208.000000,-,-
17,Schol,798989.000000,1179226.000000,197864.000000,284526.000000,601109.000000,894682.000000,16.000000,18.000000
18,Bot,12762.000000,9232.000000,9625.000000,6890.000000,2563.000000,2058.000000,574.000000,282.000000
19,Schar,21205.000000,18164.000000,5850.000000,3548.000000,14842.000000,14072.000000,513.000000,542.000000
20,Tong,220813.000000,2364492.000000,83867.000000,841858.000000,136929.000000,1522468.000000,17.000000,166.000000
21,Tarbot,35986.000000,477954.000000,15286.000000,186246.000000,20700.000000,291708.000000,-,-
22,Griet,32523.000000,301264.000000,12420.000000,105052.000000,20103.000000,196212.000000,-,-
23,Tongschar,75312.000000,480716.000000,12823.000000,77752.000000,62489.000000,402964.000000,-,-
24,Schartong,11246.000000,43174.000000,2727.000000,9114.000000,8519.000000,34060.000000,-,-
25,Heilbot,26.000000,342.000000,-,-,26.000000,342.000000,-,-
26,Hondstong,1435.000000,3542.000000,170.000000,270.000000,1265.000000,3272.000000,-,-
27,Rog,2.000000,12.000000,2.000000,12.000000,-,-,-,-
28,Rode poon,84490.000000,64598.000000,35629.000000,21346.000000,48861.000000,43252.000000,-,-
29,Grauwe poon,1420.000000,290.000000,5.000000,2.000000,1415.000000,288.000000,-,-
30,Engelse poon,8395.000000,2276.000000,2549.000000,504.000000,5846.000000,1770.000000,-,-
31,Zeewolf,4669.000000,17580.000000,-,-,4669.000000,17580.000000,-,-
32,Zeeduivel,19230.000000,296064.000000,3926.000000,55684.000000,15304.000000,240380.000000,-,-
33,Kongeraal,2161.000000,3422.000000,957.000000,1720.000000,1204.000000,1702.000000,-,-
34,Roodbaars,3.000000,6.000000,-,-,3.000000,6.000000,-,-
35,Mul,6934.000000,31624.000000,666.000000,1168.000000,6268.000000,30458.000000,-,-
36,Zeebaars,2493.000000,23486.000000,862.000000,7624.000000,1630.000000,15856.000000,1.000000,6.000000
