Zeevisserij,,,,,,,,
1,Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht,NA,NA,NA,NA,NA,NA,NA,NA
2,Verdeling volgens de aanvoerhavens en de vissoorten - Februari 2012,NA,NA,NA,NA,NA,NA,NA,NA
3,Vissoorten,Totaal van de havens,NA,Oostende,NA,Zeebrugge,NA,Nieuwpoort,NA
4,NA,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR
5,Algemeen totaal,1648000.000000,6715034.000000,583112.000000,2426288.000000,1056056.000000,4257886.000000,8832.000000,30870.000000
6,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Bodemvissen :,NA,NA,NA,NA,NA,NA,NA,NA
8,Totaal,1381212.000000,5957764.000000,456384.000000,2061790.000000,916214.000000,3865310.000000,8614.000000,30670.000000
9,Schelvis,21881.000000,28342.000000,4698.000000,6840.000000,17183.000000,21502.000000,-,-
10,Kabeljauw,63151.000000,158222.000000,17498.000000,47032.000000,44523.000000,107926.000000,1130.000000,3264.000000
11,Koolvis,196.000000,350.000000,58.000000,106.000000,138.000000,244.000000,-,-
12,Wijting,25969.000000,27004.000000,8322.000000,7838.000000,17610.000000,19142.000000,37.000000,24.000000
13,Pollak,6557.000000,19904.000000,2202.000000,6240.000000,4352.000000,13662.000000,3.000000,2.000000
14,Leng,6193.000000,12918.000000,1101.000000,2374.000000,5092.000000,10544.000000,-,-
15,Heek,440.000000,948.000000,123.000000,218.000000,317.000000,732.000000,-,-
16,Steenbolk,60952.000000,22180.000000,22316.000000,6686.000000,38631.000000,15492.000000,5.000000,4.000000
17,Schol,268648.000000,356056.000000,95766.000000,121844.000000,172400.000000,233748.000000,482.000000,462.000000
18,Bot,19890.000000,13520.000000,10585.000000,7282.000000,9268.000000,6226.000000,37.000000,12.000000
19,Schar,27201.000000,19758.000000,9035.000000,6012.000000,17983.000000,13572.000000,183.000000,174.000000
20,Tong,297889.000000,3476636.000000,112447.000000,1286118.000000,184149.000000,2175446.000000,1293.000000,15074.000000
21,Tarbot,19732.000000,204518.000000,6912.000000,72146.000000,12740.000000,131392.000000,80.000000,980.000000
22,Griet,26938.000000,176042.000000,11441.000000,70782.000000,15469.000000,105096.000000,28.000000,164.000000
23,Tongschar,79759.000000,299124.000000,27184.000000,94158.000000,52500.000000,204740.000000,75.000000,226.000000
24,Schartong,40007.000000,111038.000000,8993.000000,22560.000000,31014.000000,88480.000000,-,-
25,Heilbot,-,-,-,-,-,-,-,-
26,Rog,117923.000000,239870.000000,42358.000000,91552.000000,70608.000000,138534.000000,4957.000000,9784.000000
27,Rode poon,76758.000000,142240.000000,15689.000000,30990.000000,61062.000000,111228.000000,7.000000,22.000000
28,Grauwe poon,2028.000000,754.000000,30.000000,8.000000,1998.000000,746.000000,-,-
29,Engelse poon,80406.000000,66320.000000,15301.000000,12372.000000,65105.000000,53948.000000,-,-
30,Zeewolf,-,-,-,-,-,-,-,-
31,Zeeduivel,46256.000000,367762.000000,14305.000000,112310.000000,31946.000000,255430.000000,5.000000,22.000000
32,Kongeraal,5525.000000,6580.000000,1334.000000,1398.000000,4191.000000,5182.000000,-,-
33,Roodbaars,-,-,-,-,-,-,-,-
34,Mul,8832.000000,49604.000000,-,-,8832.000000,49604.000000,-,-
35,Zeebaars,5154.000000,35026.000000,1713.000000,10322.000000,3415.000000,24498.000000,26.000000,206.000000
36,Doornhaai,-,-,-,-,-,-,-,-
37,Hondshaai,42957.000000,22294.000000,15864.000000,8352.000000,26858.000000,13774.000000,235.000000,168.000000
38,Zandhaai,16.000000,4.000000,16.000000,4.000000,-,-,-,-
39,Andere soorten,29954.000000,100750.000000,11093.000000,36246.000000,18830.000000,64422.000000,31.000000,82.000000
40,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,Pelagische vis :,NA,NA,NA,NA,NA,NA,NA,NA
42,Totaal,3195.000000,6128.000000,708.000000,700.000000,2487.000000,5428.000000,-,-
43,Horsmakereel,464.000000,420.000000,89.000000,88.000000,375.000000,332.000000,-,-
44,Haring,12.000000,18.000000,12.000000,18.000000,-,-,-,-
45,Makreel,29.000000,78.000000,29.000000,78.000000,-,-,-,-
46,Sprot,578.000000,516.000000,578.000000,516.000000,-,-,-,-
47,Andere soorten,2112.000000,5096.000000,-,-,2112.000000,5096.000000,-,-
48,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,Schaal-en weekdieren :,NA,NA,NA,NA,NA,NA,NA,NA
50,Totaal,263593.000000,751142.000000,126020.000000,363798.000000,137355.000000,387148.000000,218.000000,200.000000
51,Garnaal,3973.000000,19924.000000,3973.000000,19924.000000,-,-,-,-
52,Langoestine geheel,5359.000000,33718.000000,5191.000000,32872.000000,168.000000,846.000000,-,-
53,Langoestine staartje,456.000000,3960.000000,286.000000,2706.000000,170.000000,1254.000000,-,-
54,Noordzeekrab,2440.000000,7838.000000,969.000000,3152.000000,1471.000000,4686.000000,-,-
55,Zeekreeft,86.000000,850.000000,53.000000,396.000000,33.000000,454.000000,-,-
56,Andere schaaldieren,299.000000,226.000000,51.000000,38.000000,248.000000,188.000000,-,-
57,Schelpen,66658.000000,141158.000000,26637.000000,55580.000000,39995.000000,85510.000000,26.000000,70.000000
58,Inktvis,176030.000000,539934.000000,87223.000000,248044.000000,88805.000000,291886.000000,2.000000,4.000000
59,Wulk,8292.000000,3534.000000,1637.000000,1086.000000,6465.000000,2324.000000,190.000000,126.000000
60,Andere soorten,-,-,-,-,-,-,-,-
61,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,* Bron : Vlaamse Overheid - Departement Landbouw en Visserij,NA,NA,NA,NA,NA,NA,NA,NA
63,NA,NA,NA,NA,NA,NA,NA,NA,NA
