Soort,Familie,Haven,Hoeveelheid in kg,Hoeveelheid in EU,year,month
Langoestine geheel,Schaal- en Weekdieren,Zeebrugge,243.0,1314.0,2012,01
Langoestine staartje,Schaal- en Weekdieren,Zeebrugge,46.0,360.0,2012,01
Noordzeekrab,Schaal- en Weekdieren,Zeebrugge,2023.0,4884.0,2012,01
Zeekreeft,Schaal- en Weekdieren,Zeebrugge,30.0,378.0,2012,01
Andere schaaldieren,Schaal- en Weekdieren,Zeebrugge,442.0,312.0,2012,01
Schelpen,Schaal- en Weekdieren,Zeebrugge,43708.0,96842.0,2012,01
Inktvis,Schaal- en Weekdieren,Zeebrugge,74507.0,259034.0,2012,01
Wulk,Schaal- en Weekdieren,Zeebrugge,3338.0,1626.0,2012,01
Andere soorten,Schaal- en Weekdieren,Zeebrugge,0.0,0.0,2012,01
Schelvis,Bodemvis,Nieuwpoort,0.0,0.0,2012,01
Kabeljauw,Bodemvis,Nieuwpoort,809.0,2182.0,2012,01
Koolvis,Bodemvis,Nieuwpoort,0.0,0.0,2012,01
Wijting,Bodemvis,Nieuwpoort,123.0,88.0,2012,01
Pollak,Bodemvis,Nieuwpoort,0.0,0.0,2012,01
Leng,Bodemvis,Nieuwpoort,0.0,0.0,2012,01
Heek,Bodemvis,Nieuwpoort,0.0,0.0,2012,01
Steenbolk,Bodemvis,Nieuwpoort,69.0,36.0,2012,01
Schol,Bodemvis,Nieuwpoort,259.0,288.0,2012,01
Bot,Bodemvis,Nieuwpoort,196.0,112.0,2012,01
Schar,Bodemvis,Nieuwpoort,639.0,744.0,2012,01
Tong,Bodemvis,Nieuwpoort,456.0,5468.0,2012,01
Tarbot,Bodemvis,Nieuwpoort,42.0,364.0,2012,01
Griet,Bodemvis,Nieuwpoort,14.0,92.0,2012,01
Tongschar,Bodemvis,Nieuwpoort,14.0,40.0,2012,01
Schartong,Bodemvis,Nieuwpoort,0.0,0.0,2012,01
Heilbot,Bodemvis,Nieuwpoort,0.0,0.0,2012,01
Rog,Bodemvis,Nieuwpoort,1050.0,1708.0,2012,01
Rode poon,Bodemvis,Nieuwpoort,9.0,14.0,2012,01
Grauwe poon,Bodemvis,Nieuwpoort,0.0,0.0,2012,01
Engelse poon,Bodemvis,Nieuwpoort,0.0,0.0,2012,01
Zeewolf,Bodemvis,Nieuwpoort,0.0,0.0,2012,01
Zeeduivel,Bodemvis,Nieuwpoort,0.0,0.0,2012,01
Kongeraal,Bodemvis,Nieuwpoort,0.0,0.0,2012,01
Roodbaars,Bodemvis,Nieuwpoort,0.0,0.0,2012,01
Mul,Bodemvis,Nieuwpoort,0.0,0.0,2012,01
Zeebaars,Bodemvis,Nieuwpoort,175.0,1388.0,2012,01
Doornhaai,Bodemvis,Nieuwpoort,0.0,0.0,2012,01
Hondshaai,Bodemvis,Nieuwpoort,251.0,120.0,2012,01
Zandhaai,Bodemvis,Nieuwpoort,0.0,0.0,2012,01
Andere soorten,Bodemvis,Nieuwpoort,23.0,78.0,2012,01
Haring,Pelagische Vis,Nieuwpoort,27.0,40.0,2012,01
Makreel,Pelagische Vis,Nieuwpoort,0.0,0.0,2012,01
Sprot,Pelagische Vis,Nieuwpoort,0.0,0.0,2012,01
Andere soorten,Pelagische Vis,Nieuwpoort,0.0,0.0,2012,01
Langoestine geheel,Schaal- en Weekdieren,Nieuwpoort,0.0,0.0,2012,01
Langoestine staartje,Schaal- en Weekdieren,Nieuwpoort,0.0,0.0,2012,01
Noordzeekrab,Schaal- en Weekdieren,Nieuwpoort,0.0,0.0,2012,01
Zeekreeft,Schaal- en Weekdieren,Nieuwpoort,0.0,0.0,2012,01
Andere schaaldieren,Schaal- en Weekdieren,Nieuwpoort,0.0,0.0,2012,01
Schelpen,Schaal- en Weekdieren,Nieuwpoort,0.0,0.0,2012,01
Inktvis,Schaal- en Weekdieren,Nieuwpoort,0.0,0.0,2012,01
Wulk,Schaal- en Weekdieren,Nieuwpoort,0.0,0.0,2012,01
Andere soorten,Schaal- en Weekdieren,Nieuwpoort,0.0,0.0,2012,01
Schelvis,Bodemvis,Oostende,4698.0,6840.0,2012,02
Kabeljauw,Bodemvis,Oostende,17498.0,47032.0,2012,02
Koolvis,Bodemvis,Oostende,58.0,106.0,2012,02
Wijting,Bodemvis,Oostende,8322.0,7838.0,2012,02
Pollak,Bodemvis,Oostende,2202.0,6240.0,2012,02
Leng,Bodemvis,Oostende,1101.0,2374.0,2012,02
Heek,Bodemvis,Oostende,123.0,218.0,2012,02
Steenbolk,Bodemvis,Oostende,22316.0,6686.0,2012,02
Schol,Bodemvis,Oostende,95766.0,121844.0,2012,02
Bot,Bodemvis,Oostende,10585.0,7282.0,2012,02
Schar,Bodemvis,Oostende,9035.0,6012.0,2012,02
Tong,Bodemvis,Oostende,112447.0,1286118.0,2012,02
Tarbot,Bodemvis,Oostende,6912.0,72146.0,2012,02
Griet,Bodemvis,Oostende,11441.0,70782.0,2012,02
Tongschar,Bodemvis,Oostende,27184.0,94158.0,2012,02
Schartong,Bodemvis,Oostende,8993.0,22560.0,2012,02
Heilbot,Bodemvis,Oostende,0.0,0.0,2012,02
Rog,Bodemvis,Oostende,42358.0,91552.0,2012,02
Rode poon,Bodemvis,Oostende,15689.0,30990.0,2012,02
Grauwe poon,Bodemvis,Oostende,30.0,8.0,2012,02
Engelse poon,Bodemvis,Oostende,15301.0,12372.0,2012,02
Zeewolf,Bodemvis,Oostende,0.0,0.0,2012,02
Zeeduivel,Bodemvis,Oostende,14305.0,112310.0,2012,02
Kongeraal,Bodemvis,Oostende,1334.0,1398.0,2012,02
Roodbaars,Bodemvis,Oostende,0.0,0.0,2012,02
Mul,Bodemvis,Oostende,0.0,0.0,2012,02
Zeebaars,Bodemvis,Oostende,1713.0,10322.0,2012,02
Doornhaai,Bodemvis,Oostende,0.0,0.0,2012,02
Hondshaai,Bodemvis,Oostende,15864.0,8352.0,2012,02
Zandhaai,Bodemvis,Oostende,16.0,4.0,2012,02
Andere soorten,Bodemvis,Oostende,11093.0,36246.0,2012,02
Haring,Pelagische Vis,Oostende,12.0,18.0,2012,02
Makreel,Pelagische Vis,Oostende,29.0,78.0,2012,02
Sprot,Pelagische Vis,Oostende,578.0,516.0,2012,02
Andere soorten,Pelagische Vis,Oostende,0.0,0.0,2012,02
Langoestine geheel,Schaal- en Weekdieren,Oostende,5191.0,32872.0,2012,02
Langoestine staartje,Schaal- en Weekdieren,Oostende,286.0,2706.0,2012,02
Noordzeekrab,Schaal- en Weekdieren,Oostende,969.0,3152.0,2012,02
Zeekreeft,Schaal- en Weekdieren,Oostende,53.0,396.0,2012,02
Andere schaaldieren,Schaal- en Weekdieren,Oostende,51.0,38.0,2012,02
Schelpen,Schaal- en Weekdieren,Oostende,26637.0,55580.0,2012,02
Inktvis,Schaal- en Weekdieren,Oostende,87223.0,248044.0,2012,02
Wulk,Schaal- en Weekdieren,Oostende,1637.0,1086.0,2012,02
Andere soorten,Schaal- en Weekdieren,Oostende,0.0,0.0,2012,02
Schelvis,Bodemvis,Zeebrugge,17183.0,21502.0,2012,02
Kabeljauw,Bodemvis,Zeebrugge,44523.0,107926.0,2012,02
Koolvis,Bodemvis,Zeebrugge,138.0,244.0,2012,02
Wijting,Bodemvis,Zeebrugge,17610.0,19142.0,2012,02
Pollak,Bodemvis,Zeebrugge,4352.0,13662.0,2012,02
Leng,Bodemvis,Zeebrugge,5092.0,10544.0,2012,02
