Soort,Familie,Haven,Hoeveelheid in kg,Hoeveelheid in EU,year,month
Tongschar,Bodemvis,Oostende,21552.0,77504.0,2013,03
Schartong,Bodemvis,Oostende,6705.0,7256.0,2013,03
Heilbot,Bodemvis,Oostende,0.0,0.0,2013,03
Hondstong,Bodemvis,Oostende,2251.0,3874.0,2013,03
Rog,Bodemvis,Oostende,29243.0,86366.0,2013,03
Rode poon,Bodemvis,Oostende,31891.0,48218.0,2013,03
Grauwe poon,Bodemvis,Oostende,709.0,298.0,2013,03
Engelse poon,Bodemvis,Oostende,19957.0,16454.0,2013,03
Zeewolf,Bodemvis,Oostende,0.0,0.0,2013,03
Zeeduivel,Bodemvis,Oostende,8955.0,93956.0,2013,03
Kongeraal,Bodemvis,Oostende,1076.0,1486.0,2013,03
Roodbaars,Bodemvis,Oostende,0.0,0.0,2013,03
Mul,Bodemvis,Oostende,2092.0,17192.0,2013,03
Zeebaars,Bodemvis,Oostende,1479.0,13282.0,2013,03
Doornhaai,Bodemvis,Oostende,18.0,22.0,2013,03
Hondshaai,Bodemvis,Oostende,23087.0,13338.0,2013,03
Zandhaai,Bodemvis,Oostende,67.0,54.0,2013,03
Andere soorten,Bodemvis,Oostende,4199.0,19340.0,2013,03
Horsmakereel,Pelagische Vis,Oostende,907.0,864.0,2013,03
Haring,Pelagische Vis,Oostende,1551.0,1186.0,2013,03
Makreel,Pelagische Vis,Oostende,0.0,0.0,2013,03
Sprot,Pelagische Vis,Oostende,0.0,0.0,2013,03
Andere soorten,Pelagische Vis,Oostende,1421.0,4238.0,2013,03
Garnaal,Schaal- en Weekdieren,Oostende,5208.0,39322.0,2013,03
Langoestine geheel,Schaal- en Weekdieren,Oostende,592.0,4180.0,2013,03
Langoestine staartje,Schaal- en Weekdieren,Oostende,85.0,998.0,2013,03
Noordzeekrab,Schaal- en Weekdieren,Oostende,1101.0,3780.0,2013,03
Zeekreeft,Schaal- en Weekdieren,Oostende,28.0,248.0,2013,03
Andere schaaldieren,Schaal- en Weekdieren,Oostende,184.0,178.0,2013,03
Schelpen,Schaal- en Weekdieren,Oostende,31723.0,58354.0,2013,03
Inktvis,Schaal- en Weekdieren,Oostende,12770.0,48452.0,2013,03
Wulk,Schaal- en Weekdieren,Oostende,4542.0,4038.0,2013,03
Andere soorten,Schaal- en Weekdieren,Oostende,0.0,0.0,2013,03
Schelvis,Bodemvis,Zeebrugge,4134.0,8948.0,2013,03
Kabeljauw,Bodemvis,Zeebrugge,24579.0,72118.0,2013,03
Koolvis,Bodemvis,Zeebrugge,20.0,38.0,2013,03
Wijting,Bodemvis,Zeebrugge,16549.0,18740.0,2013,03
Pollak,Bodemvis,Zeebrugge,4264.0,14524.0,2013,03
Leng,Bodemvis,Zeebrugge,4517.0,11898.0,2013,03
Heek,Bodemvis,Zeebrugge,212.0,686.0,2013,03
Steenbolk,Bodemvis,Zeebrugge,26630.0,15540.0,2013,03
Schol,Bodemvis,Zeebrugge,92551.0,120380.0,2013,03
Bot,Bodemvis,Zeebrugge,9094.0,5780.0,2013,03
Schar,Bodemvis,Zeebrugge,27670.0,13008.0,2013,03
Tong,Bodemvis,Zeebrugge,162383.0,1750356.0,2013,03
Tarbot,Bodemvis,Zeebrugge,9983.0,123740.0,2013,03
Griet,Bodemvis,Zeebrugge,14456.0,107080.0,2013,03
Tongschar,Bodemvis,Zeebrugge,26411.0,98728.0,2013,03
Schartong,Bodemvis,Zeebrugge,20969.0,23806.0,2013,03
Heilbot,Bodemvis,Zeebrugge,0.0,0.0,2013,03
Hondstong,Bodemvis,Zeebrugge,4615.0,7904.0,2013,03
Rog,Bodemvis,Zeebrugge,55658.0,153638.0,2013,03
Rode poon,Bodemvis,Zeebrugge,40038.0,55668.0,2013,03
Grauwe poon,Bodemvis,Zeebrugge,661.0,346.0,2013,03
Engelse poon,Bodemvis,Zeebrugge,32460.0,25598.0,2013,03
Zeewolf,Bodemvis,Zeebrugge,0.0,0.0,2013,03
Zeeduivel,Bodemvis,Zeebrugge,20382.0,232434.0,2013,03
Kongeraal,Bodemvis,Zeebrugge,2076.0,2602.0,2013,03
Roodbaars,Bodemvis,Zeebrugge,0.0,0.0,2013,03
Mul,Bodemvis,Zeebrugge,2426.0,16494.0,2013,03
Zeebaars,Bodemvis,Zeebrugge,1646.0,14638.0,2013,03
Doornhaai,Bodemvis,Zeebrugge,0.0,0.0,2013,03
Hondshaai,Bodemvis,Zeebrugge,20689.0,15058.0,2013,03
Zandhaai,Bodemvis,Zeebrugge,66.0,46.0,2013,03
Andere soorten,Bodemvis,Zeebrugge,6524.0,33412.0,2013,03
Horsmakereel,Pelagische Vis,Zeebrugge,1404.0,692.0,2013,03
Haring,Pelagische Vis,Zeebrugge,2002.0,1092.0,2013,03
Makreel,Pelagische Vis,Zeebrugge,0.0,0.0,2013,03
Sprot,Pelagische Vis,Zeebrugge,0.0,0.0,2013,03
Andere soorten,Pelagische Vis,Zeebrugge,2097.0,4236.0,2013,03
Garnaal,Schaal- en Weekdieren,Zeebrugge,0.0,0.0,2013,03
Langoestine geheel,Schaal- en Weekdieren,Zeebrugge,32.0,246.0,2013,03
Langoestine staartje,Schaal- en Weekdieren,Zeebrugge,40.0,500.0,2013,03
Noordzeekrab,Schaal- en Weekdieren,Zeebrugge,985.0,5392.0,2013,03
Zeekreeft,Schaal- en Weekdieren,Zeebrugge,17.0,166.0,2013,03
Andere schaaldieren,Schaal- en Weekdieren,Zeebrugge,412.0,676.0,2013,03
Schelpen,Schaal- en Weekdieren,Zeebrugge,37803.0,67246.0,2013,03
Inktvis,Schaal- en Weekdieren,Zeebrugge,31267.0,67646.0,2013,03
Wulk,Schaal- en Weekdieren,Zeebrugge,5168.0,3616.0,2013,03
Andere soorten,Schaal- en Weekdieren,Zeebrugge,0.0,0.0,2013,03
Schelvis,Bodemvis,Nieuwpoort,0.0,0.0,2013,03
Kabeljauw,Bodemvis,Nieuwpoort,474.0,1280.0,2013,03
Koolvis,Bodemvis,Nieuwpoort,0.0,0.0,2013,03
Wijting,Bodemvis,Nieuwpoort,5.0,4.0,2013,03
Pollak,Bodemvis,Nieuwpoort,0.0,0.0,2013,03
Leng,Bodemvis,Nieuwpoort,0.0,0.0,2013,03
Heek,Bodemvis,Nieuwpoort,0.0,0.0,2013,03
Steenbolk,Bodemvis,Nieuwpoort,0.0,0.0,2013,03
Schol,Bodemvis,Nieuwpoort,434.0,338.0,2013,03
Bot,Bodemvis,Nieuwpoort,204.0,62.0,2013,03
Schar,Bodemvis,Nieuwpoort,992.0,654.0,2013,03
Tong,Bodemvis,Nieuwpoort,1319.0,13450.0,2013,03
Tarbot,Bodemvis,Nieuwpoort,7.0,66.0,2013,03
Griet,Bodemvis,Nieuwpoort,36.0,228.0,2013,03
Tongschar,Bodemvis,Nieuwpoort,0.0,0.0,2013,03
Schartong,Bodemvis,Nieuwpoort,0.0,0.0,2013,03
Heilbot,Bodemvis,Nieuwpoort,0.0,0.0,2013,03
Hondstong,Bodemvis,Nieuwpoort,0.0,0.0,2013,03
Rog,Bodemvis,Nieuwpoort,0.0,0.0,2013,03
Rode poon,Bodemvis,Nieuwpoort,0.0,0.0,2013,03
Grauwe poon,Bodemvis,Nieuwpoort,0.0,0.0,2013,03
Engelse poon,Bodemvis,Nieuwpoort,0.0,0.0,2013,03
Zeewolf,Bodemvis,Nieuwpoort,0.0,0.0,2013,03
Zeeduivel,Bodemvis,Nieuwpoort,0.0,0.0,2013,03
Kongeraal,Bodemvis,Nieuwpoort,0.0,0.0,2013,03
Roodbaars,Bodemvis,Nieuwpoort,0.0,0.0,2013,03
Mul,Bodemvis,Nieuwpoort,0.0,0.0,2013,03
Zeebaars,Bodemvis,Nieuwpoort,0.0,0.0,2013,03
Doornhaai,Bodemvis,Nieuwpoort,0.0,0.0,2013,03
Hondshaai,Bodemvis,Nieuwpoort,2.0,2.0,2013,03
Zandhaai,Bodemvis,Nieuwpoort,0.0,0.0,2013,03
Andere soorten,Bodemvis,Nieuwpoort,215.0,142.0,2013,03
Horsmakereel,Pelagische Vis,Nieuwpoort,0.0,0.0,2013,03
Haring,Pelagische Vis,Nieuwpoort,0.0,0.0,2013,03
Makreel,Pelagische Vis,Nieuwpoort,0.0,0.0,2013,03
Sprot,Pelagische Vis,Nieuwpoort,0.0,0.0,2013,03
Andere soorten,Pelagische Vis,Nieuwpoort,0.0,0.0,2013,03
Garnaal,Schaal- en Weekdieren,Nieuwpoort,7506.0,55488.0,2013,03
Langoestine geheel,Schaal- en Weekdieren,Nieuwpoort,0.0,0.0,2013,03
Langoestine staartje,Schaal- en Weekdieren,Nieuwpoort,0.0,0.0,2013,03
Noordzeekrab,Schaal- en Weekdieren,Nieuwpoort,0.0,0.0,2013,03
Zeekreeft,Schaal- en Weekdieren,Nieuwpoort,0.0,0.0,2013,03
Andere schaaldieren,Schaal- en Weekdieren,Nieuwpoort,0.0,0.0,2013,03
Schelpen,Schaal- en Weekdieren,Nieuwpoort,0.0,0.0,2013,03
Inktvis,Schaal- en Weekdieren,Nieuwpoort,0.0,0.0,2013,03
Wulk,Schaal- en Weekdieren,Nieuwpoort,0.0,0.0,2013,03
Andere soorten,Schaal- en Weekdieren,Nieuwpoort,0.0,0.0,2013,03
Schelvis,Bodemvis,Oostende,7489.0,10300.0,2013,04
Kabeljauw,Bodemvis,Oostende,16575.0,51230.0,2013,04
Koolvis,Bodemvis,Oostende,58.0,102.0,2013,04
Wijting,Bodemvis,Oostende,18105.0,17894.0,2013,04
Pollak,Bodemvis,Oostende,3529.0,9382.0,2013,04
Leng,Bodemvis,Oostende,4036.0,7840.0,2013,04
Heek,Bodemvis,Oostende,516.0,1366.0,2013,04
Steenbolk,Bodemvis,Oostende,8571.0,4660.0,2013,04
Schol,Bodemvis,Oostende,69302.0,87856.0,2013,04
Bot,Bodemvis,Oostende,43047.0,35106.0,2013,04
Schar,Bodemvis,Oostende,8729.0,4040.0,2013,04
Tong,Bodemvis,Oostende,106747.0,888368.0,2013,04
Tarbot,Bodemvis,Oostende,6933.0,67622.0,2013,04
Griet,Bodemvis,Oostende,7786.0,52648.0,2013,04
Tongschar,Bodemvis,Oostende,31316.0,89632.0,2013,04
Schartong,Bodemvis,Oostende,8295.0,10820.0,2013,04
Heilbot,Bodemvis,Oostende,1.0,12.0,2013,04
Hondstong,Bodemvis,Oostende,854.0,1474.0,2013,04
Rog,Bodemvis,Oostende,35004.0,91618.0,2013,04
Rode poon,Bodemvis,Oostende,9851.0,23588.0,2013,04
Grauwe poon,Bodemvis,Oostende,3006.0,1702.0,2013,04
Engelse poon,Bodemvis,Oostende,5022.0,5424.0,2013,04
Zeewolf,Bodemvis,Oostende,0.0,0.0,2013,04
Zeeduivel,Bodemvis,Oostende,15385.0,136952.0,2013,04
Kongeraal,Bodemvis,Oostende,313.0,512.0,2013,04
Roodbaars,Bodemvis,Oostende,0.0,0.0,2013,04
Mul,Bodemvis,Oostende,1428.0,12300.0,2013,04
Zeebaars,Bodemvis,Oostende,4074.0,43122.0,2013,04
Doornhaai,Bodemvis,Oostende,4.0,12.0,2013,04
Hondshaai,Bodemvis,Oostende,16536.0,8196.0,2013,04
Zandhaai,Bodemvis,Oostende,546.0,296.0,2013,04
Andere soorten,Bodemvis,Oostende,1924.0,7878.0,2013,04
Horsmakereel,Pelagische Vis,Oostende,10908.0,3934.0,2013,04
Haring,Pelagische Vis,Oostende,225.0,168.0,2013,04
Makreel,Pelagische Vis,Oostende,0.0,0.0,2013,04
Sprot,Pelagische Vis,Oostende,0.0,0.0,2013,04
Andere soorten,Pelagische Vis,Oostende,1836.0,12900.0,2013,04
Garnaal,Schaal- en Weekdieren,Oostende,5173.0,32256.0,2013,04
Langoestine geheel,Schaal- en Weekdieren,Oostende,1310.0,9860.0,2013,04
Langoestine staartje,Schaal- en Weekdieren,Oostende,165.0,2436.0,2013,04
Noordzeekrab,Schaal- en Weekdieren,Oostende,675.0,3570.0,2013,04
Zeekreeft,Schaal- en Weekdieren,Oostende,34.0,360.0,2013,04
Andere schaaldieren,Schaal- en Weekdieren,Oostende,19.0,36.0,2013,04
Schelpen,Schaal- en Weekdieren,Oostende,27820.0,38692.0,2013,04
Inktvis,Schaal- en Weekdieren,Oostende,8152.0,17494.0,2013,04
Wulk,Schaal- en Weekdieren,Oostende,2296.0,2474.0,2013,04
Andere soorten,Schaal- en Weekdieren,Oostende,0.0,0.0,2013,04
Schelvis,Bodemvis,Zeebrugge,16691.0,22322.0,2013,04
Kabeljauw,Bodemvis,Zeebrugge,15168.0,51100.0,2013,04
Koolvis,Bodemvis,Zeebrugge,70.0,142.0,2013,04
Wijting,Bodemvis,Zeebrugge,26345.0,22852.0,2013,04
Pollak,Bodemvis,Zeebrugge,4943.0,16516.0,2013,04
Leng,Bodemvis,Zeebrugge,6321.0,14062.0,2013,04
Heek,Bodemvis,Zeebrugge,581.0,1304.0,2013,04
Steenbolk,Bodemvis,Zeebrugge,13551.0,12566.0,2013,04
Schol,Bodemvis,Zeebrugge,51856.0,71148.0,2013,04
Bot,Bodemvis,Zeebrugge,20147.0,16912.0,2013,04
Schar,Bodemvis,Zeebrugge,13058.0,6220.0,2013,04
Tong,Bodemvis,Zeebrugge,205605.0,1978844.0,2013,04
Tarbot,Bodemvis,Zeebrugge,9786.0,102558.0,2013,04
Griet,Bodemvis,Zeebrugge,15629.0,116142.0,2013,04
Tongschar,Bodemvis,Zeebrugge,75885.0,223452.0,2013,04
Schartong,Bodemvis,Zeebrugge,24715.0,36024.0,2013,04
Heilbot,Bodemvis,Zeebrugge,0.0,0.0,2013,04
Hondstong,Bodemvis,Zeebrugge,3006.0,5664.0,2013,04
Rog,Bodemvis,Zeebrugge,85296.0,218424.0,2013,04
Rode poon,Bodemvis,Zeebrugge,28531.0,43706.0,2013,04
Grauwe poon,Bodemvis,Zeebrugge,2725.0,1396.0,2013,04
Engelse poon,Bodemvis,Zeebrugge,27562.0,30858.0,2013,04
Zeewolf,Bodemvis,Zeebrugge,0.0,0.0,2013,04
Zeeduivel,Bodemvis,Zeebrugge,47534.0,447638.0,2013,04
Kongeraal,Bodemvis,Zeebrugge,1377.0,2128.0,2013,04
Roodbaars,Bodemvis,Zeebrugge,0.0,0.0,2013,04
Mul,Bodemvis,Zeebrugge,2181.0,11452.0,2013,04
Zeebaars,Bodemvis,Zeebrugge,3979.0,34712.0,2013,04
Doornhaai,Bodemvis,Zeebrugge,0.0,0.0,2013,04
Hondshaai,Bodemvis,Zeebrugge,35239.0,19044.0,2013,04
Zandhaai,Bodemvis,Zeebrugge,831.0,430.0,2013,04
Andere soorten,Bodemvis,Zeebrugge,5243.0,26528.0,2013,04
Horsmakereel,Pelagische Vis,Zeebrugge,23.0,22.0,2013,04
Haring,Pelagische Vis,Zeebrugge,1266.0,396.0,2013,04
Makreel,Pelagische Vis,Zeebrugge,3.0,6.0,2013,04
Sprot,Pelagische Vis,Zeebrugge,0.0,0.0,2013,04
Andere soorten,Pelagische Vis,Zeebrugge,1670.0,9382.0,2013,04
Garnaal,Schaal- en Weekdieren,Zeebrugge,1281.0,9360.0,2013,04
Langoestine geheel,Schaal- en Weekdieren,Zeebrugge,234.0,1490.0,2013,04
Langoestine staartje,Schaal- en Weekdieren,Zeebrugge,65.0,948.0,2013,04
Noordzeekrab,Schaal- en Weekdieren,Zeebrugge,1501.0,8508.0,2013,04
Zeekreeft,Schaal- en Weekdieren,Zeebrugge,8.0,74.0,2013,04
Andere schaaldieren,Schaal- en Weekdieren,Zeebrugge,302.0,364.0,2013,04
Schelpen,Schaal- en Weekdieren,Zeebrugge,72243.0,87594.0,2013,04
Inktvis,Schaal- en Weekdieren,Zeebrugge,27164.0,49548.0,2013,04
Wulk,Schaal- en Weekdieren,Zeebrugge,2642.0,1984.0,2013,04
Andere soorten,Schaal- en Weekdieren,Zeebrugge,0.0,0.0,2013,04
Schelvis,Bodemvis,Nieuwpoort,0.0,0.0,2013,04
Kabeljauw,Bodemvis,Nieuwpoort,574.0,1954.0,2013,04
Koolvis,Bodemvis,Nieuwpoort,0.0,0.0,2013,04
Wijting,Bodemvis,Nieuwpoort,0.0,0.0,2013,04
Pollak,Bodemvis,Nieuwpoort,0.0,0.0,2013,04
Leng,Bodemvis,Nieuwpoort,0.0,0.0,2013,04
Heek,Bodemvis,Nieuwpoort,0.0,0.0,2013,04
Steenbolk,Bodemvis,Nieuwpoort,0.0,0.0,2013,04
Schol,Bodemvis,Nieuwpoort,15077.0,19576.0,2013,04
Bot,Bodemvis,Nieuwpoort,14576.0,10508.0,2013,04
Schar,Bodemvis,Nieuwpoort,1473.0,912.0,2013,04
Tong,Bodemvis,Nieuwpoort,8723.0,62726.0,2013,04
Tarbot,Bodemvis,Nieuwpoort,59.0,636.0,2013,04
Griet,Bodemvis,Nieuwpoort,586.0,4396.0,2013,04
Tongschar,Bodemvis,Nieuwpoort,0.0,0.0,2013,04
Schartong,Bodemvis,Nieuwpoort,0.0,0.0,2013,04
Heilbot,Bodemvis,Nieuwpoort,0.0,0.0,2013,04
Hondstong,Bodemvis,Nieuwpoort,0.0,0.0,2013,04
Rog,Bodemvis,Nieuwpoort,0.0,0.0,2013,04
Rode poon,Bodemvis,Nieuwpoort,0.0,0.0,2013,04
Grauwe poon,Bodemvis,Nieuwpoort,0.0,0.0,2013,04
Engelse poon,Bodemvis,Nieuwpoort,0.0,0.0,2013,04
Zeewolf,Bodemvis,Nieuwpoort,0.0,0.0,2013,04
Zeeduivel,Bodemvis,Nieuwpoort,0.0,0.0,2013,04
Kongeraal,Bodemvis,Nieuwpoort,0.0,0.0,2013,04
Roodbaars,Bodemvis,Nieuwpoort,0.0,0.0,2013,04
Mul,Bodemvis,Nieuwpoort,0.0,0.0,2013,04
Zeebaars,Bodemvis,Nieuwpoort,28.0,304.0,2013,04
Doornhaai,Bodemvis,Nieuwpoort,0.0,0.0,2013,04
Hondshaai,Bodemvis,Nieuwpoort,0.0,0.0,2013,04
Zandhaai,Bodemvis,Nieuwpoort,0.0,0.0,2013,04
Andere soorten,Bodemvis,Nieuwpoort,60.0,96.0,2013,04
Horsmakereel,Pelagische Vis,Nieuwpoort,0.0,0.0,2013,04
Haring,Pelagische Vis,Nieuwpoort,0.0,0.0,2013,04
Makreel,Pelagische Vis,Nieuwpoort,2.0,4.0,2013,04
Sprot,Pelagische Vis,Nieuwpoort,0.0,0.0,2013,04
Andere soorten,Pelagische Vis,Nieuwpoort,3.0,30.0,2013,04
Garnaal,Schaal- en Weekdieren,Nieuwpoort,4727.0,39882.0,2013,04
Langoestine geheel,Schaal- en Weekdieren,Nieuwpoort,0.0,0.0,2013,04
Langoestine staartje,Schaal- en Weekdieren,Nieuwpoort,0.0,0.0,2013,04
Noordzeekrab,Schaal- en Weekdieren,Nieuwpoort,0.0,0.0,2013,04
Zeekreeft,Schaal- en Weekdieren,Nieuwpoort,0.0,0.0,2013,04
Andere schaaldieren,Schaal- en Weekdieren,Nieuwpoort,0.0,0.0,2013,04
Schelpen,Schaal- en Weekdieren,Nieuwpoort,0.0,0.0,2013,04
Inktvis,Schaal- en Weekdieren,Nieuwpoort,94.0,646.0,2013,04
Wulk,Schaal- en Weekdieren,Nieuwpoort,0.0,0.0,2013,04
Andere soorten,Schaal- en Weekdieren,Nieuwpoort,0.0,0.0,2013,04
Schelvis,Bodemvis,Oostende,5471.0,8054.0,2013,05
Kabeljauw,Bodemvis,Oostende,7272.0,23368.0,2013,05
Koolvis,Bodemvis,Oostende,66.0,166.0,2013,05
Wijting,Bodemvis,Oostende,7037.0,6726.0,2013,05
Pollak,Bodemvis,Oostende,2600.0,8586.0,2013,05
Leng,Bodemvis,Oostende,1692.0,3120.0,2013,05
Heek,Bodemvis,Oostende,437.0,782.0,2013,05
Steenbolk,Bodemvis,Oostende,3082.0,1700.0,2013,05
Schol,Bodemvis,Oostende,117334.0,118504.0,2013,05
Bot,Bodemvis,Oostende,50574.0,31104.0,2013,05
Schar,Bodemvis,Oostende,20888.0,10336.0,2013,05
Tong,Bodemvis,Oostende,65556.0,546290.0,2013,05
Tarbot,Bodemvis,Oostende,5553.0,53454.0,2013,05
Griet,Bodemvis,Oostende,5549.0,40988.0,2013,05
Tongschar,Bodemvis,Oostende,11998.0,29916.0,2013,05
Schartong,Bodemvis,Oostende,13981.0,17276.0,2013,05
Heilbot,Bodemvis,Oostende,0.0,0.0,2013,05
Hondstong,Bodemvis,Oostende,2339.0,3064.0,2013,05
Rog,Bodemvis,Oostende,29149.0,81340.0,2013,05
Rode poon,Bodemvis,Oostende,9185.0,9164.0,2013,05
Grauwe poon,Bodemvis,Oostende,501.0,136.0,2013,05
Engelse poon,Bodemvis,Oostende,5983.0,1842.0,2013,05
Zeewolf,Bodemvis,Oostende,0.0,0.0,2013,05
Zeeduivel,Bodemvis,Oostende,13167.0,123712.0,2013,05
Kongeraal,Bodemvis,Oostende,309.0,630.0,2013,05
Roodbaars,Bodemvis,Oostende,0.0,0.0,2013,05
Mul,Bodemvis,Oostende,492.0,2400.0,2013,05
Zeebaars,Bodemvis,Oostende,1994.0,25576.0,2013,05
Doornhaai,Bodemvis,Oostende,0.0,0.0,2013,05
Hondshaai,Bodemvis,Oostende,13498.0,7380.0,2013,05
Zandhaai,Bodemvis,Oostende,10.0,6.0,2013,05
Andere soorten,Bodemvis,Oostende,1649.0,7064.0,2013,05
Horsmakereel,Pelagische Vis,Oostende,43.0,24.0,2013,05
Haring,Pelagische Vis,Oostende,10.0,22.0,2013,05
Makreel,Pelagische Vis,Oostende,13.0,40.0,2013,05
Sprot,Pelagische Vis,Oostende,0.0,0.0,2013,05
Andere soorten,Pelagische Vis,Oostende,963.0,6414.0,2013,05
Garnaal,Schaal- en Weekdieren,Oostende,8065.0,56816.0,2013,05
Langoestine geheel,Schaal- en Weekdieren,Oostende,764.0,6828.0,2013,05
Langoestine staartje,Schaal- en Weekdieren,Oostende,160.0,2564.0,2013,05
Noordzeekrab,Schaal- en Weekdieren,Oostende,607.0,2790.0,2013,05
Zeekreeft,Schaal- en Weekdieren,Oostende,8.0,76.0,2013,05
Andere schaaldieren,Schaal- en Weekdieren,Oostende,18.0,34.0,2013,05
Schelpen,Schaal- en Weekdieren,Oostende,6427.0,12038.0,2013,05
Inktvis,Schaal- en Weekdieren,Oostende,7724.0,17056.0,2013,05
Wulk,Schaal- en Weekdieren,Oostende,2157.0,2170.0,2013,05
Andere soorten,Schaal- en Weekdieren,Oostende,0.0,0.0,2013,05
Schelvis,Bodemvis,Zeebrugge,10378.0,16168.0,2013,05
Kabeljauw,Bodemvis,Zeebrugge,14865.0,47010.0,2013,05
Koolvis,Bodemvis,Zeebrugge,49.0,92.0,2013,05
Wijting,Bodemvis,Zeebrugge,8744.0,10430.0,2013,05
Pollak,Bodemvis,Zeebrugge,1099.0,3930.0,2013,05
Leng,Bodemvis,Zeebrugge,1717.0,3880.0,2013,05
Heek,Bodemvis,Zeebrugge,1118.0,2532.0,2013,05
Steenbolk,Bodemvis,Zeebrugge,9989.0,6758.0,2013,05
Schol,Bodemvis,Zeebrugge,140655.0,167410.0,2013,05
Bot,Bodemvis,Zeebrugge,29229.0,17306.0,2013,05
Schar,Bodemvis,Zeebrugge,13079.0,6658.0,2013,05
Tong,Bodemvis,Zeebrugge,99783.0,986528.0,2013,05
Tarbot,Bodemvis,Zeebrugge,12563.0,124648.0,2013,05
Griet,Bodemvis,Zeebrugge,13309.0,99218.0,2013,05
Tongschar,Bodemvis,Zeebrugge,30339.0,96622.0,2013,05
Schartong,Bodemvis,Zeebrugge,27555.0,30360.0,2013,05
Heilbot,Bodemvis,Zeebrugge,1.0,12.0,2013,05
Hondstong,Bodemvis,Zeebrugge,5873.0,6526.0,2013,05
Rog,Bodemvis,Zeebrugge,73462.0,179734.0,2013,05
Rode poon,Bodemvis,Zeebrugge,24948.0,27512.0,2013,05
Grauwe poon,Bodemvis,Zeebrugge,2115.0,696.0,2013,05
Engelse poon,Bodemvis,Zeebrugge,24288.0,12166.0,2013,05
Zeewolf,Bodemvis,Zeebrugge,380.0,1462.0,2013,05
Zeeduivel,Bodemvis,Zeebrugge,30331.0,287640.0,2013,05
Kongeraal,Bodemvis,Zeebrugge,974.0,1934.0,2013,05
Roodbaars,Bodemvis,Zeebrugge,0.0,0.0,2013,05
Mul,Bodemvis,Zeebrugge,1430.0,10046.0,2013,05
Zeebaars,Bodemvis,Zeebrugge,1031.0,13390.0,2013,05
Doornhaai,Bodemvis,Zeebrugge,0.0,0.0,2013,05
Hondshaai,Bodemvis,Zeebrugge,25101.0,13872.0,2013,05
Zandhaai,Bodemvis,Zeebrugge,701.0,268.0,2013,05
Andere soorten,Bodemvis,Zeebrugge,5489.0,27010.0,2013,05
Horsmakereel,Pelagische Vis,Zeebrugge,2356.0,666.0,2013,05
Haring,Pelagische Vis,Zeebrugge,101.0,48.0,2013,05
Makreel,Pelagische Vis,Zeebrugge,13.0,34.0,2013,05
Sprot,Pelagische Vis,Zeebrugge,0.0,0.0,2013,05
Andere soorten,Pelagische Vis,Zeebrugge,1681.0,10504.0,2013,05
Garnaal,Schaal- en Weekdieren,Zeebrugge,3187.0,26020.0,2013,05
Langoestine geheel,Schaal- en Weekdieren,Zeebrugge,1397.0,12202.0,2013,05
Langoestine staartje,Schaal- en Weekdieren,Zeebrugge,210.0,2960.0,2013,05
Noordzeekrab,Schaal- en Weekdieren,Zeebrugge,2060.0,8718.0,2013,05
Zeekreeft,Schaal- en Weekdieren,Zeebrugge,5.0,48.0,2013,05
Andere schaaldieren,Schaal- en Weekdieren,Zeebrugge,651.0,716.0,2013,05
Schelpen,Schaal- en Weekdieren,Zeebrugge,20995.0,34416.0,2013,05
Inktvis,Schaal- en Weekdieren,Zeebrugge,25197.0,43754.0,2013,05
Wulk,Schaal- en Weekdieren,Zeebrugge,7133.0,4408.0,2013,05
Andere soorten,Schaal- en Weekdieren,Zeebrugge,0.0,0.0,2013,05
Schelvis,Bodemvis,Nieuwpoort,0.0,0.0,2013,05
Kabeljauw,Bodemvis,Nieuwpoort,1012.0,4406.0,2013,05
Koolvis,Bodemvis,Nieuwpoort,0.0,0.0,2013,05
Wijting,Bodemvis,Nieuwpoort,10.0,10.0,2013,05
Pollak,Bodemvis,Nieuwpoort,0.0,0.0,2013,05
Leng,Bodemvis,Nieuwpoort,0.0,0.0,2013,05
Heek,Bodemvis,Nieuwpoort,0.0,0.0,2013,05
Steenbolk,Bodemvis,Nieuwpoort,15.0,8.0,2013,05
Schol,Bodemvis,Nieuwpoort,19328.0,23194.0,2013,05
Bot,Bodemvis,Nieuwpoort,5662.0,2376.0,2013,05
Schar,Bodemvis,Nieuwpoort,1347.0,806.0,2013,05
Tong,Bodemvis,Nieuwpoort,4835.0,37942.0,2013,05
Tarbot,Bodemvis,Nieuwpoort,122.0,1298.0,2013,05
Griet,Bodemvis,Nieuwpoort,766.0,5430.0,2013,05
Tongschar,Bodemvis,Nieuwpoort,87.0,292.0,2013,05
Schartong,Bodemvis,Nieuwpoort,0.0,0.0,2013,05
Heilbot,Bodemvis,Nieuwpoort,0.0,0.0,2013,05
Hondstong,Bodemvis,Nieuwpoort,0.0,0.0,2013,05
Rog,Bodemvis,Nieuwpoort,74.0,242.0,2013,05
Rode poon,Bodemvis,Nieuwpoort,81.0,168.0,2013,05
Grauwe poon,Bodemvis,Nieuwpoort,0.0,0.0,2013,05
Engelse poon,Bodemvis,Nieuwpoort,8.0,6.0,2013,05
Zeewolf,Bodemvis,Nieuwpoort,0.0,0.0,2013,05
Zeeduivel,Bodemvis,Nieuwpoort,0.0,0.0,2013,05
Kongeraal,Bodemvis,Nieuwpoort,0.0,0.0,2013,05
Roodbaars,Bodemvis,Nieuwpoort,0.0,0.0,2013,05
