"Zeevisserij","","","","","","","",""
"1","Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht",NA,NA,NA,NA,NA,NA,NA,NA
"2","Verdeling volgens de aanvoerhavens en de vissoorten - April 2015",NA,NA,NA,NA,NA,NA,NA,NA
"3","Vissoorten","Totaal van de havens",NA,"Oostende",NA,"Zeebrugge",NA,"Nieuwpoort",NA
"4",NA,"Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR"
"5","Algemeen totaal","1563159.000000","6149154.000000","640035.000000","2335332.000000","912947.000000","3761152.000000","10177.000000","52678.000000"
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Bodemvissen :",NA,NA,NA,NA,NA,NA,NA,NA
"8","Totaal","1408344.000000","5674244.000000","593734.000000","2164406.000000","810820.000000","3501442.000000","3790.000000","8400.000000"
"9","Schelvis","25749.000000","43482.000000","7701.000000","12810.000000","18048.000000","30672.000000","-","-"
"10","Kabeljauw","49853.000000","119712.000000","21433.000000","56774.000000","28227.000000","62374.000000","193.000000","566.000000"
"11","Koolvis","218.000000","412.000000","85.000000","170.000000","133.000000","242.000000","-","-"
"12","Wijting","54831.000000","51100.000000","19788.000000","17644.000000","35042.000000","33454.000000","1.000000","-"
"13","Pollak","4893.000000","17658.000000","2969.000000","10164.000000","1924.000000","7494.000000","-","-"
"14","Leng","7041.000000","16288.000000","2199.000000","5044.000000","4842.000000","11246.000000","-","-"
"15","Heek","1554.000000","2266.000000","286.000000","330.000000","1268.000000","1936.000000","-","-"
"16","Steenbolk","21531.000000","15402.000000","6474.000000","3926.000000","15057.000000","11478.000000","-","-"
"17","Schol","220779.000000","289316.000000","145255.000000","191538.000000","74854.000000","96984.000000","670.000000","792.000000"
"18","Bot","68781.000000","35268.000000","61045.000000","31864.000000","6599.000000","3084.000000","1137.000000","320.000000"
"19","Schar","35146.000000","13918.000000","22231.000000","8310.000000","11906.000000","5114.000000","1009.000000","494.000000"
"20","Tong","337204.000000","2985186.000000","142273.000000","1222850.000000","194350.000000","1756818.000000","581.000000","5518.000000"
"21","Tarbot","20928.000000","243500.000000","10757.000000","124906.000000","10166.000000","118558.000000","5.000000","36.000000"
"22","Griet","20270.000000","179150.000000","7044.000000","61480.000000","13204.000000","117496.000000","22.000000","174.000000"
"23","Tongschar","106376.000000","512200.000000","27438.000000","132916.000000","78938.000000","379284.000000","-","-"
"24","Schartong","13995.000000","18156.000000","4182.000000","6596.000000","9813.000000","11562.000000","-","-"
"25","Heilbot","61.000000","766.000000","49.000000","604.000000","12.000000","162.000000","-","-"
"26","Hondstong","7669.000000","13892.000000","2288.000000","4476.000000","5381.000000","9416.000000","-","-"
"27","Rog","175671.000000","328152.000000","39790.000000","80426.000000","135871.000000","247710.000000","10.000000","14.000000"
"28","Rode poon","54405.000000","104736.000000","15631.000000","26566.000000","38774.000000","78170.000000","-","-"
"29","Grauwe poon","3072.000000","892.000000","854.000000","240.000000","2218.000000","652.000000","-","-"
"30","Engelse poon","19050.000000","17916.000000","4159.000000","2820.000000","14891.000000","15096.000000","-","-"
"31","Zeewolf","1724.000000","6204.000000","568.000000","1804.000000","1156.000000","4400.000000","-","-"
"32","Zeeduivel","55189.000000","525812.000000","11648.000000","111822.000000","43541.000000","413990.000000","-","-"
"33","Kongeraal","2010.000000","2236.000000","290.000000","218.000000","1720.000000","2018.000000","-","-"
"34","Roodbaars","-","-","-","-","-","-","-","-"
"35","Mul","3972.000000","26274.000000","1156.000000","8296.000000","2816.000000","17978.000000","-","-"
"36","Zeebaars","5069.000000","52566.000000","1640.000000","17590.000000","3402.000000","34702.000000","27.000000","272.000000"
"37","Doornhaai","-","-","-","-","-","-","-","-"
"38","Hondshaai","89855.000000","49576.000000","33452.000000","20490.000000","56403.000000","29086.000000","-","-"
"39","Zandhaai","451.000000","298.000000","322.000000","160.000000","112.000000","122.000000","17.000000","18.000000"
"40","Andere soorten","997.000000","1910.000000","727.000000","1572.000000","152.000000","144.000000","118.000000","196.000000"
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Pelagische vis :",NA,NA,NA,NA,NA,NA,NA,NA
"43","Totaal","20362.000000","7816.000000","5812.000000","2326.000000","14510.000000","5466.000000","40.000000","22.000000"
"44","Horsmakereel","15149.000000","4610.000000","5331.000000","1652.000000","9818.000000","2958.000000","-","-"
"45","Haring","2750.000000","1166.000000","41.000000","38.000000","2669.000000","1104.000000","40.000000","22.000000"
"46","Makreel","2463.000000","2040.000000","440.000000","636.000000","2023.000000","1404.000000","-","-"
"47","Sprot","-","-","-","-","-","-","-","-"
"48","Andere soorten","-","-","-","-","-","-","-","-"
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Schaal-en weekdieren :",NA,NA,NA,NA,NA,NA,NA,NA
"51","Totaal","134453.000000","467094.000000","40489.000000","168600.000000","87617.000000","254244.000000","6347.000000","44256.000000"
"52","Garnaal","13618.000000","89328.000000","7157.000000","43642.000000","234.000000","1872.000000","6227.000000","43816.000000"
"53","Langoestine geheel","5125.000000","41496.000000","5013.000000","40638.000000","112.000000","858.000000","-","-"
"54","Langoestine staartje","878.000000","10850.000000","863.000000","10632.000000","15.000000","218.000000","-","-"
"55","Noordzeekrab","3134.000000","16554.000000","896.000000","4614.000000","2238.000000","11942.000000","-","-"
"56","Zeekreeft","72.000000","884.000000","51.000000","578.000000","21.000000","308.000000","-","-"
"57","Andere schaaldieren","383.000000","316.000000","10.000000","20.000000","373.000000","296.000000","-","-"
"58","Schelpen","65459.000000","185354.000000","15484.000000","44570.000000","49975.000000","140784.000000","-","-"
"59","Inktvis","40513.000000","116144.000000","8293.000000","19746.000000","32100.000000","95958.000000","120.000000","440.000000"
"60","Wulk","5271.000000","6168.000000","2722.000000","4160.000000","2549.000000","2008.000000","-","-"
"61","Andere soorten","-","-","-","-","-","-","-","-"
"62",NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","* Bron: Algemene Directie Statistiek - Statistics Belgium op basis van het departement Landbouw en visserij van de Vlaamse Overheid, AVKD",NA,NA,NA,NA,NA,NA,NA,NA
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA
