"Zeevisserij","","","","","","","",""
"1","Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht",NA,NA,NA,NA,NA,NA,NA,NA
"2","Verdeling volgens de aanvoerhavens en de vissoorten - Augustus 2014",NA,NA,NA,NA,NA,NA,NA,NA
"3","Vissoorten","Totaal van de havens",NA,"Oostende",NA,"Zeebrugge",NA,"Nieuwpoort",NA
"4",NA,"Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR"
"5","Algemeen totaal","1473647.000000","4956498.000000","415952.000000","1550410.000000","1037387.000000","3313144.000000","20308.000000","92936.000000"
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Bodemvissen :",NA,NA,NA,NA,NA,NA,NA,NA
"8","Totaal","1308984.000000","4299850.000000","305874.000000","1087322.000000","998625.000000","3182354.000000","4485.000000","30170.000000"
"9","Schelvis","6488.000000","15068.000000","1007.000000","2432.000000","5481.000000","12636.000000","-","-"
"10","Kabeljauw","84827.000000","248114.000000","5908.000000","17396.000000","78885.000000","230626.000000","34.000000","92.000000"
"11","Koolvis","236.000000","442.000000","12.000000","24.000000","224.000000","418.000000","-","-"
"12","Wijting","5554.000000","10130.000000","4322.000000","7184.000000","1232.000000","2946.000000","-","-"
"13","Pollak","1155.000000","5284.000000","95.000000","372.000000","1060.000000","4912.000000","-","-"
"14","Leng","1861.000000","5960.000000","141.000000","396.000000","1720.000000","5564.000000","-","-"
"15","Heek","11621.000000","21696.000000","754.000000","1286.000000","10867.000000","20412.000000","-","-"
"16","Steenbolk","1984.000000","2296.000000","1057.000000","1044.000000","927.000000","1252.000000","-","-"
"17","Schol","628660.000000","824554.000000","120021.000000","157668.000000","507991.000000","666066.000000","648.000000","820.000000"
"18","Bot","30582.000000","16368.000000","22974.000000","12030.000000","6665.000000","3884.000000","943.000000","456.000000"
"19","Schar","20729.000000","13704.000000","4805.000000","2894.000000","15890.000000","10778.000000","34.000000","32.000000"
"20","Tong","156284.000000","1792368.000000","53834.000000","562064.000000","100142.000000","1202560.000000","2308.000000","27744.000000"
"21","Tarbot","23987.000000","287836.000000","10146.000000","116362.000000","13801.000000","171122.000000","40.000000","352.000000"
"22","Griet","15436.000000","143496.000000","5652.000000","48928.000000","9780.000000","94536.000000","4.000000","32.000000"
"23","Tongschar","60678.000000","260330.000000","7072.000000","28026.000000","53574.000000","232178.000000","32.000000","126.000000"
"24","Schartong","17958.000000","39612.000000","3445.000000","7272.000000","14513.000000","32340.000000","-","-"
"25","Heilbot","6.000000","78.000000","-","-","6.000000","78.000000","-","-"
"26","Hondstong","2598.000000","5904.000000","806.000000","1832.000000","1792.000000","4072.000000","-","-"
"27","Rog","165424.000000","271018.000000","42960.000000","74642.000000","122452.000000","196362.000000","12.000000","14.000000"
"28","Rode poon","9734.000000","17566.000000","3745.000000","5536.000000","5973.000000","11988.000000","16.000000","42.000000"
"29","Grauwe poon","5224.000000","1404.000000","230.000000","66.000000","4994.000000","1338.000000","-","-"
"30","Engelse poon","999.000000","756.000000","286.000000","184.000000","713.000000","572.000000","-","-"
"31","Zeewolf","3462.000000","14770.000000","51.000000","174.000000","3411.000000","14596.000000","-","-"
"32","Zeeduivel","22350.000000","263636.000000","2058.000000","21888.000000","20292.000000","241746.000000","-","-"
"33","Kongeraal","1089.000000","1522.000000","323.000000","430.000000","766.000000","1090.000000","-","-"
"34","Roodbaars","-","-","-","-","-","-","-","-"
"35","Mul","342.000000","2454.000000","119.000000","500.000000","223.000000","1954.000000","-","-"
"36","Zeebaars","693.000000","10524.000000","473.000000","6824.000000","196.000000","3400.000000","24.000000","298.000000"
"37","Doornhaai","-","-","-","-","-","-","-","-"
"38","Hondshaai","27655.000000","21660.000000","12949.000000","9010.000000","14706.000000","12650.000000","-","-"
"39","Zandhaai","778.000000","322.000000","203.000000","100.000000","222.000000","94.000000","353.000000","128.000000"
"40","Andere soorten","590.000000","978.000000","426.000000","758.000000","127.000000","184.000000","37.000000","34.000000"
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Pelagische vis :",NA,NA,NA,NA,NA,NA,NA,NA
"43","Totaal","80.000000","176.000000","23.000000","50.000000","25.000000","34.000000","32.000000","90.000000"
"44","Horsmakereel","20.000000","20.000000","-","-","18.000000","20.000000","2.000000","-"
"45","Haring","-","-","-","-","-","-","-","-"
"46","Makreel","60.000000","156.000000","23.000000","50.000000","7.000000","14.000000","30.000000","90.000000"
"47","Sprot","-","-","-","-","-","-","-","-"
"48","Andere soorten","-","-","-","-","-","-","-","-"
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Schaal-en weekdieren :",NA,NA,NA,NA,NA,NA,NA,NA
"51","Totaal","164583.000000","656472.000000","110055.000000","463038.000000","38737.000000","130756.000000","15791.000000","62676.000000"
"52","Garnaal","84114.000000","332150.000000","61073.000000","226032.000000","7251.000000","43444.000000","15790.000000","62674.000000"
"53","Langoestine geheel","36826.000000","217682.000000","30926.000000","179628.000000","5900.000000","38054.000000","-","-"
"54","Langoestine staartje","4706.000000","38030.000000","3052.000000","24640.000000","1654.000000","13390.000000","-","-"
"55","Noordzeekrab","14040.000000","13944.000000","2867.000000","4022.000000","11173.000000","9922.000000","-","-"
"56","Zeekreeft","264.000000","2132.000000","210.000000","1696.000000","54.000000","436.000000","-","-"
"57","Andere schaaldieren","129.000000","276.000000","60.000000","210.000000","69.000000","66.000000","-","-"
"58","Schelpen","4929.000000","12244.000000","2459.000000","7094.000000","2470.000000","5148.000000","-","-"
"59","Inktvis","16632.000000","35442.000000","7364.000000","16944.000000","9267.000000","18496.000000","1.000000","2.000000"
"60","Wulk","2943.000000","4572.000000","2044.000000","2772.000000","899.000000","1800.000000","-","-"
"61","Andere soorten","-","-","-","-","-","-","-","-"
"62",NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","* Bron : Vlaamse Overheid - Departement Landbouw en Visserij",NA,NA,NA,NA,NA,NA,NA,NA
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA
