"Zeevisserij","","","","","","","",""
"1","Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht",NA,NA,NA,NA,NA,NA,NA,NA
"2","Verdeling volgens de aanvoerhavens en de vissoorten - Januari 2014",NA,NA,NA,NA,NA,NA,NA,NA
"3","Vissoorten","Totaal van de havens",NA,"Oostende",NA,"Zeebrugge",NA,"Nieuwpoort",NA
"4",NA,"Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR"
"5","Algemeen totaal","1558123.000000","5634134.000000","549521.000000","1944002.000000","1002039.000000","3661440.000000","6563.000000","28694.000000"
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Bodemvissen :",NA,NA,NA,NA,NA,NA,NA,NA
"8","Totaal","1407995.000000","5298146.000000","491128.000000","1789216.000000","912685.000000","3496744.000000","4182.000000","12188.000000"
"9","Schelvis","16212.000000","29328.000000","3281.000000","5658.000000","12931.000000","23670.000000","-","-"
"10","Kabeljauw","45824.000000","135190.000000","10539.000000","32906.000000","32736.000000","93084.000000","2549.000000","9202.000000"
"11","Koolvis","152.000000","290.000000","31.000000","64.000000","121.000000","226.000000","-","-"
"12","Wijting","54133.000000","59526.000000","13298.000000","14128.000000","40752.000000","45334.000000","83.000000","62.000000"
"13","Pollak","8671.000000","24322.000000","1982.000000","5374.000000","6685.000000","18938.000000","4.000000","10.000000"
"14","Leng","6880.000000","14870.000000","1477.000000","3122.000000","5403.000000","11748.000000","-","-"
"15","Heek","1538.000000","2676.000000","383.000000","634.000000","1155.000000","2042.000000","-","-"
"16","Steenbolk","57721.000000","28094.000000","23479.000000","10140.000000","34187.000000","17912.000000","55.000000","42.000000"
"17","Schol","490639.000000","549642.000000","189183.000000","199656.000000","301252.000000","349822.000000","204.000000","164.000000"
"18","Bot","1311.000000","920.000000","365.000000","266.000000","705.000000","506.000000","241.000000","148.000000"
"19","Schar","10850.000000","9618.000000","5947.000000","5522.000000","4217.000000","3480.000000","686.000000","616.000000"
"20","Tong","282021.000000","2748864.000000","107601.000000","972768.000000","174298.000000","1775130.000000","122.000000","966.000000"
"21","Tarbot","32550.000000","349858.000000","14108.000000","149688.000000","18437.000000","200134.000000","5.000000","36.000000"
"22","Griet","27235.000000","202126.000000","11513.000000","80984.000000","15717.000000","121086.000000","5.000000","56.000000"
"23","Tongschar","110823.000000","420914.000000","31733.000000","120512.000000","79023.000000","300142.000000","67.000000","260.000000"
"24","Schartong","15316.000000","45548.000000","3927.000000","9998.000000","11389.000000","35550.000000","-","-"
"25","Heilbot","-","-","-","-","-","-","-","-"
"26","Hondstong","13342.000000","23134.000000","3143.000000","4896.000000","10199.000000","18240.000000","-","-"
"27","Rog","98858.000000","229162.000000","26161.000000","62546.000000","72693.000000","166604.000000","4.000000","12.000000"
"28","Rode poon","26010.000000","40884.000000","10061.000000","16850.000000","15949.000000","24034.000000","-","-"
"29","Grauwe poon","813.000000","212.000000","502.000000","126.000000","311.000000","84.000000","-","-"
"30","Engelse poon","18902.000000","9004.000000","3318.000000","1406.000000","15584.000000","7598.000000","-","-"
"31","Zeewolf","-","-","-","-","-","-","-","-"
"32","Zeeduivel","24990.000000","281356.000000","6543.000000","69616.000000","18447.000000","211740.000000","-","-"
"33","Kongeraal","8401.000000","10316.000000","2014.000000","2020.000000","6387.000000","8296.000000","-","-"
"34","Roodbaars","-","-","-","-","-","-","-","-"
"35","Mul","3159.000000","13238.000000","769.000000","3448.000000","2390.000000","9790.000000","-","-"
"36","Zeebaars","4138.000000","40530.000000","498.000000","5586.000000","3637.000000","34904.000000","3.000000","40.000000"
"37","Doornhaai","-","-","-","-","-","-","-","-"
"38","Hondshaai","46840.000000","27434.000000","18919.000000","11004.000000","27921.000000","16430.000000","-","-"
"39","Zandhaai","49.000000","28.000000","-","-","49.000000","28.000000","-","-"
"40","Andere soorten","617.000000","1062.000000","353.000000","298.000000","110.000000","192.000000","154.000000","574.000000"
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Pelagische vis :",NA,NA,NA,NA,NA,NA,NA,NA
"43","Totaal","508.000000","504.000000","191.000000","228.000000","7.000000","12.000000","310.000000","262.000000"
"44","Horsmakereel","160.000000","176.000000","160.000000","176.000000","-","-","-","-"
"45","Haring","41.000000","68.000000","31.000000","52.000000","7.000000","12.000000","3.000000","2.000000"
"46","Makreel","-","-","-","-","-","-","-","-"
"47","Sprot","307.000000","260.000000","-","-","-","-","307.000000","260.000000"
"48","Andere soorten","-","-","-","-","-","-","-","-"
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Schaal-en weekdieren :",NA,NA,NA,NA,NA,NA,NA,NA
"51","Totaal","149620.000000","335484.000000","58202.000000","154558.000000","89347.000000","164684.000000","2071.000000","16244.000000"
"52","Garnaal","6673.000000","37814.000000","4500.000000","20908.000000","102.000000","664.000000","2071.000000","16244.000000"
"53","Langoestine geheel","3654.000000","23508.000000","3108.000000","22680.000000","546.000000","830.000000","-","-"
"54","Langoestine staartje","376.000000","3996.000000","376.000000","3996.000000","-","-","-","-"
"55","Noordzeekrab","3404.000000","9990.000000","1504.000000","4152.000000","1900.000000","5838.000000","-","-"
"56","Zeekreeft","101.000000","638.000000","101.000000","638.000000","-","-","-","-"
"57","Andere schaaldieren","599.000000","624.000000","199.000000","74.000000","400.000000","550.000000","-","-"
"58","Schelpen","106266.000000","199402.000000","38823.000000","78578.000000","67443.000000","120824.000000","-","-"
"59","Inktvis","20129.000000","52216.000000","6631.000000","20460.000000","13498.000000","31754.000000","-","-"
"60","Wulk","8418.000000","7296.000000","2960.000000","3072.000000","5458.000000","4224.000000","-","-"
"61","Andere soorten","-","-","-","-","-","-","-","-"
"62",NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","* Bron : Vlaamse Overheid - Departement Landbouw en Visserij",NA,NA,NA,NA,NA,NA,NA,NA
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA
