"Zeevisserij","","","","","","","",""
"1","Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht",NA,NA,NA,NA,NA,NA,NA,NA
"2","Verdeling volgens de aanvoerhavens en de vissoorten - Maart 2014",NA,NA,NA,NA,NA,NA,NA,NA
"3","Vissoorten","Totaal van de havens",NA,"Oostende",NA,"Zeebrugge",NA,"Nieuwpoort",NA
"4",NA,"Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR"
"5","Algemeen totaal","1679994.000000","6426234.000000","723079.000000","2594346.000000","945222.000000","3787478.000000","11693.000000","44422.000000"
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Bodemvissen :",NA,NA,NA,NA,NA,NA,NA,NA
"8","Totaal","1521887.000000","6038224.000000","654294.000000","2416680.000000","856701.000000","3584060.000000","10892.000000","37490.000000"
"9","Schelvis","5691.000000","12428.000000","3010.000000","6144.000000","2681.000000","6284.000000","-","-"
"10","Kabeljauw","28422.000000","72418.000000","13879.000000","34398.000000","13980.000000","36284.000000","563.000000","1734.000000"
"11","Koolvis","133.000000","236.000000","60.000000","116.000000","73.000000","122.000000","-","-"
"12","Wijting","32104.000000","31604.000000","12739.000000","11458.000000","19365.000000","20148.000000","-","-"
"13","Pollak","18537.000000","48662.000000","4832.000000","12470.000000","13705.000000","36192.000000","-","-"
"14","Leng","5347.000000","11904.000000","1776.000000","3494.000000","3571.000000","8412.000000","-","-"
"15","Heek","550.000000","1380.000000","223.000000","620.000000","327.000000","760.000000","-","-"
"16","Steenbolk","65576.000000","15348.000000","20322.000000","5092.000000","45254.000000","10256.000000","-","-"
"17","Schol","337224.000000","382910.000000","163852.000000","183282.000000","170662.000000","196964.000000","2710.000000","2664.000000"
"18","Bot","45768.000000","28532.000000","37891.000000","24540.000000","5586.000000","2806.000000","2291.000000","1186.000000"
"19","Schar","48341.000000","22810.000000","22607.000000","10620.000000","25127.000000","11616.000000","607.000000","572.000000"
"20","Tong","540871.000000","4124766.000000","219819.000000","1583038.000000","316653.000000","2512538.000000","4399.000000","29192.000000"
"21","Tarbot","22771.000000","247194.000000","11109.000000","120466.000000","11653.000000","126648.000000","9.000000","80.000000"
"22","Griet","29650.000000","216066.000000","12869.000000","94660.000000","16529.000000","119674.000000","252.000000","1732.000000"
"23","Tongschar","48468.000000","212300.000000","16123.000000","71120.000000","32345.000000","141180.000000","-","-"
"24","Schartong","2614.000000","5056.000000","1416.000000","2730.000000","1198.000000","2326.000000","-","-"
"25","Heilbot","-","-","-","-","-","-","-","-"
"26","Hondstong","1698.000000","3896.000000","1211.000000","2526.000000","487.000000","1370.000000","-","-"
"27","Rog","56157.000000","176766.000000","31285.000000","97502.000000","24869.000000","79254.000000","3.000000","12.000000"
"28","Rode poon","81257.000000","91842.000000","23877.000000","26208.000000","57380.000000","65634.000000","-","-"
"29","Grauwe poon","824.000000","208.000000","824.000000","208.000000","-","-","-","-"
"30","Engelse poon","75083.000000","24406.000000","21295.000000","4360.000000","53788.000000","20046.000000","-","-"
"31","Zeewolf","-","-","-","-","-","-","-","-"
"32","Zeeduivel","16016.000000","181628.000000","6749.000000","69560.000000","9267.000000","112066.000000","-","-"
"33","Kongeraal","7083.000000","5038.000000","2531.000000","1690.000000","4552.000000","3350.000000","-","-"
"34","Roodbaars","-","-","-","-","-","-","-","-"
"35","Mul","2699.000000","20730.000000","668.000000","3862.000000","2031.000000","16868.000000","-","-"
