"Zeevisserij","","","","","","","",""
"1","Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht",NA,NA,NA,NA,NA,NA,NA,NA
"2","Verdeling volgens de aanvoerhavens en de vissoorten - September 2015",NA,NA,NA,NA,NA,NA,NA,NA
"3","Vissoorten","Totaal van de havens",NA,"Oostende",NA,"Zeebrugge",NA,"Nieuwpoort",NA
"4",NA,"Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR"
"5","Algemeen totaal","1534605.000000","5612598.000000","528251.000000","1953288.000000","986771.000000","3565002.000000","19583.000000","94310.000000"
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Bodemvissen :",NA,NA,NA,NA,NA,NA,NA,NA
"8","Totaal","1305734.000000","4880786.000000","384027.000000","1452112.000000","917041.000000","3409046.000000","4666.000000","19632.000000"
"9","Schelvis","10707.000000","23290.000000","1290.000000","2348.000000","9417.000000","20942.000000","-","-"
"10","Kabeljauw","113495.000000","345232.000000","27458.000000","86084.000000","85884.000000","258688.000000","153.000000","460.000000"
"11","Koolvis","746.000000","1320.000000","72.000000","164.000000","674.000000","1156.000000","-","-"
"12","Wijting","7953.000000","13308.000000","3149.000000","5244.000000","4753.000000","8034.000000","51.000000","28.000000"
"13","Pollak","2410.000000","8172.000000","272.000000","800.000000","2138.000000","7372.000000","-","-"
"14","Leng","2497.000000","7154.000000","284.000000","766.000000","2213.000000","6388.000000","-","-"
"15","Heek","6764.000000","14804.000000","1297.000000","2870.000000","5467.000000","11934.000000","-","-"
"16","Steenbolk","6619.000000","6418.000000","2784.000000","3032.000000","3835.000000","3386.000000","-","-"
"17","Schol","546109.000000","917734.000000","164121.000000","272050.000000","381216.000000","644732.000000","772.000000","952.000000"
"18","Bot","22898.000000","16780.000000","19472.000000","14740.000000","1777.000000","1400.000000","1649.000000","642.000000"
