"Zeevisserij","","","","","","","",""
"1","Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht",NA,NA,NA,NA,NA,NA,NA,NA
"2","Verdeling volgens de aanvoerhavens en de vissoorten - Maart 2013",NA,NA,NA,NA,NA,NA,NA,NA
"3","Vissoorten","Totaal van de havens",NA,"Oostende",NA,"Zeebrugge",NA,"Nieuwpoort",NA
"4",NA,"Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR"
"5","Algemeen totaal","1314326.000000","5486534.000000","590242.000000","2320108.000000","712890.000000","3094716.000000","11194.000000","71714.000000"
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Bodemvissen :",NA,NA,NA,NA,NA,NA,NA,NA
"8","Totaal","1165481.000000","5113708.000000","530130.000000","2154270.000000","631663.000000","2943208.000000","3688.000000","16226.000000"
"9","Schelvis","7755.000000","16188.000000","3621.000000","7240.000000","4134.000000","8948.000000","-","-"
"10","Kabeljauw","44504.000000","131600.000000","19451.000000","58200.000000","24579.000000","72118.000000","474.000000","1280.000000"
"11","Koolvis","53.000000","104.000000","33.000000","66.000000","20.000000","38.000000","-","-"
"12","Wijting","34001.000000","35326.000000","17447.000000","16584.000000","16549.000000","18740.000000","5.000000","4.000000"
"13","Pollak","6351.000000","21554.000000","2087.000000","7030.000000","4264.000000","14524.000000","-","-"
"14","Leng","6571.000000","16914.000000","2054.000000","5016.000000","4517.000000","11898.000000","-","-"
"15","Heek","433.000000","1340.000000","221.000000","654.000000","212.000000","686.000000","-","-"
"16","Steenbolk","47599.000000","25768.000000","20969.000000","10226.000000","26630.000000","15540.000000","-","-"
"17","Schol","209503.000000","259262.000000","116518.000000","138546.000000","92551.000000","120380.000000","434.000000","338.000000"
"18","Bot","24261.000000","15492.000000","14963.000000","9650.000000","9094.000000","5780.000000","204.000000","62.000000"
