"Zeevisserij","","","","","","","",""
"33","Kongeraal","5588.000000","5120.000000","1991.000000","1700.000000","3597.000000","3420.000000","-","-"
"34","Roodbaars","-","-","-","-","-","-","-","-"
"35","Mul","3748.000000","16092.000000","1348.000000","6962.000000","2400.000000","9130.000000","-","-"
"36","Zeebaars","3053.000000","29792.000000","696.000000","6586.000000","2357.000000","23206.000000","-","-"
"37","Doornhaai","-","-","-","-","-","-","-","-"
"38","Hondshaai","75252.000000","82098.000000","26759.000000","32768.000000","48489.000000","49324.000000","4.000000","6.000000"
"39","Zandhaai","137.000000","140.000000","108.000000","104.000000","29.000000","38.000000","-","-"
"40","Andere soorten","847.000000","1214.000000","672.000000","1012.000000","116.000000","144.000000","59.000000","58.000000"
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Pelagische vis :",NA,NA,NA,NA,NA,NA,NA,NA
"43","Totaal","3035.000000","1312.000000","840.000000","234.000000","2195.000000","1078.000000","-","-"
"44","Horsmakereel","2828.000000","1050.000000","840.000000","234.000000","1988.000000","816.000000","-","-"
"45","Haring","207.000000","262.000000","-","-","207.000000","262.000000","-","-"
"46","Makreel","-","-","-","-","-","-","-","-"
"47","Sprot","-","-","-","-","-","-","-","-"
"48","Andere soorten","-","-","-","-","-","-","-","-"
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Schaal-en weekdieren :",NA,NA,NA,NA,NA,NA,NA,NA
"51","Totaal","243925.000000","740164.000000","80594.000000","253386.000000","159472.000000","460160.000000","3859.000000","26618.000000"
"52","Garnaal","7425.000000","50928.000000","2866.000000","18896.000000","700.000000","5414.000000","3859.000000","26618.000000"
"53","Langoestine geheel","6213.000000","43760.000000","6213.000000","43760.000000","-","-","-","-"
"54","Langoestine staartje","880.000000","7444.000000","880.000000","7444.000000","-","-","-","-"
"55","Noordzeekrab","2515.000000","7746.000000","1275.000000","3006.000000","1240.000000","4738.000000","-","-"
"56","Zeekreeft","89.000000","740.000000","68.000000","580.000000","21.000000","160.000000","-","-"
"57","Andere schaaldieren","273.000000","310.000000","66.000000","62.000000","207.000000","248.000000","-","-"
"58","Schelpen","80846.000000","237010.000000","26135.000000","76792.000000","54711.000000","160218.000000","-","-"
"59","Inktvis","137644.000000","385706.000000","39474.000000","99400.000000","98170.000000","286306.000000","-","-"
"60","Wulk","8040.000000","6520.000000","3617.000000","3446.000000","4423.000000","3076.000000","-","-"
"61","Andere soorten","-","-","-","-","-","-","-","-"
"62",NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","* Bron: Algemene Directie Statistiek - Statistics Belgium op basis van het departement Landbouw en visserij van de Vlaamse Overheid, AVKD",NA,NA,NA,NA,NA,NA,NA,NA
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA
