"Zeevisserij","","","","","","","",""
"1","Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht",NA,NA,NA,NA,NA,NA,NA,NA
"2","Verdeling volgens de aanvoerhavens en de vissoorten - Februari 2015",NA,NA,NA,NA,NA,NA,NA,NA
"3","Vissoorten","Totaal van de havens",NA,"Oostende",NA,"Zeebrugge",NA,"Nieuwpoort",NA
"4",NA,"Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR"
"5","Algemeen totaal","1620283.000000","5359448.000000","545011.000000","1921600.000000","1070693.000000","3410122.000000","4579.000000","27728.000000"
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Bodemvissen :",NA,NA,NA,NA,NA,NA,NA,NA
"8","Totaal","1373323.000000","4617972.000000","463577.000000","1667980.000000","909026.000000","2948884.000000","720.000000","1110.000000"
"9","Schelvis","5953.000000","13652.000000","1164.000000","3050.000000","4789.000000","10602.000000","-","-"
"10","Kabeljauw","54935.000000","136394.000000","17454.000000","44722.000000","37273.000000","91164.000000","208.000000","508.000000"
"11","Koolvis","66.000000","132.000000","11.000000","22.000000","55.000000","110.000000","-","-"
"12","Wijting","26205.000000","30096.000000","8157.000000","9398.000000","18040.000000","20694.000000","8.000000","4.000000"
"13","Pollak","5172.000000","17320.000000","1402.000000","4548.000000","3770.000000","12772.000000","-","-"
"14","Leng","4865.000000","10992.000000","1232.000000","2842.000000","3633.000000","8150.000000","-","-"
"15","Heek","781.000000","1720.000000","105.000000","290.000000","676.000000","1432.000000","-","-"
"16","Steenbolk","75335.000000","32798.000000","24552.000000","9174.000000","50783.000000","23622.000000","-","-"
"17","Schol","400678.000000","494828.000000","140232.000000","175710.000000","260355.000000","319024.000000","91.000000","92.000000"
"18","Bot","11791.000000","6848.000000","7233.000000","4282.000000","4484.000000","2538.000000","74.000000","28.000000"
"19","Schar","26996.000000","14724.000000","6944.000000","4054.000000","19787.000000","10388.000000","265.000000","282.000000"
"20","Tong","242313.000000","2236680.000000","94858.000000","857904.000000","147451.000000","1378732.000000","4.000000","44.000000"
"21","Tarbot","25457.000000","278516.000000","10928.000000","120730.000000","14525.000000","157728.000000","4.000000","58.000000"
"22","Griet","26601.000000","174928.000000","11447.000000","75116.000000","15151.000000","99782.000000","3.000000","30.000000"
"23","Tongschar","39310.000000","218332.000000","11360.000000","62232.000000","27950.000000","156100.000000","-","-"
"24","Schartong","33051.000000","98136.000000","6226.000000","19060.000000","26825.000000","79076.000000","-","-"
"25","Heilbot","2.000000","24.000000","2.000000","24.000000","-","-","-","-"
"26","Hondstong","4881.000000","10832.000000","1469.000000","3682.000000","3412.000000","7150.000000","-","-"
"27","Rog","94097.000000","231214.000000","38723.000000","98172.000000","55374.000000","133042.000000","-","-"
"28","Rode poon","128914.000000","119720.000000","31727.000000","33882.000000","97187.000000","85838.000000","-","-"
"29","Grauwe poon","43.000000","10.000000","39.000000","10.000000","4.000000","2.000000","-","-"
"30","Engelse poon","43153.000000","19130.000000","7646.000000","3170.000000","35507.000000","15960.000000","-","-"
"31","Zeewolf","-","-","-","-","-","-","-","-"
"32","Zeeduivel","34099.000000","336490.000000","9092.000000","86774.000000","25007.000000","249716.000000","-","-"
