"Zeevisserij","","","","","","","",""
"1","Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht",NA,NA,NA,NA,NA,NA,NA,NA
"2","Verdeling volgens de aanvoerhavens en de vissoorten - November 2014",NA,NA,NA,NA,NA,NA,NA,NA
"3","Vissoorten","Totaal van de havens",NA,"Oostende",NA,"Zeebrugge",NA,"Nieuwpoort",NA
"4",NA,"Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR"
"5","Algemeen totaal","2045262.000000","6971666.000000","606812.000000","2239316.000000","1415704.000000","4651872.000000","22746.000000","80484.000000"
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Bodemvissen :",NA,NA,NA,NA,NA,NA,NA,NA
"8","Totaal","1741890.000000","6087886.000000","440552.000000","1749980.000000","1298660.000000","4333880.000000","2678.000000","4030.000000"
"9","Schelvis","11593.000000","27582.000000","318.000000","706.000000","11275.000000","26876.000000","-","-"
"10","Kabeljauw","152022.000000","356016.000000","12820.000000","29910.000000","138689.000000","324768.000000","513.000000","1338.000000"
"11","Koolvis","428.000000","676.000000","14.000000","20.000000","414.000000","656.000000","-","-"
"12","Wijting","10726.000000","19506.000000","3765.000000","6514.000000","6883.000000","12908.000000","78.000000","84.000000"
"13","Pollak","3302.000000","13500.000000","59.000000","218.000000","3242.000000","13280.000000","1.000000","2.000000"
"14","Leng","2212.000000","5830.000000","59.000000","152.000000","2153.000000","5678.000000","-","-"
"15","Heek","873.000000","2228.000000","31.000000","104.000000","842.000000","2124.000000","-","-"
"16","Steenbolk","15274.000000","13024.000000","8676.000000","7092.000000","6598.000000","5934.000000","-","-"
"17","Schol","809556.000000","1159190.000000","147389.000000","209558.000000","662141.000000","949602.000000","26.000000","30.000000"
"18","Bot","25611.000000","18310.000000","19680.000000","14030.000000","4884.000000","3692.000000","1047.000000","588.000000"
"19","Schar","29364.000000","26312.000000","6572.000000","4242.000000","21974.000000","21300.000000","818.000000","770.000000"
"20","Tong","259928.000000","2611908.000000","102067.000000","1007528.000000","157762.000000","1603352.000000","99.000000","1028.000000"
"21","Tarbot","52064.000000","505162.000000","19433.000000","181758.000000","32627.000000","323374.000000","4.000000","30.000000"
"22","Griet","32695.000000","228376.000000","13454.000000","90916.000000","19241.000000","137460.000000","-","-"
"23","Tongschar","95391.000000","525694.000000","11564.000000","58264.000000","83827.000000","467430.000000","-","-"
"24","Schartong","16771.000000","67504.000000","1484.000000","6712.000000","15287.000000","60794.000000","-","-"
"25","Heilbot","10.000000","114.000000","-","-","10.000000","114.000000","-","-"
"26","Hondstong","2651.000000","5612.000000","271.000000","564.000000","2380.000000","5048.000000","-","-"
"27","Rog","11631.000000","44066.000000","2589.000000","9732.000000","9042.000000","34334.000000","-","-"
"28","Rode poon","93861.000000","60766.000000","43086.000000","28560.000000","50775.000000","32206.000000","-","-"
"29","Grauwe poon","2041.000000","426.000000","111.000000","22.000000","1930.000000","402.000000","-","-"
"30","Engelse poon","13752.000000","5010.000000","5325.000000","2540.000000","8427.000000","2470.000000","-","-"
"31","Zeewolf","5273.000000","21320.000000","101.000000","374.000000","5172.000000","20946.000000","-","-"
"32","Zeeduivel","20019.000000","227346.000000","3045.000000","26976.000000","16974.000000","200370.000000","-","-"
"33","Kongeraal","1465.000000","3166.000000","679.000000","1404.000000","786.000000","1762.000000","-","-"
"34","Roodbaars","-","-","-","-","-","-","-","-"
"35","Mul","16900.000000","59590.000000","11558.000000","39794.000000","5342.000000","19796.000000","-","-"
"36","Zeebaars","5694.000000","49946.000000","950.000000","7934.000000","4738.000000","41970.000000","6.000000","42.000000"
"37","Doornhaai","-","-","-","-","-","-","-","-"
"38","Hondshaai","48586.000000","26460.000000","24440.000000","12826.000000","24143.000000","13632.000000","3.000000","2.000000"
"39","Zandhaai","1309.000000","1476.000000","404.000000","334.000000","905.000000","1142.000000","-","-"
"40","Andere soorten","888.000000","1770.000000","608.000000","1196.000000","197.000000","460.000000","83.000000","116.000000"
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Pelagische vis :",NA,NA,NA,NA,NA,NA,NA,NA
"43","Totaal","112.000000","190.000000","73.000000","118.000000","9.000000","16.000000","30.000000","56.000000"
"44","Horsmakereel","3.000000","4.000000","3.000000","4.000000","-","-","-","-"
"45","Haring","109.000000","186.000000","70.000000","114.000000","9.000000","16.000000","30.000000","56.000000"
"46","Makreel","-","-","-","-","-","-","-","-"
"47","Sprot","-","-","-","-","-","-","-","-"
"48","Andere soorten","-","-","-","-","-","-","-","-"
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Schaal-en weekdieren :",NA,NA,NA,NA,NA,NA,NA,NA
"51","Totaal","303260.000000","883590.000000","166187.000000","489218.000000","117035.000000","317976.000000","20038.000000","76398.000000"
"52","Garnaal","85978.000000","282122.000000","57132.000000","159286.000000","8808.000000","46438.000000","20038.000000","76398.000000"
"53","Langoestine geheel","1738.000000","10770.000000","1682.000000","10466.000000","56.000000","306.000000","-","-"
"54","Langoestine staartje","437.000000","3646.000000","350.000000","3080.000000","87.000000","566.000000","-","-"
"55","Noordzeekrab","12080.000000","15492.000000","2639.000000","3716.000000","9441.000000","11776.000000","-","-"
"56","Zeekreeft","165.000000","1300.000000","136.000000","1092.000000","29.000000","208.000000","-","-"
"57","Andere schaaldieren","144.000000","122.000000","20.000000","6.000000","124.000000","114.000000","-","-"
"58","Schelpen","29235.000000","105648.000000","14875.000000","57590.000000","14360.000000","48058.000000","-","-"
"59","Inktvis","163908.000000","455220.000000","84558.000000","248692.000000","79350.000000","206530.000000","-","-"
"60","Wulk","9575.000000","9270.000000","4795.000000","5290.000000","4780.000000","3980.000000","-","-"
"61","Andere soorten","-","-","-","-","-","-","-","-"
"62",NA,NA,NA,NA,NA,NA,NA,NA,NA
