"Zeevisserij","","","","","","","",""
"1","Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht",NA,NA,NA,NA,NA,NA,NA,NA
"2","Verdeling volgens de aanvoerhavens en de vissoorten - Maart 2015",NA,NA,NA,NA,NA,NA,NA,NA
"3","Vissoorten","Totaal van de havens",NA,"Oostende",NA,"Zeebrugge",NA,"Nieuwpoort",NA
"4",NA,"Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR"
"5","Algemeen totaal","1725962.000000","6752912.000000","662638.000000","2524838.000000","1058421.000000","4199678.000000","4903.000000","28396.000000"
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Bodemvissen :",NA,NA,NA,NA,NA,NA,NA,NA
"8","Totaal","1490730.000000","6025194.000000","587842.000000","2278526.000000","901438.000000","3742636.000000","1450.000000","4032.000000"
"9","Schelvis","5863.000000","12874.000000","1705.000000","3728.000000","4158.000000","9146.000000","-","-"
"10","Kabeljauw","58493.000000","136708.000000","23429.000000","59192.000000","34894.000000","77068.000000","170.000000","448.000000"
"11","Koolvis","132.000000","264.000000","44.000000","90.000000","88.000000","174.000000","-","-"
"12","Wijting","63132.000000","64840.000000","20803.000000","18688.000000","42323.000000","46148.000000","6.000000","2.000000"
"13","Pollak","11348.000000","33816.000000","2487.000000","7576.000000","8861.000000","26240.000000","-","-"
"14","Leng","4432.000000","9970.000000","1054.000000","2226.000000","3378.000000","7744.000000","-","-"
"15","Heek","512.000000","1072.000000","80.000000","172.000000","432.000000","898.000000","-","-"
"16","Steenbolk","87026.000000","32414.000000","26676.000000","9938.000000","60350.000000","22478.000000","-","-"
"17","Schol","221694.000000","329204.000000","119390.000000","168314.000000","102058.000000","160598.000000","246.000000","294.000000"
"18","Bot","51176.000000","30504.000000","42148.000000","25938.000000","8756.000000","4494.000000","272.000000","72.000000"
"19","Schar","62281.000000","26016.000000","24960.000000","10360.000000","37023.000000","15468.000000","298.000000","188.000000"
"20","Tong","442520.000000","3616712.000000","170636.000000","1372914.000000","271462.000000","2240834.000000","422.000000","2962.000000"
"21","Tarbot","22849.000000","267444.000000","9246.000000","111400.000000","13602.000000","156036.000000","1.000000","8.000000"
"22","Griet","33728.000000","241174.000000","11493.000000","83564.000000","22232.000000","157598.000000","3.000000","12.000000"
"23","Tongschar","46640.000000","294332.000000","16285.000000","101098.000000","30355.000000","193234.000000","-","-"
"24","Schartong","9911.000000","24008.000000","3912.000000","9574.000000","5999.000000","14434.000000","-","-"
"25","Heilbot","-","-","-","-","-","-","-","-"
"26","Hondstong","4974.000000","12326.000000","3168.000000","7244.000000","1806.000000","5082.000000","-","-"
"27","Rog","66795.000000","212346.000000","19935.000000","69054.000000","46860.000000","143292.000000","-","-"
"28","Rode poon","138764.000000","166930.000000","43310.000000","52804.000000","95454.000000","114126.000000","-","-"
"29","Grauwe poon","346.000000","102.000000","108.000000","32.000000","238.000000","70.000000","-","-"
"30","Engelse poon","51956.000000","38958.000000","9781.000000","5948.000000","42175.000000","33010.000000","-","-"
"31","Zeewolf","-","-","-","-","-","-","-","-"
"32","Zeeduivel","21747.000000","253428.000000","5944.000000","64036.000000","15803.000000","189394.000000","-","-"
"33","Kongeraal","4111.000000","4306.000000","800.000000","784.000000","3311.000000","3520.000000","-","-"
"34","Roodbaars","-","-","-","-","-","-","-","-"
"35","Mul","7348.000000","35840.000000","1652.000000","7122.000000","5696.000000","28718.000000","-","-"
"36","Zeebaars","7933.000000","90732.000000","4350.000000","52778.000000","3582.000000","37944.000000","1.000000","12.000000"
"37","Doornhaai","-","-","-","-","-","-","-","-"
"38","Hondshaai","63751.000000","86700.000000","23350.000000","31966.000000","40401.000000","54734.000000","-","-"
"39","Zandhaai","-","-","-","-","-","-","-","-"
"40","Andere soorten","1268.000000","2174.000000","1096.000000","1986.000000","141.000000","154.000000","31.000000","34.000000"
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Pelagische vis :",NA,NA,NA,NA,NA,NA,NA,NA
"43","Totaal","4008.000000","4238.000000","1271.000000","980.000000","2731.000000","3248.000000","6.000000","8.000000"
"44","Horsmakereel","1688.000000","2748.000000","343.000000","476.000000","1345.000000","2272.000000","-","-"
"45","Haring","2320.000000","1490.000000","928.000000","504.000000","1386.000000","976.000000","6.000000","8.000000"
"46","Makreel","-","-","-","-","-","-","-","-"
"47","Sprot","-","-","-","-","-","-","-","-"
"48","Andere soorten","-","-","-","-","-","-","-","-"
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Schaal-en weekdieren :",NA,NA,NA,NA,NA,NA,NA,NA
"51","Totaal","231224.000000","723480.000000","73525.000000","245332.000000","154252.000000","453794.000000","3447.000000","24356.000000"
"52","Garnaal","10075.000000","68270.000000","5741.000000","37818.000000","888.000000","6104.000000","3446.000000","24348.000000"
"53","Langoestine geheel","2135.000000","16150.000000","2135.000000","16150.000000","-","-","-","-"
"54","Langoestine staartje","131.000000","1660.000000","131.000000","1660.000000","-","-","-","-"
"55","Noordzeekrab","1668.000000","10536.000000","630.000000","3640.000000","1038.000000","6898.000000","-","-"
"56","Zeekreeft","69.000000","706.000000","64.000000","662.000000","5.000000","44.000000","-","-"
"57","Andere schaaldieren","254.000000","286.000000","43.000000","56.000000","211.000000","230.000000","-","-"
"58","Schelpen","102395.000000","279850.000000","33922.000000","93520.000000","68473.000000","186330.000000","-","-"
"59","Inktvis","102200.000000","334212.000000","24853.000000","84448.000000","77346.000000","249756.000000","1.000000","8.000000"
"60","Wulk","12297.000000","11810.000000","6006.000000","7378.000000","6291.000000","4432.000000","-","-"
"61","Andere soorten","-","-","-","-","-","-","-","-"
"62",NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","* Bron: Algemene Directie Statistiek - Statistics Belgium op basis van het departement Landbouw en visserij van de Vlaamse Overheid, AVKD",NA,NA,NA,NA,NA,NA,NA,NA
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA
