"Zeevisserij","","","","","","","",""
"1","Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht",NA,NA,NA,NA,NA,NA,NA,NA
"2","Verdeling volgens de aanvoerhavens en de vissoorten - Augustus 2012",NA,NA,NA,NA,NA,NA,NA,NA
"3","Vissoorten","Totaal van de havens",NA,"Oostende",NA,"Zeebrugge",NA,"Nieuwpoort",NA
"4",NA,"Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR"
"5","Algemeen totaal","1280099.000000","4612746.000000","414592.000000","1532912.000000","845101.000000","2966628.000000","20406.000000","113204.000000"
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Bodemvissen :",NA,NA,NA,NA,NA,NA,NA,NA
"8","Totaal","1138397.000000","4077504.000000","330392.000000","1178762.000000","796114.000000","2842406.000000","11891.000000","56336.000000"
"9","Schelvis","28139.000000","36396.000000","15633.000000","20614.000000","12506.000000","15780.000000","-","-"
"10","Kabeljauw","51219.000000","160546.000000","14470.000000","45916.000000","36702.000000","114536.000000","47.000000","94.000000"
"11","Koolvis","389.000000","746.000000","304.000000","598.000000","85.000000","148.000000","-","-"
"12","Wijting","12168.000000","17538.000000","8475.000000","12086.000000","3658.000000","5424.000000","35.000000","28.000000"
"13","Pollak","8752.000000","22972.000000","7490.000000","19036.000000","1262.000000","3936.000000","-","-"
"14","Leng","3441.000000","7316.000000","1277.000000","2376.000000","2164.000000","4942.000000","-","-"
"15","Heek","5160.000000","10660.000000","1725.000000","3582.000000","3435.000000","7078.000000","-","-"
"16","Steenbolk","3361.000000","2148.000000","1155.000000","756.000000","2206.000000","1392.000000","-","-"
"17","Schol","389140.000000","482316.000000","68511.000000","81268.000000","318025.000000","398208.000000","2604.000000","2838.000000"
"18","Bot","17697.000000","8502.000000","10683.000000","5616.000000","4594.000000","2144.000000","2420.000000","742.000000"
"19","Schar","17373.000000","11138.000000","6352.000000","3778.000000","10903.000000","7202.000000","118.000000","158.000000"
"20","Tong","175951.000000","1912130.000000","45049.000000","529970.000000","126209.000000","1333260.000000","4693.000000","48900.000000"
"21","Tarbot","27135.000000","250654.000000","10323.000000","88482.000000","16744.000000","161718.000000","68.000000","456.000000"
"22","Griet","17154.000000","119332.000000","4867.000000","31780.000000","12273.000000","87470.000000","14.000000","82.000000"
"23","Tongschar","39189.000000","115744.000000","10263.000000","26838.000000","28893.000000","88812.000000","33.000000","94.000000"
"24","Schartong","62621.000000","69204.000000","19404.000000","20872.000000","43217.000000","48330.000000","-","-"
"25","Heilbot","39.000000","592.000000","-","-","39.000000","592.000000","-","-"
"26","Rog","152701.000000","262430.000000","58815.000000","99266.000000","92547.000000","160894.000000","1339.000000","2270.000000"
"27","Rode poon","12186.000000","24950.000000","5439.000000","12116.000000","6695.000000","12820.000000","52.000000","14.000000"
"28","Grauwe poon","13981.000000","4702.000000","4368.000000","1420.000000","9613.000000","3282.000000","-","-"
"29","Engelse poon","6285.000000","6454.000000","4877.000000","5384.000000","1408.000000","1070.000000","-","-"
"30","Zeewolf","2552.000000","8208.000000","-","-","2552.000000","8208.000000","-","-"
"31","Zeeduivel","57066.000000","481304.000000","15485.000000","133730.000000","41581.000000","347574.000000","-","-"
"32","Kongeraal","2891.000000","3674.000000","1232.000000","1606.000000","1659.000000","2068.000000","-","-"
"33","Roodbaars","-","-","-","-","-","-","-","-"
"34","Mul","1498.000000","10956.000000","1020.000000","8586.000000","474.000000","2356.000000","4.000000","14.000000"
"35","Zeebaars","1351.000000","13676.000000","773.000000","7738.000000","552.000000","5666.000000","26.000000","272.000000"
"36","Doornhaai","-","-","-","-","-","-","-","-"
"37","Hondshaai","22175.000000","15140.000000","9395.000000","5712.000000","12543.000000","9260.000000","237.000000","168.000000"
"38","Zandhaai","153.000000","58.000000","89.000000","26.000000","54.000000","30.000000","10.000000","2.000000"
"39","Andere soorten","6630.000000","18018.000000","2918.000000","9610.000000","3521.000000","8206.000000","191.000000","204.000000"
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Pelagische vis :",NA,NA,NA,NA,NA,NA,NA,NA
"42","Totaal","2956.000000","15912.000000","1462.000000","7700.000000","1441.000000","8140.000000","53.000000","70.000000"
"43","Horsmakereel","208.000000","74.000000","184.000000","68.000000","-","-","24.000000","6.000000"
"44","Haring","-","-","-","-","-","-","-","-"
"45","Makreel","35.000000","66.000000","-","-","6.000000","2.000000","29.000000","64.000000"
"46","Sprot","-","-","-","-","-","-","-","-"
"47","Andere soorten","2713.000000","15772.000000","1278.000000","7632.000000","1435.000000","8138.000000","-","-"
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Schaal-en weekdieren :",NA,NA,NA,NA,NA,NA,NA,NA
"50","Totaal","138746.000000","519330.000000","82738.000000","346450.000000","47546.000000","116082.000000","8462.000000","56798.000000"
"51","Garnaal","19775.000000","128910.000000","7862.000000","48744.000000","3468.000000","23376.000000","8445.000000","56790.000000"
"52","Langoestine geheel","53203.000000","248174.000000","49835.000000","224478.000000","3368.000000","23696.000000","-","-"
"53","Langoestine staartje","3705.000000","28898.000000","2390.000000","18000.000000","1315.000000","10898.000000","-","-"
"54","Noordzeekrab","10670.000000","16732.000000","1557.000000","3638.000000","9113.000000","13094.000000","-","-"
"55","Zeekreeft","71.000000","574.000000","37.000000","288.000000","34.000000","288.000000","-","-"
"56","Andere schaaldieren","52.000000","68.000000","13.000000","16.000000","39.000000","52.000000","-","-"
"57","Schelpen","6239.000000","15058.000000","2843.000000","5720.000000","3396.000000","9338.000000","-","-"
"58","Inktvis","42578.000000","78524.000000","17669.000000","44732.000000","24892.000000","33784.000000","17.000000","8.000000"
"59","Wulk","2453.000000","2392.000000","532.000000","834.000000","1921.000000","1556.000000","-","-"
"60","Andere soorten","-","-","-","-","-","-","-","-"
"61",NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","* Bron : Vlaamse Overheid - Departement Landbouw en Visserij",NA,NA,NA,NA,NA,NA,NA,NA
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA
