"Zeevisserij","","","","","","","",""
"1","Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht",NA,NA,NA,NA,NA,NA,NA,NA
"2","Verdeling volgens de aanvoerhavens en de vissoorten - Januari 2013",NA,NA,NA,NA,NA,NA,NA,NA
"3","Vissoorten","Totaal van de havens",NA,"Oostende",NA,"Zeebrugge",NA,"Nieuwpoort",NA
"4",NA,"Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR"
"5","Algemeen totaal","1626144.000000","5479284.000000","652299.000000","2121918.000000","953848.000000","3279812.000000","19997.000000","77548.000000"
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Bodemvissen :",NA,NA,NA,NA,NA,NA,NA,NA
"8","Totaal","1380442.000000","4883974.000000","549660.000000","1867844.000000","817551.000000","2976772.000000","13231.000000","39356.000000"
"9","Schelvis","19807.000000","27850.000000","4938.000000","6784.000000","14869.000000","21066.000000","-","-"
"10","Kabeljauw","80079.000000","191590.000000","30794.000000","72764.000000","45663.000000","107040.000000","3622.000000","11786.000000"
"11","Koolvis","135.000000","218.000000","41.000000","68.000000","94.000000","150.000000","-","-"
"12","Wijting","45659.000000","40358.000000","13735.000000","11848.000000","31716.000000","28318.000000","208.000000","190.000000"
"13","Pollak","4305.000000","10626.000000","1980.000000","4650.000000","2295.000000","5868.000000","30.000000","108.000000"
"14","Leng","8777.000000","15576.000000","2762.000000","4732.000000","6007.000000","10816.000000","8.000000","26.000000"
"15","Heek","416.000000","624.000000","145.000000","184.000000","271.000000","440.000000","-","-"
"16","Steenbolk","35789.000000","18806.000000","15258.000000","8854.000000","20159.000000","9520.000000","372.000000","430.000000"
"17","Schol","293844.000000","317222.000000","141515.000000","151726.000000","149501.000000","162560.000000","2828.000000","2936.000000"
"18","Bot","2245.000000","1480.000000","689.000000","510.000000","1378.000000","910.000000","178.000000","60.000000"
"19","Schar","27001.000000","20430.000000","11289.000000","8376.000000","13910.000000","10684.000000","1802.000000","1370.000000"
"20","Tong","229669.000000","2325662.000000","92410.000000","900456.000000","135836.000000","1412780.000000","1423.000000","12426.000000"
"21","Tarbot","28772.000000","222572.000000","12332.000000","100004.000000","16296.000000","121434.000000","144.000000","1134.000000"
"22","Griet","24513.000000","135674.000000","10341.000000","56174.000000","13834.000000","77596.000000","338.000000","1904.000000"
"23","Tongschar","106410.000000","301474.000000","37507.000000","106946.000000","68267.000000","192024.000000","636.000000","2506.000000"
"24","Schartong","97249.000000","175226.000000","35656.000000","54736.000000","61593.000000","120490.000000","-","-"
"25","Heilbot","-","-","-","-","-","-","-","-"
"26","Hondstong","9858.000000","10582.000000","3524.000000","3840.000000","6334.000000","6742.000000","-","-"
"27","Rog","121834.000000","237618.000000","45411.000000","80016.000000","76141.000000","157088.000000","282.000000","514.000000"
"28","Rode poon","54679.000000","60850.000000","19797.000000","24990.000000","34665.000000","35602.000000","217.000000","258.000000"
"29","Grauwe poon","2322.000000","596.000000","271.000000","70.000000","2051.000000","526.000000","-","-"
"30","Engelse poon","34018.000000","13340.000000","13772.000000","5478.000000","20189.000000","7832.000000","57.000000","30.000000"
"31","Zeewolf","-","-","-","-","-","-","-","-"
"32","Zeeduivel","69821.000000","581886.000000","25168.000000","197714.000000","44590.000000","383268.000000","63.000000","904.000000"
"33","Kongeraal","3486.000000","4072.000000","1312.000000","1606.000000","2174.000000","2466.000000","-","-"
"34","Roodbaars","-","-","-","-","-","-","-","-"
"35","Mul","8045.000000","40208.000000","1889.000000","8044.000000","6156.000000","32166.000000","-","-"
"36","Zeebaars","7166.000000","55196.000000","3279.000000","28090.000000","3683.000000","25214.000000","204.000000","1892.000000"
"37","Doornhaai","-","-","-","-","-","-","-","-"
"38","Hondshaai","46449.000000","19804.000000","18208.000000","7826.000000","27605.000000","11640.000000","636.000000","338.000000"
"39","Zandhaai","447.000000","440.000000","27.000000","50.000000","420.000000","390.000000","-","-"
"40","Andere soorten","17647.000000","53994.000000","5610.000000","21308.000000","11854.000000","32142.000000","183.000000","544.000000"
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Pelagische vis :",NA,NA,NA,NA,NA,NA,NA,NA
"43","Totaal","9931.000000","23808.000000","3486.000000","14330.000000","6432.000000","9460.000000","13.000000","14.000000"
"44","Horsmakereel","2319.000000","1612.000000","325.000000","240.000000","1994.000000","1372.000000","-","-"
"45","Haring","55.000000","108.000000","9.000000","26.000000","41.000000","74.000000","5.000000","6.000000"
"46","Makreel","39.000000","110.000000","-","-","39.000000","110.000000","-","-"
"47","Sprot","14.000000","22.000000","6.000000","12.000000","-","-","8.000000","8.000000"
"48","Andere soorten","7504.000000","21956.000000","3146.000000","14052.000000","4358.000000","7904.000000","-","-"
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Schaal-en weekdieren :",NA,NA,NA,NA,NA,NA,NA,NA
"51","Totaal","235771.000000","571502.000000","99153.000000","239744.000000","129865.000000","293580.000000","6753.000000","38178.000000"
