"Zeevisserij","","","","","","","",""
"1","Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht",NA,NA,NA,NA,NA,NA,NA,NA
"2","Verdeling volgens de aanvoerhavens en de vissoorten - November 2012",NA,NA,NA,NA,NA,NA,NA,NA
"3","Vissoorten","Totaal van de havens",NA,"Oostende",NA,"Zeebrugge",NA,"Nieuwpoort",NA
"4",NA,"Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR"
"5","Algemeen totaal","1672944.000000","5032990.000000","615414.000000","1864926.000000","1050787.000000","3138322.000000","6743.000000","29742.000000"
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Bodemvissen :",NA,NA,NA,NA,NA,NA,NA,NA
"8","Totaal","1423117.000000","4462374.000000","493589.000000","1562080.000000","926608.000000","2888982.000000","2920.000000","11316.000000"
"9","Schelvis","7569.000000","15936.000000","798.000000","1906.000000","6771.000000","14030.000000","-","-"
"10","Kabeljauw","70657.000000","206280.000000","12753.000000","42458.000000","57480.000000","162562.000000","424.000000","1260.000000"
"11","Koolvis","48.000000","92.000000","-","-","48.000000","92.000000","-","-"
"12","Wijting","17576.000000","24176.000000","9085.000000","12422.000000","8290.000000","11588.000000","201.000000","166.000000"
"13","Pollak","2219.000000","8698.000000","517.000000","1974.000000","1702.000000","6724.000000","-","-"
"14","Leng","4119.000000","11364.000000","646.000000","1712.000000","3473.000000","9652.000000","-","-"
"15","Heek","690.000000","1482.000000","300.000000","600.000000","390.000000","880.000000","-","-"
"16","Steenbolk","14725.000000","11498.000000","7395.000000","5640.000000","7278.000000","5816.000000","52.000000","42.000000"
"17","Schol","518965.000000","734486.000000","144962.000000","197954.000000","373879.000000","536404.000000","124.000000","128.000000"
"18","Bot","10788.000000","8834.000000","10245.000000","8572.000000","140.000000","108.000000","403.000000","154.000000"
"19","Schar","29157.000000","27540.000000","15635.000000","13788.000000","12873.000000","13096.000000","649.000000","656.000000"
"20","Tong","198759.000000","1718346.000000","81173.000000","698106.000000","117290.000000","1017094.000000","296.000000","3146.000000"
"21","Tarbot","37622.000000","273888.000000","13485.000000","102346.000000","24130.000000","171478.000000","7.000000","64.000000"
"22","Griet","28976.000000","158672.000000","11048.000000","60834.000000","17928.000000","97838.000000","-","-"
"23","Tongschar","64846.000000","286630.000000","18911.000000","78662.000000","45935.000000","207970.000000","-","-"
"24","Schartong","63373.000000","146028.000000","13199.000000","26298.000000","50174.000000","119730.000000","-","-"
"25","Heilbot","15.000000","166.000000","14.000000","156.000000","1.000000","10.000000","-","-"
"26","Rog","147408.000000","254240.000000","59803.000000","103996.000000","87605.000000","150244.000000","-","-"
"27","Rode poon","79208.000000","51852.000000","39308.000000","24876.000000","39900.000000","26976.000000","-","-"
"28","Grauwe poon","1373.000000","356.000000","674.000000","180.000000","699.000000","176.000000","-","-"
"29","Engelse poon","15274.000000","5628.000000","8835.000000","3310.000000","6439.000000","2318.000000","-","-"
