"Zeevisserij","","","","","","","",""
"1","Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht",NA,NA,NA,NA,NA,NA,NA,NA
"2","Verdeling volgens de aanvoerhavens en de vissoorten - April 2013",NA,NA,NA,NA,NA,NA,NA,NA
"3","Vissoorten","Totaal van de havens",NA,"Oostende",NA,"Zeebrugge",NA,"Nieuwpoort",NA
"4",NA,"Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR"
"5","Algemeen totaal","1391834.000000","5641630.000000","493595.000000","1796132.000000","852257.000000","3703820.000000","45982.000000","141670.000000"
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Bodemvissen :",NA,NA,NA,NA,NA,NA,NA,NA
"8","Totaal","1219993.000000","5307214.000000","434982.000000","1671952.000000","743855.000000","3534144.000000","41156.000000","101108.000000"
"9","Schelvis","24180.000000","32622.000000","7489.000000","10300.000000","16691.000000","22322.000000","-","-"
"10","Kabeljauw","32317.000000","104286.000000","16575.000000","51230.000000","15168.000000","51100.000000","574.000000","1954.000000"
"11","Koolvis","128.000000","244.000000","58.000000","102.000000","70.000000","142.000000","-","-"
"12","Wijting","44450.000000","40746.000000","18105.000000","17894.000000","26345.000000","22852.000000","-","-"
"13","Pollak","8472.000000","25898.000000","3529.000000","9382.000000","4943.000000","16516.000000","-","-"
"14","Leng","10357.000000","21900.000000","4036.000000","7840.000000","6321.000000","14062.000000","-","-"
"15","Heek","1097.000000","2670.000000","516.000000","1366.000000","581.000000","1304.000000","-","-"
"16","Steenbolk","22122.000000","17226.000000","8571.000000","4660.000000","13551.000000","12566.000000","-","-"
"17","Schol","136235.000000","178582.000000","69302.000000","87856.000000","51856.000000","71148.000000","15077.000000","19576.000000"
"18","Bot","77770.000000","62526.000000","43047.000000","35106.000000","20147.000000","16912.000000","14576.000000","10508.000000"
"19","Schar","23260.000000","11172.000000","8729.000000","4040.000000","13058.000000","6220.000000","1473.000000","912.000000"
"20","Tong","321075.000000","2929938.000000","106747.000000","888368.000000","205605.000000","1978844.000000","8723.000000","62726.000000"
"21","Tarbot","16778.000000","170814.000000","6933.000000","67622.000000","9786.000000","102558.000000","59.000000","636.000000"
"22","Griet","24001.000000","173186.000000","7786.000000","52648.000000","15629.000000","116142.000000","586.000000","4396.000000"
"23","Tongschar","107201.000000","313086.000000","31316.000000","89632.000000","75885.000000","223452.000000","-","-"
"24","Schartong","33010.000000","46844.000000","8295.000000","10820.000000","24715.000000","36024.000000","-","-"
"25","Heilbot","1.000000","12.000000","1.000000","12.000000","-","-","-","-"
"26","Hondstong","3860.000000","7140.000000","854.000000","1474.000000","3006.000000","5664.000000","-","-"
"27","Rog","120300.000000","310042.000000","35004.000000","91618.000000","85296.000000","218424.000000","-","-"
"28","Rode poon","38382.000000","67296.000000","9851.000000","23588.000000","28531.000000","43706.000000","-","-"
"29","Grauwe poon","5731.000000","3098.000000","3006.000000","1702.000000","2725.000000","1396.000000","-","-"
"30","Engelse poon","32584.000000","36284.000000","5022.000000","5424.000000","27562.000000","30858.000000","-","-"
"31","Zeewolf","-","-","-","-","-","-","-","-"
"32","Zeeduivel","62919.000000","584590.000000","15385.000000","136952.000000","47534.000000","447638.000000","-","-"
"33","Kongeraal","1690.000000","2640.000000","313.000000","512.000000","1377.000000","2128.000000","-","-"
"34","Roodbaars","-","-","-","-","-","-","-","-"
"35","Mul","3609.000000","23752.000000","1428.000000","12300.000000","2181.000000","11452.000000","-","-"
"36","Zeebaars","8081.000000","78140.000000","4074.000000","43122.000000","3979.000000","34712.000000","28.000000","304.000000"
"37","Doornhaai","4.000000","12.000000","4.000000","12.000000","-","-","-","-"
"38","Hondshaai","51775.000000","27240.000000","16536.000000","8196.000000","35239.000000","19044.000000","-","-"
"39","Zandhaai","1377.000000","726.000000","546.000000","296.000000","831.000000","430.000000","-","-"
"40","Andere soorten","7227.000000","34502.000000","1924.000000","7878.000000","5243.000000","26528.000000","60.000000","96.000000"
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Pelagische vis :",NA,NA,NA,NA,NA,NA,NA,NA
"43","Totaal","15936.000000","26842.000000","12969.000000","17002.000000","2962.000000","9806.000000","5.000000","34.000000"
