"Zeevisserij","","","","","","","",""
"1","Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht",NA,NA,NA,NA,NA,NA,NA,NA
"2","Verdeling volgens de aanvoerhavens en de vissoorten - Oktober 2013",NA,NA,NA,NA,NA,NA,NA,NA
"3","Vissoorten","Totaal van de havens",NA,"Oostende",NA,"Zeebrugge",NA,"Nieuwpoort",NA
"4",NA,"Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR"
"5","Algemeen totaal","1630377.000000","4459724.000000","484589.000000","1278454.000000","1115189.000000","3088224.000000","30599.000000","93056.000000"
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Bodemvissen :",NA,NA,NA,NA,NA,NA,NA,NA
"8","Totaal","1402141.000000","3759362.000000","347112.000000","867430.000000","1051429.000000","2879860.000000","3600.000000","12078.000000"
"9","Schelvis","11391.000000","24570.000000","1744.000000","3666.000000","9647.000000","20906.000000","-","-"
"10","Kabeljauw","118040.000000","306632.000000","16850.000000","47228.000000","100716.000000","258152.000000","474.000000","1252.000000"
"11","Koolvis","301.000000","534.000000","15.000000","20.000000","286.000000","516.000000","-","-"
"12","Wijting","11009.000000","17634.000000","4752.000000","6948.000000","6062.000000","10534.000000","195.000000","152.000000"
"13","Pollak","1697.000000","7216.000000","127.000000","484.000000","1570.000000","6732.000000","-","-"
"14","Leng","2043.000000","5712.000000","281.000000","792.000000","1762.000000","4918.000000","-","-"
"15","Heek","3414.000000","8402.000000","1007.000000","2398.000000","2407.000000","6004.000000","-","-"
"16","Steenbolk","5418.000000","4144.000000","1380.000000","1358.000000","4024.000000","2772.000000","14.000000","14.000000"
"17","Schol","693110.000000","863472.000000","165264.000000","193236.000000","527484.000000","669732.000000","362.000000","504.000000"
"18","Bot","17746.000000","13396.000000","13529.000000","10472.000000","3349.000000","2454.000000","868.000000","470.000000"
"19","Schar","35395.000000","26300.000000","11359.000000","8230.000000","23101.000000","17314.000000","935.000000","756.000000"
"20","Tong","137207.000000","1111124.000000","36178.000000","278306.000000","100931.000000","831954.000000","98.000000","866.000000"
"21","Tarbot","30497.000000","305382.000000","9197.000000","86350.000000","21288.000000","218934.000000","12.000000","98.000000"
"22","Griet","18276.000000","137376.000000","5345.000000","37184.000000","12930.000000","100184.000000","1.000000","8.000000"
"23","Tongschar","77777.000000","270986.000000","12304.000000","43162.000000","65473.000000","227824.000000","-","-"
"24","Schartong","10155.000000","24440.000000","2090.000000","3750.000000","8065.000000","20690.000000","-","-"
"25","Heilbot","62.000000","910.000000","40.000000","618.000000","22.000000","292.000000","-","-"
"26","Hondstong","3886.000000","6732.000000","1275.000000","2684.000000","2611.000000","4048.000000","-","-"
"27","Rog","114221.000000","250054.000000","36323.000000","72166.000000","77898.000000","177890.000000","-","-"
"28","Rode poon","33945.000000","50388.000000","10529.000000","13396.000000","23416.000000","36992.000000","-","-"
"29","Grauwe poon","1290.000000","384.000000","157.000000","56.000000","1133.000000","328.000000","-","-"
"30","Engelse poon","12092.000000","8088.000000","2348.000000","1562.000000","9744.000000","6526.000000","-","-"
"31","Zeewolf","5119.000000","17042.000000","157.000000","502.000000","4962.000000","16540.000000","-","-"
"32","Zeeduivel","19914.000000","214136.000000","2570.000000","28666.000000","17344.000000","185470.000000","-","-"
"33","Kongeraal","1456.000000","3074.000000","1008.000000","2020.000000","448.000000","1054.000000","-","-"
"34","Roodbaars","-","-","-","-","-","-","-","-"
"35","Mul","4900.000000","31440.000000","1021.000000","6374.000000","3879.000000","25066.000000","-","-"
"36","Zeebaars","1220.000000","15336.000000","303.000000","3806.000000","311.000000","3610.000000","606.000000","7920.000000"
"37","Doornhaai","-","-","-","-","-","-","-","-"
"38","Hondshaai","26640.000000","29364.000000","8721.000000","9896.000000","17908.000000","19462.000000","11.000000","8.000000"
"39","Zandhaai","2983.000000","2988.000000","544.000000","552.000000","2437.000000","2434.000000","2.000000","-"
"40","Andere soorten","937.000000","2106.000000","694.000000","1548.000000","221.000000","528.000000","22.000000","30.000000"
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Pelagische vis :",NA,NA,NA,NA,NA,NA,NA,NA
