"Zeevisserij","","","","","","","",""
"1","Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht",NA,NA,NA,NA,NA,NA,NA,NA
"2","Verdeling volgens de aanvoerhavens en de vissoorten - Februari 2013",NA,NA,NA,NA,NA,NA,NA,NA
"3","Vissoorten","Totaal van de havens",NA,"Oostende",NA,"Zeebrugge",NA,"Nieuwpoort",NA
"4",NA,"Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR"
"5","Algemeen totaal","1314703.000000","4900948.000000","463019.000000","1765860.000000","841513.000000","3087716.000000","10171.000000","47366.000000"
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Bodemvissen :",NA,NA,NA,NA,NA,NA,NA,NA
"8","Totaal","1109714.000000","4396438.000000","372833.000000","1522626.000000","731653.000000","2857720.000000","5228.000000","16082.000000"
"9","Schelvis","9236.000000","17532.000000","2602.000000","4960.000000","6634.000000","12574.000000","-","-"
"10","Kabeljauw","42343.000000","111354.000000","12865.000000","34862.000000","29221.000000","75890.000000","257.000000","602.000000"
"11","Koolvis","70.000000","122.000000","21.000000","36.000000","49.000000","86.000000","-","-"
"12","Wijting","29710.000000","29970.000000","12463.000000","12098.000000","17227.000000","17854.000000","20.000000","16.000000"
"13","Pollak","5702.000000","17380.000000","1888.000000","4974.000000","3814.000000","12406.000000","-","-"
"14","Leng","4050.000000","10112.000000","660.000000","1576.000000","3390.000000","8534.000000","-","-"
"15","Heek","475.000000","1134.000000","183.000000","398.000000","292.000000","734.000000","-","-"
"16","Steenbolk","50255.000000","25740.000000","14140.000000","6762.000000","35808.000000","18822.000000","307.000000","154.000000"
"17","Schol","285288.000000","333220.000000","81853.000000","95600.000000","202299.000000","236580.000000","1136.000000","1040.000000"
"18","Bot","15050.000000","9464.000000","6663.000000","4264.000000","8324.000000","5178.000000","63.000000","22.000000"
"19","Schar","53689.000000","32254.000000","26800.000000","16698.000000","26301.000000","15158.000000","588.000000","398.000000"
"20","Tong","212840.000000","2332978.000000","81125.000000","852062.000000","130852.000000","1473092.000000","863.000000","7824.000000"
"21","Tarbot","21671.000000","241434.000000","8394.000000","98420.000000","13188.000000","142076.000000","89.000000","938.000000"
"22","Griet","23050.000000","156750.000000","8318.000000","57502.000000","14475.000000","97666.000000","257.000000","1582.000000"
"23","Tongschar","55169.000000","217860.000000","16818.000000","63322.000000","37886.000000","152942.000000","465.000000","1594.000000"
"24","Schartong","25401.000000","59250.000000","3039.000000","4868.000000","22362.000000","54382.000000","-","-"
"25","Heilbot","-","-","-","-","-","-","-","-"
"26","Hondstong","8281.000000","15404.000000","1198.000000","2466.000000","7083.000000","12938.000000","-","-"
"27","Rog","70879.000000","211662.000000","34678.000000","94622.000000","36012.000000","116616.000000","189.000000","424.000000"
"28","Rode poon","58377.000000","79472.000000","15070.000000","22870.000000","43169.000000","56326.000000","138.000000","274.000000"
"29","Grauwe poon","1575.000000","560.000000","338.000000","144.000000","1237.000000","416.000000","-","-"
"30","Engelse poon","45240.000000","32028.000000","12265.000000","6730.000000","32953.000000","25292.000000","22.000000","6.000000"
"31","Zeewolf","-","-","-","-","-","-","-","-"
"32","Zeeduivel","27118.000000","323908.000000","8049.000000","87986.000000","19012.000000","235360.000000","57.000000","562.000000"
"33","Kongeraal","3334.000000","4372.000000","662.000000","894.000000","2666.000000","3470.000000","6.000000","8.000000"
"34","Roodbaars","-","-","-","-","-","-","-","-"
