"Zeevisserij","","","","","","","",""
"1","Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht",NA,NA,NA,NA,NA,NA,NA,NA
"2","Verdeling volgens de aanvoerhavens en de vissoorten - Juni 2012",NA,NA,NA,NA,NA,NA,NA,NA
"3","Vissoorten","Totaal van de havens",NA,"Oostende",NA,"Zeebrugge",NA,"Nieuwpoort",NA
"4",NA,"Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR"
"5","Algemeen totaal","936300.000000","4066608.000000","685109.000000","2928394.000000","235882.000000","1078158.000000","15309.000000","60064.000000"
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Bodemvissen :",NA,NA,NA,NA,NA,NA,NA,NA
"8","Totaal","870487.000000","3830280.000000","641157.000000","2767288.000000","216656.000000","1021996.000000","12674.000000","40998.000000"
"9","Schelvis","23424.000000","33740.000000","18395.000000","26840.000000","5029.000000","6900.000000","-","-"
"10","Kabeljauw","30589.000000","104194.000000","21976.000000","76978.000000","7355.000000","22988.000000","1258.000000","4228.000000"
"11","Koolvis","123.000000","248.000000","104.000000","212.000000","19.000000","38.000000","-","-"
"12","Wijting","8343.000000","11780.000000","6541.000000","9270.000000","1798.000000","2506.000000","4.000000","4.000000"
"13","Pollak","1160.000000","4840.000000","1040.000000","4394.000000","120.000000","446.000000","-","-"
"14","Leng","2017.000000","4486.000000","1093.000000","2522.000000","924.000000","1964.000000","-","-"
"15","Heek","4022.000000","11220.000000","2889.000000","8214.000000","1133.000000","3008.000000","-","-"
"16","Steenbolk","3101.000000","2898.000000","1600.000000","1350.000000","1498.000000","1548.000000","3.000000","2.000000"
"17","Schol","244179.000000","333334.000000","188586.000000","254110.000000","50155.000000","72974.000000","5438.000000","6250.000000"
"18","Bot","36217.000000","21588.000000","30308.000000","18890.000000","3752.000000","1930.000000","2157.000000","770.000000"
"19","Schar","11231.000000","8108.000000","8874.000000","6236.000000","1901.000000","1468.000000","456.000000","402.000000"
"20","Tong","211308.000000","2233092.000000","147498.000000","1606722.000000","62593.000000","611082.000000","1217.000000","15288.000000"
"21","Tarbot","17343.000000","148846.000000","12575.000000","106712.000000","4209.000000","35620.000000","559.000000","6512.000000"
"22","Griet","6970.000000","58104.000000","5171.000000","42320.000000","1754.000000","15496.000000","45.000000","288.000000"
"23","Tongschar","19560.000000","59426.000000","13183.000000","37310.000000","6348.000000","22008.000000","29.000000","108.000000"
"24","Schartong","33406.000000","31444.000000","21291.000000","20982.000000","12115.000000","10462.000000","-","-"
"25","Heilbot","13.000000","182.000000","13.000000","182.000000","-","-","-","-"
"26","Rog","100309.000000","236932.000000","74684.000000","183922.000000","24868.000000","50968.000000","757.000000","2040.000000"
"27","Rode poon","9074.000000","19002.000000","6445.000000","12522.000000","2613.000000","6418.000000","16.000000","64.000000"
"28","Grauwe poon","4555.000000","3062.000000","3708.000000","2482.000000","847.000000","580.000000","-","-"
"29","Engelse poon","1503.000000","1722.000000","1072.000000","1238.000000","431.000000","484.000000","-","-"
"30","Zeewolf","878.000000","3538.000000","672.000000","2694.000000","206.000000","844.000000","-","-"
"31","Zeeduivel","49424.000000","421006.000000","32619.000000","282296.000000","16805.000000","138710.000000","-","-"
"32","Kongeraal","1247.000000","2688.000000","877.000000","1910.000000","370.000000","778.000000","-","-"
"33","Roodbaars","-","-","-","-","-","-","-","-"
"34","Mul","1333.000000","3500.000000","82.000000","240.000000","1219.000000","3016.000000","32.000000","246.000000"
"35","Zeebaars","837.000000","10464.000000","429.000000","5066.000000","71.000000","808.000000","337.000000","4588.000000"
"36","Doornhaai","-","-","-","-","-","-","-","-"
"37","Hondshaai","33192.000000","15250.000000","26700.000000","12002.000000","6207.000000","3116.000000","285.000000","132.000000"
"38","Zandhaai","286.000000","182.000000","256.000000","170.000000","-","-","30.000000","12.000000"
"39","Andere soorten","14843.000000","45404.000000","12476.000000","39502.000000","2316.000000","5836.000000","51.000000","64.000000"
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Pelagische vis :",NA,NA,NA,NA,NA,NA,NA,NA
"42","Totaal","827.000000","2892.000000","163.000000","158.000000","609.000000","2720.000000","55.000000","16.000000"
"43","Horsmakereel","174.000000","82.000000","123.000000","76.000000","-","-","51.000000","6.000000"
"44","Haring","12.000000","12.000000","12.000000","12.000000","-","-","-","-"
"45","Makreel","32.000000","78.000000","28.000000","70.000000","-","-","4.000000","10.000000"
"46","Sprot","-","-","-","-","-","-","-","-"
"47","Andere soorten","609.000000","2720.000000","-","-","609.000000","2720.000000","-","-"
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Schaal-en weekdieren :",NA,NA,NA,NA,NA,NA,NA,NA
"50","Totaal","64986.000000","233436.000000","43789.000000","160948.000000","18617.000000","53442.000000","2580.000000","19050.000000"
"51","Garnaal","10992.000000","69302.000000","6907.000000","39606.000000","1575.000000","10696.000000","2510.000000","19000.000000"
"52","Langoestine geheel","13894.000000","84148.000000","11040.000000","65948.000000","2854.000000","18200.000000","-","-"
"53","Langoestine staartje","1737.000000","15732.000000","1451.000000","12958.000000","286.000000","2774.000000","-","-"
"54","Noordzeekrab","5148.000000","12650.000000","3442.000000","8804.000000","1706.000000","3846.000000","-","-"
"55","Zeekreeft","74.000000","818.000000","55.000000","632.000000","19.000000","186.000000","-","-"
"56","Andere schaaldieren","88.000000","74.000000","19.000000","22.000000","69.000000","54.000000","-","-"
"57","Schelpen","5527.000000","16114.000000","3336.000000","9278.000000","2191.000000","6836.000000","-","-"
"58","Inktvis","22786.000000","31670.000000","13714.000000","21258.000000","9002.000000","10364.000000","70.000000","50.000000"
"59","Wulk","4740.000000","2928.000000","3825.000000","2442.000000","915.000000","486.000000","-","-"
"60","Andere soorten","-","-","-","-","-","-","-","-"
"61",NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","* Bron : Vlaamse Overheid - Departement Landbouw en Visserij",NA,NA,NA,NA,NA,NA,NA,NA
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA
