"Zeevisserij","","","","","","","",""
"1","Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht",NA,NA,NA,NA,NA,NA,NA,NA
"2","Verdeling volgens de aanvoerhavens en de vissoorten - April 2012",NA,NA,NA,NA,NA,NA,NA,NA
"3","Vissoorten","Totaal van de havens",NA,"Oostende",NA,"Zeebrugge",NA,"Nieuwpoort",NA
"4",NA,"Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR"
"5","Algemeen totaal","1514179.000000","6237710.000000","531258.000000","1986672.000000","968808.000000","4190034.000000","14113.000000","60998.000000"
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Bodemvissen :",NA,NA,NA,NA,NA,NA,NA,NA
"8","Totaal","1385538.000000","5916466.000000","497326.000000","1882304.000000","877031.000000","3995362.000000","11181.000000","38794.000000"
"9","Schelvis","37609.000000","49850.000000","10794.000000","13744.000000","26815.000000","36108.000000","-","-"
"10","Kabeljauw","62768.000000","197428.000000","22082.000000","67324.000000","40148.000000","128168.000000","538.000000","1936.000000"
"11","Koolvis","75.000000","156.000000","13.000000","20.000000","62.000000","136.000000","-","-"
"12","Wijting","23788.000000","33712.000000","8837.000000","11116.000000","14920.000000","22578.000000","31.000000","16.000000"
"13","Pollak","3755.000000","13512.000000","1175.000000","3662.000000","2580.000000","9850.000000","-","-"
"14","Leng","8247.000000","18698.000000","2176.000000","4810.000000","6071.000000","13886.000000","-","-"
"15","Heek","891.000000","2614.000000","313.000000","876.000000","578.000000","1738.000000","-","-"
"16","Steenbolk","20662.000000","11510.000000","4081.000000","2192.000000","16581.000000","9318.000000","-","-"
"17","Schol","226418.000000","304586.000000","116001.000000","143344.000000","104565.000000","154824.000000","5852.000000","6418.000000"
"18","Bot","63215.000000","41554.000000","45415.000000","29170.000000","17069.000000","12056.000000","731.000000","326.000000"
"19","Schar","21422.000000","12256.000000","9731.000000","5268.000000","11338.000000","6644.000000","353.000000","344.000000"
"20","Tong","359205.000000","3321394.000000","123476.000000","1106356.000000","232946.000000","2188818.000000","2783.000000","26220.000000"
"21","Tarbot","21440.000000","210944.000000","5379.000000","52916.000000","16003.000000","157380.000000","58.000000","648.000000"
"22","Griet","19167.000000","150626.000000","6207.000000","47112.000000","12800.000000","102414.000000","160.000000","1098.000000"
"23","Tongschar","80431.000000","213446.000000","22018.000000","50062.000000","58403.000000","163354.000000","10.000000","30.000000"
"24","Schartong","44285.000000","72842.000000","13652.000000","18864.000000","30633.000000","53978.000000","-","-"
"25","Heilbot","-","-","-","-","-","-","-","-"
"26","Rog","142535.000000","323288.000000","49513.000000","107488.000000","92708.000000","214620.000000","314.000000","1182.000000"
"27","Rode poon","59217.000000","104556.000000","8765.000000","13072.000000","50452.000000","91484.000000","-","-"
"28","Grauwe poon","2547.000000","790.000000","270.000000","102.000000","2277.000000","686.000000","-","-"
"29","Engelse poon","39238.000000","42620.000000","4099.000000","3494.000000","35139.000000","39126.000000","-","-"
"30","Zeewolf","994.000000","3936.000000","-","-","994.000000","3936.000000","-","-"
"31","Zeeduivel","72679.000000","587094.000000","17982.000000","152326.000000","54697.000000","434768.000000","-","-"
"32","Kongeraal","2194.000000","3188.000000","538.000000","594.000000","1656.000000","2594.000000","-","-"
"33","Roodbaars","-","-","-","-","-","-","-","-"
"34","Mul","5866.000000","50256.000000","27.000000","44.000000","5839.000000","50212.000000","-","-"
"35","Zeebaars","6705.000000","64374.000000","1762.000000","16604.000000","4896.000000","47352.000000","47.000000","420.000000"
"36","Doornhaai","-","-","-","-","-","-","-","-"
"37","Hondshaai","45680.000000","26530.000000","17555.000000","9720.000000","27986.000000","16708.000000","139.000000","100.000000"
"38","Zandhaai","32.000000","30.000000","32.000000","30.000000","-","-","-","-"
"39","Andere soorten","14473.000000","54676.000000","5433.000000","21994.000000","8875.000000","32626.000000","165.000000","56.000000"
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Pelagische vis :",NA,NA,NA,NA,NA,NA,NA,NA
"42","Totaal","8769.000000","12840.000000","179.000000","116.000000","8586.000000","12716.000000","4.000000","10.000000"
"43","Horsmakereel","4220.000000","2202.000000","144.000000","86.000000","4076.000000","2116.000000","-","-"
"44","Haring","206.000000","220.000000","34.000000","28.000000","172.000000","194.000000","-","-"
"45","Makreel","59.000000","186.000000","1.000000","2.000000","54.000000","174.000000","4.000000","10.000000"
"46","Sprot","-","-","-","-","-","-","-","-"
"47","Andere soorten","4284.000000","10232.000000","-","-","4284.000000","10232.000000","-","-"
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Schaal-en weekdieren :",NA,NA,NA,NA,NA,NA,NA,NA
"50","Totaal","119872.000000","308404.000000","33753.000000","104252.000000","83191.000000","181956.000000","2928.000000","22194.000000"
"51","Garnaal","8766.000000","57332.000000","5365.000000","31794.000000","486.000000","3402.000000","2915.000000","22136.000000"
"52","Langoestine geheel","4074.000000","24620.000000","3997.000000","23982.000000","77.000000","638.000000","-","-"
"53","Langoestine staartje","357.000000","3602.000000","357.000000","3602.000000","-","-","-","-"
"54","Noordzeekrab","3609.000000","15990.000000","577.000000","2734.000000","3032.000000","13256.000000","-","-"
"55","Zeekreeft","109.000000","924.000000","97.000000","822.000000","12.000000","100.000000","-","-"
"56","Andere schaaldieren","216.000000","254.000000","17.000000","24.000000","199.000000","230.000000","-","-"
"57","Schelpen","63779.000000","121020.000000","13915.000000","24954.000000","49864.000000","96066.000000","-","-"
"58","Inktvis","32551.000000","79404.000000","6331.000000","12780.000000","26207.000000","66566.000000","13.000000","58.000000"
"59","Wulk","6411.000000","5258.000000","3097.000000","3560.000000","3314.000000","1698.000000","-","-"
"60","Andere soorten","-","-","-","-","-","-","-","-"
"61",NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","* Bron : Vlaamse Overheid - Departement Landbouw en Visserij",NA,NA,NA,NA,NA,NA,NA,NA
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA
