"Zeevisserij","","","","","","","",""
"1","Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht",NA,NA,NA,NA,NA,NA,NA,NA
"2","Verdeling volgens de aanvoerhavens en de vissoorten - Maart 2012",NA,NA,NA,NA,NA,NA,NA,NA
"3","Vissoorten","Totaal van de havens",NA,"Oostende",NA,"Zeebrugge",NA,"Nieuwpoort",NA
"4",NA,"Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR"
"5","Algemeen totaal","1531446.000000","6788712.000000","600545.000000","2500078.000000","912339.000000","4186086.000000","18562.000000","102544.000000"
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Bodemvissen :",NA,NA,NA,NA,NA,NA,NA,NA
"8","Totaal","1319653.000000","6178178.000000","503808.000000","2225786.000000","800407.000000","3872182.000000","15438.000000","80206.000000"
"9","Schelvis","13256.000000","19840.000000","3702.000000","5216.000000","9554.000000","14624.000000","-","-"
"10","Kabeljauw","48821.000000","156860.000000","16714.000000","54932.000000","30043.000000","94782.000000","2064.000000","7146.000000"
"11","Koolvis","12.000000","28.000000","4.000000","10.000000","8.000000","18.000000","-","-"
"12","Wijting","31108.000000","33564.000000","11061.000000","9374.000000","19983.000000","24156.000000","64.000000","36.000000"
"13","Pollak","6022.000000","21554.000000","1737.000000","5932.000000","4285.000000","15622.000000","-","-"
"14","Leng","7103.000000","17066.000000","1817.000000","4434.000000","5286.000000","12632.000000","-","-"
"15","Heek","440.000000","1326.000000","100.000000","302.000000","338.000000","1022.000000","2.000000","2.000000"
"16","Steenbolk","61217.000000","32006.000000","13182.000000","6478.000000","48031.000000","25524.000000","4.000000","2.000000"
"17","Schol","225004.000000","306278.000000","122792.000000","155084.000000","99267.000000","147958.000000","2945.000000","3236.000000"
"18","Bot","65848.000000","45984.000000","40563.000000","27714.000000","24736.000000","18034.000000","549.000000","236.000000"
"19","Schar","44918.000000","23682.000000","14796.000000","7338.000000","29108.000000","15382.000000","1014.000000","962.000000"
"20","Tong","356904.000000","3792910.000000","139319.000000","1420594.000000","213028.000000","2319444.000000","4557.000000","52872.000000"
"21","Tarbot","18553.000000","193770.000000","7097.000000","71604.000000","11285.000000","120118.000000","171.000000","2046.000000"
"22","Griet","27323.000000","189826.000000","9041.000000","60004.000000","17791.000000","126424.000000","491.000000","3398.000000"
"23","Tongschar","48719.000000","170704.000000","18516.000000","60284.000000","30163.000000","110300.000000","40.000000","120.000000"
"24","Schartong","16953.000000","32908.000000","5112.000000","8284.000000","11841.000000","24624.000000","-","-"
"25","Heilbot","23.000000","324.000000","-","-","23.000000","324.000000","-","-"
"26","Rog","82123.000000","253456.000000","19335.000000","58608.000000","59926.000000","186144.000000","2862.000000","8704.000000"
"27","Rode poon","66466.000000","152234.000000","16951.000000","35172.000000","49515.000000","117060.000000","-","-"
"28","Grauwe poon","3359.000000","1332.000000","399.000000","122.000000","2960.000000","1210.000000","-","-"
"29","Engelse poon","78572.000000","97058.000000","22575.000000","25138.000000","55997.000000","71920.000000","-","-"
"30","Zeewolf","-","-","-","-","-","-","-","-"
"31","Zeeduivel","34252.000000","397228.000000","13856.000000","150372.000000","20396.000000","246856.000000","-","-"
"32","Kongeraal","5456.000000","6548.000000","1648.000000","1904.000000","3808.000000","4644.000000","-","-"
"33","Roodbaars","-","-","-","-","-","-","-","-"
"34","Mul","8146.000000","60974.000000","18.000000","36.000000","8128.000000","60938.000000","-","-"
"35","Zeebaars","7629.000000","55062.000000","1102.000000","8190.000000","6455.000000","46060.000000","72.000000","812.000000"
"36","Doornhaai","-","-","-","-","-","-","-","-"
"37","Hondshaai","41726.000000","32156.000000","13141.000000","10386.000000","28015.000000","21210.000000","570.000000","560.000000"
"38","Zandhaai","22.000000","12.000000","22.000000","12.000000","-","-","-","-"
"39","Andere soorten","19678.000000","83488.000000","9208.000000","38262.000000","10437.000000","45152.000000","33.000000","74.000000"
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Pelagische vis :",NA,NA,NA,NA,NA,NA,NA,NA
"42","Totaal","7013.000000","8328.000000","178.000000","226.000000","6835.000000","8102.000000","-","-"
"43","Horsmakereel","3649.000000","1920.000000","-","-","3649.000000","1920.000000","-","-"
"44","Haring","1156.000000","564.000000","175.000000","220.000000","981.000000","344.000000","-","-"
"45","Makreel","373.000000","566.000000","3.000000","6.000000","370.000000","560.000000","-","-"
"46","Sprot","-","-","-","-","-","-","-","-"
"47","Andere soorten","1835.000000","5278.000000","-","-","1835.000000","5278.000000","-","-"
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Schaal-en weekdieren :",NA,NA,NA,NA,NA,NA,NA,NA
"50","Totaal","204780.000000","602206.000000","96559.000000","274066.000000","105097.000000","305802.000000","3124.000000","22338.000000"
"51","Garnaal","6884.000000","44464.000000","4010.000000","22256.000000","15.000000","106.000000","2859.000000","22104.000000"
"52","Langoestine geheel","4062.000000","23978.000000","3767.000000","22564.000000","295.000000","1414.000000","-","-"
"53","Langoestine staartje","460.000000","4116.000000","383.000000","3578.000000","77.000000","536.000000","-","-"
"54","Noordzeekrab","1905.000000","9302.000000","790.000000","3250.000000","1115.000000","6054.000000","-","-"
"55","Zeekreeft","140.000000","1198.000000","107.000000","870.000000","33.000000","326.000000","-","-"
"56","Andere schaaldieren","239.000000","216.000000","36.000000","22.000000","203.000000","194.000000","-","-"
"57","Schelpen","63697.000000","131306.000000","22001.000000","43702.000000","41696.000000","87606.000000","-","-"
"58","Inktvis","118001.000000","381360.000000","62108.000000","174164.000000","55893.000000","207194.000000","-","-"
"59","Wulk","9392.000000","6266.000000","3357.000000","3660.000000","5770.000000","2372.000000","265.000000","234.000000"
"60","Andere soorten","-","-","-","-","-","-","-","-"
"61",NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","* Bron : Vlaamse Overheid - Departement Landbouw en Visserij",NA,NA,NA,NA,NA,NA,NA,NA
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA
