"Zeevisserij","","","","","","","",""
"1","Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht",NA,NA,NA,NA,NA,NA,NA,NA
"2","Verdeling volgens de aanvoerhavens en de vissoorten - September 2012",NA,NA,NA,NA,NA,NA,NA,NA
"3","Vissoorten","Totaal van de havens",NA,"Oostende",NA,"Zeebrugge",NA,"Nieuwpoort",NA
"4",NA,"Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR"
"5","Algemeen totaal","1394682.000000","4584640.000000","341046.000000","1277596.000000","1040654.000000","3237054.000000","12982.000000","69986.000000"
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Bodemvissen :",NA,NA,NA,NA,NA,NA,NA,NA
"8","Totaal","1264814.000000","4113362.000000","272818.000000","1017950.000000","983650.000000","3057148.000000","8346.000000","38260.000000"
"9","Schelvis","22446.000000","38162.000000","5025.000000","9154.000000","17421.000000","29008.000000","-","-"
"10","Kabeljauw","120582.000000","359590.000000","13190.000000","46778.000000","107359.000000","312748.000000","33.000000","64.000000"
"11","Koolvis","552.000000","1124.000000","140.000000","296.000000","412.000000","828.000000","-","-"
"12","Wijting","14697.000000","23814.000000","7918.000000","13410.000000","6695.000000","10360.000000","84.000000","44.000000"
"13","Pollak","3031.000000","12294.000000","303.000000","1208.000000","2728.000000","11086.000000","-","-"
"14","Leng","4464.000000","11212.000000","675.000000","1650.000000","3789.000000","9562.000000","-","-"
"15","Heek","5047.000000","12582.000000","427.000000","900.000000","4620.000000","11680.000000","-","-"
"16","Steenbolk","3288.000000","2928.000000","867.000000","856.000000","2421.000000","2072.000000","-","-"
"17","Schol","571727.000000","831668.000000","90317.000000","121168.000000","479781.000000","708464.000000","1629.000000","2034.000000"
"18","Bot","20358.000000","14348.000000","8964.000000","6154.000000","9608.000000","7646.000000","1786.000000","550.000000"
"19","Schar","25730.000000","21044.000000","4802.000000","3588.000000","20302.000000","16830.000000","626.000000","626.000000"
"20","Tong","103769.000000","1188580.000000","35038.000000","403860.000000","65626.000000","752186.000000","3105.000000","32534.000000"
"21","Tarbot","28159.000000","275334.000000","9144.000000","82984.000000","18940.000000","191508.000000","75.000000","842.000000"
"22","Griet","19254.000000","137764.000000","5371.000000","34986.000000","13849.000000","102506.000000","34.000000","272.000000"
"23","Tongschar","95017.000000","339832.000000","10346.000000","30222.000000","84659.000000","309570.000000","12.000000","38.000000"
"24","Schartong","41431.000000","95732.000000","10393.000000","24830.000000","31038.000000","70902.000000","-","-"
"25","Heilbot","4.000000","60.000000","-","-","4.000000","60.000000","-","-"
"26","Rog","75177.000000","185174.000000","34321.000000","80094.000000","40464.000000","104356.000000","392.000000","724.000000"
"27","Rode poon","11509.000000","21966.000000","5996.000000","13440.000000","5488.000000","8520.000000","25.000000","6.000000"
"28","Grauwe poon","2960.000000","1298.000000","436.000000","196.000000","2524.000000","1102.000000","-","-"
"29","Engelse poon","7328.000000","7150.000000","5179.000000","5236.000000","2149.000000","1914.000000","-","-"
"30","Zeewolf","10573.000000","36126.000000","957.000000","2952.000000","9616.000000","33174.000000","-","-"
"31","Zeeduivel","40774.000000","426978.000000","9482.000000","99936.000000","31292.000000","327042.000000","-","-"
"32","Kongeraal","1567.000000","2744.000000","655.000000","1078.000000","912.000000","1666.000000","-","-"
"33","Roodbaars","-","-","-","-","-","-","-","-"
"34","Mul","2384.000000","20302.000000","1661.000000","15436.000000","723.000000","4866.000000","-","-"
"35","Zeebaars","973.000000","10382.000000","624.000000","6358.000000","336.000000","3926.000000","13.000000","98.000000"
"36","Doornhaai","-","-","-","-","-","-","-","-"
"37","Hondshaai","26063.000000","16060.000000","8746.000000","5636.000000","16889.000000","10176.000000","428.000000","248.000000"
"38","Zandhaai","1761.000000","1268.000000","228.000000","182.000000","1533.000000","1086.000000","-","-"
"39","Andere soorten","4189.000000","17846.000000","1613.000000","5362.000000","2472.000000","12304.000000","104.000000","180.000000"
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Pelagische vis :",NA,NA,NA,NA,NA,NA,NA,NA
"42","Totaal","2477.000000","11990.000000","851.000000","4362.000000","1599.000000","7618.000000","27.000000","12.000000"
"43","Horsmakereel","554.000000","284.000000","173.000000","96.000000","360.000000","188.000000","21.000000","2.000000"
"44","Haring","-","-","-","-","-","-","-","-"
"45","Makreel","46.000000","110.000000","38.000000","94.000000","2.000000","8.000000","6.000000","10.000000"
"46","Sprot","-","-","-","-","-","-","-","-"
"47","Andere soorten","1877.000000","11596.000000","640.000000","4172.000000","1237.000000","7422.000000","-","-"
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Schaal-en weekdieren :",NA,NA,NA,NA,NA,NA,NA,NA
"50","Totaal","127391.000000","459288.000000","67377.000000","255284.000000","55405.000000","172288.000000","4609.000000","31714.000000"
"51","Garnaal","26270.000000","144998.000000","12797.000000","63090.000000","8999.000000","50320.000000","4474.000000","31586.000000"
"52","Langoestine geheel","28206.000000","120700.000000","25275.000000","106848.000000","2931.000000","13852.000000","-","-"
"53","Langoestine staartje","1903.000000","15666.000000","1338.000000","10996.000000","565.000000","4670.000000","-","-"
"54","Noordzeekrab","12563.000000","14432.000000","3385.000000","3870.000000","9178.000000","10562.000000","-","-"
"55","Zeekreeft","109.000000","892.000000","69.000000","604.000000","40.000000","288.000000","-","-"
"56","Andere schaaldieren","36.000000","42.000000","7.000000","8.000000","29.000000","34.000000","-","-"
"57","Schelpen","5446.000000","17716.000000","1694.000000","5088.000000","3752.000000","12628.000000","-","-"
"58","Inktvis","50317.000000","142544.000000","22199.000000","64168.000000","28113.000000","78374.000000","5.000000","4.000000"
"59","Wulk","2541.000000","2298.000000","613.000000","612.000000","1798.000000","1560.000000","130.000000","124.000000"
"60","Andere soorten","-","-","-","-","-","-","-","-"
"61",NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","* Bron : Vlaamse Overheid - Departement Landbouw en Visserij",NA,NA,NA,NA,NA,NA,NA,NA
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA
