Zeevisserij,,,,,,,,
1,Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht,NA,NA,NA,NA,NA,NA,NA,NA
2,Verdeling volgens de aanvoerhavens en de vissoorten - Februari 2016,NA,NA,NA,NA,NA,NA,NA,NA
3,Vissoorten,Totaal van de havens,NA,Oostende,NA,Zeebrugge,NA,Nieuwpoort,NA
4,NA,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR
5,Algemeen totaal,1625602.000000,5897324.000000,537440.000000,1901894.000000,1086814.000000,3986622.000000,1348.000000,8810.000000
6,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Bodemvissen :,NA,NA,NA,NA,NA,NA,NA,NA
8,Totaal,1308084.000000,4849488.000000,444297.000000,1582770.000000,862804.000000,3262332.000000,983.000000,4384.000000
9,Schelvis,9639.000000,21000.000000,3197.000000,6824.000000,6442.000000,14176.000000,-,-
10,Kabeljauw,24995.000000,83214.000000,7958.000000,26622.000000,16688.000000,55438.000000,349.000000,1154.000000
11,Koolvis,263.000000,440.000000,7.000000,16.000000,256.000000,424.000000,-,-
12,Wijting,44896.000000,46382.000000,19338.000000,18000.000000,25551.000000,28376.000000,7.000000,4.000000
13,Pollak,6892.000000,22308.000000,2315.000000,7054.000000,4577.000000,15254.000000,-,-
14,Leng,2020.000000,5320.000000,666.000000,1576.000000,1354.000000,3744.000000,-,-
15,Heek,450.000000,1330.000000,165.000000,522.000000,285.000000,810.000000,-,-
16,Steenbolk,83388.000000,47374.000000,25040.000000,12602.000000,58348.000000,34772.000000,-,-
17,Schol,404327.000000,672236.000000,120657.000000,195808.000000,283608.000000,476344.000000,62.000000,84.000000
18,Bot,5369.000000,3806.000000,3330.000000,2410.000000,1985.000000,1372.000000,54.000000,24.000000
19,Schar,20695.000000,20752.000000,6689.000000,6764.000000,13731.000000,13728.000000,275.000000,258.000000
20,Tong,212574.000000,2409878.000000,68639.000000,752746.000000,143711.000000,1654356.000000,224.000000,2776.000000
21,Tarbot,22202.000000,262838.000000,7215.000000,85050.000000,14980.000000,177714.000000,7.000000,74.000000
22,Griet,22282.000000,160062.000000,7751.000000,54752.000000,14530.000000,105302.000000,1.000000,8.000000
23,Tongschar,37914.000000,245934.000000,13748.000000,81394.000000,24166.000000,164540.000000,-,-
24,Schartong,4957.000000,15920.000000,2946.000000,9752.000000,2011.000000,6168.000000,-,-
25,Heilbot,10.000000,136.000000,-,-,10.000000,136.000000,-,-
26,Hondstong,4120.000000,9718.000000,3090.000000,6822.000000,1030.000000,2898.000000,-,-
27,Rog,60703.000000,166416.000000,27959.000000,76102.000000,32744.000000,90314.000000,-,-
28,Rode poon,171441.000000,176330.000000,64326.000000,76682.000000,107115.000000,99648.000000,-,-
29,Grauwe poon,151.000000,32.000000,48.000000,10.000000,103.000000,22.000000,-,-
30,Engelse poon,51325.000000,31164.000000,11966.000000,5782.000000,39359.000000,25382.000000,-,-
31,Zeewolf,1103.000000,4558.000000,-,-,1103.000000,4558.000000,-,-
32,Zeeduivel,23665.000000,273236.000000,8641.000000,87684.000000,15024.000000,185550.000000,-,-
33,Kongeraal,7857.000000,8314.000000,2230.000000,2054.000000,5627.000000,6260.000000,-,-
34,Roodbaars,-,-,-,-,-,-,-,-
35,Mul,19336.000000,80858.000000,7354.000000,31752.000000,11982.000000,49106.000000,-,-
36,Zeebaars,2826.000000,34158.000000,1086.000000,13554.000000,1740.000000,20602.000000,-,-
37,Doornhaai,-,-,-,-,-,-,-,-
38,Hondshaai,61939.000000,44964.000000,27473.000000,19906.000000,34462.000000,25058.000000,4.000000,2.000000
39,Zandhaai,253.000000,190.000000,64.000000,38.000000,189.000000,152.000000,-,-
40,Andere soorten,492.000000,620.000000,399.000000,492.000000,93.000000,128.000000,-,-
41,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,Pelagische vis :,NA,NA,NA,NA,NA,NA,NA,NA
43,Totaal,15411.000000,17384.000000,8308.000000,9112.000000,7094.000000,8254.000000,9.000000,20.000000
44,Horsmakereel,6082.000000,3064.000000,2415.000000,1524.000000,3667.000000,1542.000000,-,-
45,Haring,551.000000,1014.000000,386.000000,638.000000,156.000000,356.000000,9.000000,20.000000
46,Makreel,8778.000000,13306.000000,5507.000000,6950.000000,3271.000000,6356.000000,-,-
47,Sprot,-,-,-,-,-,-,-,-
48,Andere soorten,-,-,-,-,-,-,-,-
49,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,Schaal-en weekdieren :,NA,NA,NA,NA,NA,NA,NA,NA
51,Totaal,302107.000000,1030452.000000,84835.000000,310012.000000,216916.000000,716036.000000,356.000000,4406.000000
52,Garnaal,2196.000000,19896.000000,1437.000000,12110.000000,403.000000,3380.000000,356.000000,4406.000000
53,Langoestine geheel,2077.000000,20158.000000,2077.000000,20158.000000,-,-,-,-
54,Langoestine staartje,230.000000,3066.000000,222.000000,2974.000000,8.000000,94.000000,-,-
55,Noordzeekrab,1980.000000,9190.000000,534.000000,2686.000000,1446.000000,6504.000000,-,-
56,Zeekreeft,90.000000,888.000000,83.000000,826.000000,7.000000,62.000000,-,-
57,Andere schaaldieren,441.000000,190.000000,6.000000,8.000000,435.000000,182.000000,-,-
58,Schelpen,77923.000000,245554.000000,25339.000000,82338.000000,52584.000000,163216.000000,-,-
59,Inktvis,212826.000000,726836.000000,52903.000000,186408.000000,159923.000000,540428.000000,-,-
60,Wulk,4344.000000,4674.000000,2234.000000,2504.000000,2110.000000,2170.000000,-,-
61,Andere soorten,-,-,-,-,-,-,-,-
62,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,* Algemene Directie Statistiek - Statistics Belgium op basis van de departementt Landbouw en visserij van de Vlaamse Overheid, AVKD.,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,NA,NA,NA,NA,NA,NA,NA
