Zeevisserij,,,,,,,,
1,Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht,NA,NA,NA,NA,NA,NA,NA,NA
2,Verdeling volgens de aanvoerhavens en de vissoorten - Juli 2016,NA,NA,NA,NA,NA,NA,NA,NA
3,Vissoorten,Totaal van de havens,NA,Oostende,NA,Zeebrugge,NA,Nieuwpoort,NA
4,NA,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR
5,Algemeen totaal,1053829.000000,4934110.000000,336235.000000,1556432.000000,706260.000000,3287684.000000,11334.000000,89994.000000
6,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Bodemvissen :,NA,NA,NA,NA,NA,NA,NA,NA
8,Totaal,968051.000000,4506264.000000,293930.000000,1292190.000000,669792.000000,3181722.000000,4329.000000,32358.000000
9,Schelvis,4397.000000,8090.000000,1535.000000,2308.000000,2862.000000,5782.000000,-,-
10,Kabeljauw,30590.000000,108802.000000,5269.000000,20684.000000,25315.000000,88094.000000,6.000000,24.000000
11,Koolvis,513.000000,732.000000,11.000000,18.000000,502.000000,716.000000,-,-
12,Wijting,8031.000000,11334.000000,4468.000000,6216.000000,3561.000000,5116.000000,2.000000,-
13,Pollak,1384.000000,5598.000000,677.000000,2630.000000,707.000000,2968.000000,-,-
14,Leng,1410.000000,4352.000000,428.000000,1156.000000,982.000000,3196.000000,-,-
15,Heek,10368.000000,17278.000000,2664.000000,3466.000000,7704.000000,13812.000000,-,-
16,Steenbolk,7653.000000,3930.000000,4005.000000,1266.000000,3648.000000,2664.000000,-,-
17,Schol,370780.000000,610934.000000,91858.000000,143392.000000,278548.000000,467150.000000,374.000000,392.000000
18,Bot,14040.000000,8376.000000,9552.000000,5880.000000,3051.000000,1888.000000,1437.000000,606.000000
19,Schar,12539.000000,10424.000000,4807.000000,3884.000000,7659.000000,6470.000000,73.000000,72.000000
20,Tong,223976.000000,2483072.000000,67792.000000,692200.000000,153824.000000,1759834.000000,2360.000000,31038.000000
21,Tarbot,25137.000000,236246.000000,10431.000000,99178.000000,14689.000000,136944.000000,17.000000,124.000000
22,Griet,18537.000000,124456.000000,7091.000000,49458.000000,11445.000000,74992.000000,1.000000,6.000000
23,Tongschar,28069.000000,110284.000000,7579.000000,26730.000000,20490.000000,83554.000000,-,-
24,Schartong,34253.000000,47658.000000,11422.000000,17224.000000,22831.000000,30436.000000,-,-
25,Heilbot,69.000000,776.000000,4.000000,42.000000,65.000000,734.000000,-,-
26,Hondstong,4195.000000,9488.000000,3154.000000,6908.000000,1041.000000,2580.000000,-,-
27,Rog,73712.000000,151828.000000,38064.000000,73602.000000,35648.000000,78224.000000,-,-
28,Rode poon,14518.000000,22218.000000,3814.000000,5238.000000,10694.000000,16978.000000,10.000000,2.000000
29,Grauwe poon,21537.000000,8758.000000,1526.000000,658.000000,20011.000000,8100.000000,-,-
30,Engelse poon,1007.000000,364.000000,484.000000,152.000000,523.000000,212.000000,-,-
31,Zeewolf,880.000000,3278.000000,-,-,880.000000,3278.000000,-,-
32,Zeeduivel,53390.000000,504512.000000,13849.000000,123370.000000,39541.000000,381142.000000,-,-
33,Kongeraal,2141.000000,3486.000000,542.000000,726.000000,1599.000000,2762.000000,-,-
34,Roodbaars,-,-,-,-,-,-,-,-
35,Mul,3065.000000,3240.000000,1536.000000,1010.000000,1525.000000,2224.000000,4.000000,8.000000
36,Zeebaars,318.000000,4830.000000,214.000000,3360.000000,99.000000,1404.000000,5.000000,68.000000
37,Doornhaai,-,-,-,-,-,-,-,-
38,Hondshaai,50.000000,20.000000,50.000000,20.000000,-,-,-,-
39,Zandhaai,456.000000,102.000000,415.000000,86.000000,15.000000,4.000000,26.000000,12.000000
40,Andere soorten,1036.000000,1798.000000,689.000000,1328.000000,333.000000,464.000000,14.000000,6.000000
41,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,Pelagische vis :,NA,NA,NA,NA,NA,NA,NA,NA
43,Totaal,379.000000,126.000000,267.000000,40.000000,27.000000,70.000000,85.000000,16.000000
44,Horsmakereel,352.000000,56.000000,267.000000,40.000000,-,-,85.000000,16.000000
45,Haring,-,-,-,-,-,-,-,-
46,Makreel,27.000000,70.000000,-,-,27.000000,70.000000,-,-
47,Sprot,-,-,-,-,-,-,-,-
48,Andere soorten,-,-,-,-,-,-,-,-
49,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,Schaal-en weekdieren :,NA,NA,NA,NA,NA,NA,NA,NA
